REGIAO:;CO
UF:;GO
ESTACAO:;LUZIANIA
CODIGO (WMO):;A012
LATITUDE:;-16,26055555
LONGITUDE:;-47,96694443
ALTITUDE:;1000,82
DATA DE FUNDACAO:;21/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;904,1;904,1;903,2;;21,8;17,7;23,4;21,5;18,9;16,7;81;70;77;49;0;0;
2026/01/01;0100 UTC;0;904,5;904,6;904,1;;21,1;18;22,1;21;18,2;17,4;83;75;83;103;0;0;
2026/01/01;0200 UTC;0;904,4;904,6;904,3;;20,1;17,7;22,2;20,1;18,1;16,6;86;71;86;245;2,2;0;
2026/01/01;0300 UTC;0;903,8;904,4;903,8;;21;16,6;21,9;20,1;17,8;16,2;86;70;76;308;0;0;
2026/01/01;0400 UTC;0;903,3;903,9;903,3;;20,5;17,1;21,5;20,5;17,2;16,4;81;73;81;310;0;0;
2026/01/01;0500 UTC;0;902,9;903,3;902,8;;20,1;16,9;20,5;20;17,4;16,8;83;80;82;285;0;0;
2026/01/01;0600 UTC;0;902,7;903;902,7;;20,3;17,2;20,3;19,7;17,2;16,9;84;81;82;319;0;0;
2026/01/01;0700 UTC;0;902,5;902,7;902,4;;20;17,4;21;20;17,8;17,1;85;81;85;215;0;0;
2026/01/01;0800 UTC;0;902,8;902,8;902,5;;19,3;17,6;20;19,2;17,8;17,3;90;85;90;149;0;0;
2026/01/01;0900 UTC;0;903,2;903,2;902,8;14;20,2;18,4;20,2;19,3;18,5;17,6;91;89;90;307;0;0;
2026/01/01;1000 UTC;0;903,7;903,7;903,2;416,7;21,2;18,5;21,2;19,6;18,9;17,8;90;85;85;311;0;0;
2026/01/01;1100 UTC;0;903,8;903,8;903,6;1210,9;23,5;19,3;23,6;21,2;19,3;17,2;85;68;77;332;0;0;
2026/01/01;1200 UTC;0;904,3;904,3;903,8;2126,7;25,6;18,5;26,1;23,3;19,8;16,5;79;57;65;225;2,6;,1;
2026/01/01;1300 UTC;0;904,5;904,6;904,3;2494,5;26,7;17,9;26,9;25,4;19,5;16,8;69;55;59;196;3,5;,7;
2026/01/01;1400 UTC;0;904,2;904,5;904,2;3305,8;27,7;17;28,2;26,4;18,8;16,5;61;50;52;241;4,3;,4;
2026/01/01;1500 UTC;0;903,5;904,2;903,5;3723,2;28,4;16,1;29,6;27,7;18,2;15,9;54;45;48;267;4,3;0;
2026/01/01;1600 UTC;0;902,5;903,5;902,5;3801;29,9;14,2;30,8;28,4;17,6;14,2;49;38;38;290;0;0;
2026/01/01;1700 UTC;0;901,4;902,5;901,3;3677;31,3;13,7;31,5;29,7;16,1;12,9;42;33;34;236;5,2;1,3;
