REGIAO:;CO
UF:;GO
ESTACAO:;POSSE
CODIGO (WMO):;A017
LATITUDE:;-14,08916666
LONGITUDE:;-46,36638888
ALTITUDE:;830
DATA DE FUNDACAO:;18/04/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;921,8;921,9;921,7;;24,9;18,3;24,9;24,7;18,5;18,3;68;67;67;101;2,5;,8;
2026/01/01;0100 UTC;0;921,8;921,9;921,5;;24,3;18,1;25;24,2;18,2;17,8;69;65;69;179;2;,1;
2026/01/01;0200 UTC;0;922;922;921,7;;24;18,7;24,4;23,5;18,8;18,1;73;69;72;79;2,3;1,3;
2026/01/01;0300 UTC;0;921,4;922,1;921,4;;23,3;18,4;24,3;23,3;18,8;18,2;74;69;74;86;2,3;1;
2026/01/01;0400 UTC;0;920,9;921,5;920,9;;23,1;18;23,8;23,1;18,5;17,6;74;69;73;18;3;0;
2026/01/01;0500 UTC;0;920,4;921;920,4;;23,6;17,7;23,7;23;18,3;17,7;74;69;69;37;1,8;,1;
2026/01/01;0600 UTC;0;920,2;920,4;920,1;;22,7;17,9;23,6;22,7;18,1;17,7;74;69;74;88;1,4;0;
2026/01/01;0700 UTC;0;919,9;920,2;919,9;;22,8;17,9;23,2;22,7;18;17,7;75;72;74;43;0;0;
2026/01/01;0800 UTC;0;920,3;920,3;919,9;;21,9;18,1;22,8;21,6;18,2;17,8;80;74;79;121;0;0;
2026/01/01;0900 UTC;0;920,8;920,8;920,3;32,9;22,3;17,8;22,3;21,8;18,3;17,7;80;76;76;93;0;0;
2026/01/01;1000 UTC;0;921,4;921,4;920,8;516,3;25,8;18,6;25,8;22,3;18,6;17,6;76;64;65;82;0;0;
2026/01/01;1100 UTC;0;921,9;921,9;921,3;1406,8;26,6;17,6;27;25,7;18,5;17,5;65;57;58;212;2;0;
2026/01/01;1200 UTC;0;922,1;922,1;921,8;2300,4;28,8;18,3;28,9;26,6;18,8;17,2;59;52;53;252;3,3;,8;
2026/01/01;1300 UTC;0;922;922,1;922;3061,4;29,9;17,7;30,3;28,3;18,7;16,8;54;47;48;239;4;1,4;
2026/01/01;1400 UTC;0;921,7;922;921,6;3664,8;31,1;17,7;31,2;29,4;18;16,5;49;43;45;326;5;1,3;
2026/01/01;1500 UTC;0;920,8;921,7;920,8;2530,2;31,1;17,6;31,5;29,3;19;17,2;51;44;45;244;5;2,3;
2026/01/01;1600 UTC;0;920,4;920,8;920,3;2825,5;30,3;17,7;32,6;30,1;18,7;16,9;49;42;47;245;5,8;1,6;
2026/01/01;1700 UTC;0;919,3;920,4;919,3;1764,4;31,1;18,2;31,4;29,9;18,3;17,1;49;44;46;294;5;2,5;
2026/01/01;1800 UTC;0;918,3;919,3;918,3;3384,9;32,6;17;33;31;18,6;16;47;37;39;255;5,9;1,4;
