REGIAO:;CO
UF:;GO
ESTACAO:;CAIAPONIA
CODIGO (WMO):;A023
LATITUDE:;-16,96694443
LONGITUDE:;-51,81749999
ALTITUDE:;740,1
DATA DE FUNDACAO:;21/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;931,3;931,3;930,3;;25,3;21,5;26,6;25,3;21,5;20,5;79;70;79;64;3,7;,5;
2026/01/01;0100 UTC;;931,7;931,7;931,3;;23,3;20,8;25,4;23,3;21,7;20,8;87;78;86;83;2,5;,3;
2026/01/01;0200 UTC;;931,8;931,9;931,7;;23,3;20,9;23,5;22,9;21;19,6;87;81;86;340;1,6;,4;
2026/01/01;0300 UTC;;932;932;931,8;;21,8;20;23,3;21,8;21,1;20;91;85;90;170;1,6;,1;
2026/01/01;0400 UTC;;931,1;931,9;931,1;;21,8;20,4;22,4;21,8;20,6;20,1;92;89;92;182;1,2;0;
2026/01/01;0500 UTC;;930,7;931,1;930,7;;21,7;20;22;21,7;20,3;19,9;92;88;90;183;0;0;
2026/01/01;0600 UTC;;930,3;930,7;930,3;;21,6;20,1;21,9;21,6;20,2;19,7;91;89;91;215;1,7;,1;
2026/01/01;0700 UTC;;929,8;930,3;929,7;;21;19,7;21,6;21;20,1;19,7;93;91;93;226;1,6;,1;
2026/01/01;0800 UTC;;930,1;930,1;929,7;;20,8;20;21;20,8;20,2;19,7;96;92;95;275;1,9;0;
2026/01/01;0900 UTC;;930,4;930,4;930;;20,7;19,2;20,9;20,7;20;19,2;95;90;91;240;2,1;,4;
2026/01/01;1000 UTC;;931;931;930,5;268,9;23;20,1;23;20,7;20,1;19,2;92;83;83;246;2,2;,2;
2026/01/01;1100 UTC;;931,4;931,4;931;1071,3;24,8;21,1;25,4;23;21,3;19,7;83;75;80;110;1,7;,4;
2026/01/01;1200 UTC;;931,6;931,6;931,3;1876,6;27,7;21,6;28;24,8;22,2;20,9;81;68;69;145;2;,1;
2026/01/01;1300 UTC;;932;932;931,6;2762,6;28,7;19,5;29,5;27,4;21,9;18,8;70;57;57;262;3,6;1,4;
2026/01/01;1400 UTC;;931,4;932;931,4;3408,3;29,8;20,1;30,7;28,7;21,6;19,5;62;54;56;319;5;1,2;
2026/01/01;1500 UTC;;930,7;931,4;930,7;4093,1;31,3;21;31,5;29,7;22;19,6;61;53;54;245;3,7;1,4;
2026/01/01;1600 UTC;;929,9;930,7;929,9;3653,2;30;20;32,3;29,9;21,4;19,2;59;47;55;303;4,4;1,2;
2026/01/01;1700 UTC;;928,7;929,9;928,7;3500;30,6;19,5;33,1;30;21,1;18,9;56;45;52;350;4,4;1,4;
2026/01/01;1800 UTC;;927,8;928,7;927,7;1100,2;28,4;21;31,5;28,4;21,1;19;64;50;64;343;8,2;2,5;
2026/01/01;1900 UTC;;926,9;927,8;926,9;2256;29,9;20,8;30,1;27,1;22,8;20,8;76;58;59;344;5,9;2,8;
2026/01/01;2000 UTC;;926,4;926,9;926,4;1557,2;29,9;19,2;30,1;29;21;19;60;52;53;358;6,6;2,3;
2026/01/01;2100 UTC;;926,7;926,7;926,2;194,1;29,1;18,5;29,9;29,1;19,7;18,4;56;52;53;325;5,5;2,4;
2026/01/01;2200 UTC;;926,7;927;926,7;66,3;27,3;19,3;29,1;27,2;19,3;17,7;62;51;62;325;4,2;,8;
2026/01/01;2300 UTC;;927,5;927,5;926,7;;27;19,3;27,3;26,8;19,4;19,1;63;61;63;290;1,8;0;
2026/01/02;0000 UTC;;928,6;928,7;927,5;;24,4;20,7;27;24,3;20,7;19,4;80;63;80;207;2,6;,7;
2026/01/02;0100 UTC;;929,3;929,3;928,6;;24,2;20,5;24,9;24,1;20,8;20,4;80;77;80;236;1,7;0;
2026/01/02;0200 UTC;;929,9;930;929,3;;23,4;20,9;24,2;23,4;21;20,4;86;80;86;148;1,4;0;
2026/01/02;0300 UTC;;929,6;930,1;929,6;;23,5;21;23,8;23,1;21,1;20,7;87;84;86;207;0;0;
2026/01/02;0400 UTC;;929,3;929,7;929,3;;23,2;20,9;23,8;23;21,2;20,8;87;85;87;222;3,3;,5;
2026/01/02;0500 UTC;;928,3;929,3;928,3;;22,7;20,7;23,2;22,6;21;20,7;89;87;89;207;1,7;0;
2026/01/02;0600 UTC;;928;928,3;928;;22,2;20,8;22,8;22,2;20,8;20,5;92;88;92;244;2,2;,1;
