REGIAO:;CO
UF:;GO
ESTACAO:;ALTO PARAISO DE GOIAS
CODIGO (WMO):;A024
LATITUDE:;-14,13305554
LONGITUDE:;-47,52333332
ALTITUDE:;1264,7
DATA DE FUNDACAO:;04/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,6;877,4;877,5;877,2;;18,3;16,8;18,8;18,2;17,2;16,7;92;89;91;18;1,9;,8;
2026/01/01;0100 UTC;,2;877,9;877,9;877,4;;18,1;16,3;18,3;17,6;17;16,2;93;89;89;336;1,7;,6;
2026/01/01;0200 UTC;,4;877,9;878,1;877,9;;17,3;15,6;18,1;16,8;16,3;15,6;94;88;90;38;1,8;,5;
2026/01/01;0300 UTC;,2;877,3;878;877,3;;17,6;15,8;17,6;16,5;16;15,1;94;89;89;304;2,5;1,7;
2026/01/01;0400 UTC;,4;876,6;877,3;876,6;;17,3;15,1;17,8;16,4;15,9;14,8;91;86;87;333;2,6;,7;
2026/01/01;0500 UTC;,2;876,2;876,6;876,2;;17,5;15,1;17,7;16,9;15,4;14,9;89;85;86;310;2,6;1,9;
2026/01/01;0600 UTC;,2;876;876,2;875,9;;16,6;15,1;17,7;16,1;15,2;14,4;92;85;91;308;2,6;1,9;
2026/01/01;0700 UTC;,2;875,8;876;875,8;;16,2;14,8;17,4;16,2;15,7;14,2;92;86;91;201;2,9;,2;
2026/01/01;0800 UTC;,2;876,1;876,1;875,8;;16;15,1;16,5;15,7;15,3;14,5;95;91;94;260;2,1;1,5;
2026/01/01;0900 UTC;,2;876,9;876,9;876,1;9;15,9;14,9;16,4;15,7;15,6;14,7;95;93;94;266;2;1,1;
