REGIAO:;CO
UF:;GO
ESTACAO:;IPORA
CODIGO (WMO):;A028
LATITUDE:;-16,42305554
LONGITUDE:;-51,14888888
ALTITUDE:;610,41
DATA DE FUNDACAO:;24/06/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;945;945;944,3;;25,8;22,3;26,4;25,6;22,8;22,3;83;79;81;307;3,6;1,5;
2026/01/01;0100 UTC;0;945,6;945,6;945;;25,5;21,4;25,8;25,4;22,2;21,4;82;78;78;245;3;1,3;
2026/01/01;0200 UTC;0;946;946;945,6;;24,4;21,8;25,5;24,4;22,1;21,2;86;78;86;24;2,1;1;
2026/01/01;0300 UTC;0;945,7;946,1;945,7;;24,1;22;24,5;23,8;22,1;21,6;90;85;88;192;2,4;1,6;
2026/01/01;0400 UTC;0;945,4;945,7;945,2;;23,4;22,3;24,1;23,1;22,3;21,8;94;88;94;102;3,3;1,4;
2026/01/01;0500 UTC;0;945;945,4;945;;23,5;21,7;24,3;23,4;22,4;21,5;94;85;89;85;8,7;2,4;
2026/01/01;0600 UTC;0;944,6;945;944,5;;23,1;20,9;23,8;23,1;21,7;20,9;89;85;87;163;4,6;1,4;
2026/01/01;0700 UTC;0;943,7;944,6;943,6;;22,4;21;23,1;22,4;21;20,7;92;87;92;225;3;,8;
2026/01/01;0800 UTC;0;943,9;944;943,6;;22;20,8;22,4;21,9;21;20,8;94;92;93;135;2,4;1;
2026/01/01;0900 UTC;0;944,2;944,2;943,9;;21,2;20,8;22;21,2;20,9;20,6;97;93;97;345;1,7;,9;
2026/01/01;1000 UTC;0;944,8;944,8;944,2;154,9;22,8;21,1;22,8;21,2;21,6;20,6;97;90;90;236;2;,6;
2026/01/01;1100 UTC;0;945,2;945,2;944,8;912,6;25,1;20,6;25,6;22,8;21,5;20,2;90;73;76;199;2;1;
2026/01/01;1200 UTC;0;945,7;945,7;945,2;1963,6;27,4;20,5;27,6;24,6;21,3;20;80;65;66;236;3,1;1,1;
2026/01/01;1300 UTC;0;945,8;945,9;945,7;2781,8;29,7;20,6;29,9;27,4;21,5;19,8;68;57;58;35;2,8;1,2;
2026/01/01;1400 UTC;0;945,5;945,8;945,5;3432,2;30,9;20,6;31,4;29,4;21,8;19,9;61;53;54;321;4,1;2,1;
