REGIAO:;CO
UF:;GO
ESTACAO:;PIRES DO RIO
CODIGO (WMO):;A033
LATITUDE:;-17,30416666
LONGITUDE:;-48,28416666
ALTITUDE:;757,27
DATA DE FUNDACAO:;12/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;929,6;929,6;929;;24,5;19,8;25,8;24,4;19,8;18,4;75;64;75;141;1,8;,3;
2026/01/01;0100 UTC;0;930,1;930,1;929,6;;23,5;19,1;24,6;23,5;19,9;19,1;78;74;77;145;2,3;0;
2026/01/01;0200 UTC;0;930,1;930,5;930,1;;22,7;20;23,7;22,7;20,3;19,1;85;77;85;354;2,3;,6;
2026/01/01;0300 UTC;0;929,6;930,2;929,6;;22,3;19,7;23,3;22,3;20;19,4;85;81;85;54;1,4;0;
2026/01/01;0400 UTC;0;929,3;929,6;929,3;;22,8;19,4;22,8;22,1;19,9;19,3;86;81;81;140;1,9;,2;
2026/01/01;0500 UTC;0;928,9;929,4;928,9;;22,7;19,8;23,1;22,6;19,9;19,4;84;81;84;151;1,8;,2;
2026/01/01;0600 UTC;0;928,9;928,9;928,5;;21,9;19,8;22,8;21,9;20;19,7;88;83;88;215;2,4;1,1;
2026/01/01;0700 UTC;0;928,6;928,9;928,6;;21,9;20;22,1;21,6;20;19,7;89;88;89;276;2,7;,8;
2026/01/01;0800 UTC;0;928,8;928,9;928,5;;21,5;19,9;21,9;21,5;20,2;19,8;91;89;91;324;1,5;,3;
2026/01/01;0900 UTC;0;929,1;929,2;928,7;10,6;21,5;19,7;21,8;21,4;20,2;19,7;91;89;90;284;2,3;,4;
2026/01/01;1000 UTC;0;929,4;929,5;929,1;436,3;24,2;20;24,2;21,5;20,6;19,2;90;75;78;12;1,7;,2;
2026/01/01;1100 UTC;0;929,8;929,8;929,4;1292,3;25,6;20;25,8;24,1;20,7;19,5;79;70;71;258;1,8;,6;
2026/01/01;1200 UTC;0;930,1;930,1;929,8;1896,5;27,4;20,7;27,6;25,6;21,2;19,6;72;66;67;211;3;,9;
2026/01/01;1300 UTC;0;930,2;930,3;930,1;2099,3;28,7;21,2;28,7;27,4;21,6;20,3;69;63;64;252;4,4;1,7;
2026/01/01;1400 UTC;0;930;930,3;930;2645,3;29,1;19,6;29,8;28;21,6;19,6;66;56;57;315;4,4;1,4;
2026/01/01;1500 UTC;0;928,9;930;928,9;3021,8;31,3;20,8;31,7;29;21;18,8;58;49;54;284;4,9;1,8;
2026/01/01;1600 UTC;0;927,8;928,9;927,8;3752,2;32;18,9;32,1;30;21,3;18,4;55;45;46;261;5;1,7;
2026/01/01;1700 UTC;0;926,8;927,8;926,8;2562,2;31,8;18,7;32,9;31,3;19,6;17,6;47;42;46;280;6,1;1,9;
2026/01/01;1800 UTC;0;925,6;926,8;925,6;1624,8;31,5;17,7;32;30;21,2;17,4;57;44;44;290;4,6;2,4;
2026/01/01;1900 UTC;0;924,8;925,6;924,8;2037;32,6;18,1;32,6;31,1;19,3;16,5;48;40;42;273;4,6;2;
2026/01/01;2000 UTC;0;925,9;925,9;924,8;645;26;17;32,9;26;17,9;14,8;57;39;57;299;10,6;5,2;
2026/01/01;2100 UTC;1,8;926,1;926,3;925,9;87;23,4;19,7;26;22,3;19,7;17,9;85;58;80;230;10,6;1;
