REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA (FAZENDA SANTA MONICA)
CODIGO (WMO):;A056
LATITUDE:;-16,39944444
LONGITUDE:;-47,62583332
ALTITUDE:;932
DATA DE FUNDACAO:;25/01/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;909,3;909,3;908,6;;21,7;19,6;21,7;20,8;19,9;19;92;85;88;101;6,1;0;
2026/01/01;0100 UTC;0;909,3;909,4;909,2;;20,6;19,5;22,5;20,4;20,2;18,5;94;78;94;213;3,1;,6;
2026/01/01;0200 UTC;;909,3;909,4;909,2;;20,7;19;21,1;20,5;19,6;19;95;89;90;;;2,5;
2026/01/01;0300 UTC;0;908,8;909,4;908,8;;19,3;18,4;20,8;19,3;19,1;18,4;94;89;94;342;3,7;0;
2026/01/01;0400 UTC;0;908,4;908,8;908,4;;19,8;18,9;20,1;19,3;19,2;18,5;97;92;95;300;2,9;,5;
2026/01/01;0500 UTC;0;907,8;908,4;907,8;;19,6;18,7;20;18,9;18,9;17,8;96;92;94;279;2,1;0;
2026/01/01;0600 UTC;0;907,8;907,9;907,8;;19,4;18,7;19,8;18,9;18,9;18,6;99;93;96;297;2,9;1,3;
2026/01/01;0700 UTC;0;907,7;907,8;907,6;;19,3;18,6;19,8;18,6;18,7;17,9;98;92;96;261;2,5;,1;
2026/01/01;0800 UTC;0;907,7;907,7;907,6;;19,3;18,4;19,4;18,8;18,7;18,4;98;94;94;268;2,3;,4;
2026/01/01;0900 UTC;0;908,2;908,2;907,7;14,6;19;18,5;19,3;18,6;18,6;18,3;99;94;97;317;2,1;,2;
2026/01/01;1000 UTC;0;908,7;908,8;908,2;374,4;20,8;19,5;21,2;19;20;18,6;97;91;92;257;2,5;,6;
2026/01/01;1100 UTC;0;909;909;908,7;1243,5;22,7;20,4;23;20,8;21,1;19,6;95;85;87;243;4,1;1,6;
2026/01/01;1200 UTC;0;909,4;909,4;909;1969,6;25,5;20,9;25,5;22,7;21,3;19,9;91;73;76;183;3,3;,3;
2026/01/01;1300 UTC;0;909,5;909,6;909,4;2789,8;26,8;20,7;26,8;25,3;21,6;19,5;77;66;69;226;4,7;1,7;
2026/01/01;1400 UTC;0;909;909,5;909;3079,3;27,3;19,8;28,5;26,8;21,5;18,9;71;58;64;224;4,5;1,1;
2026/01/01;1500 UTC;0;908,5;909;908,5;3630,4;29;18,7;29,2;26,7;21,6;18,1;67;53;54;210;4,7;1,1;
2026/01/01;1600 UTC;0;907,5;908,5;907,5;2756;29,4;18,1;30,3;27,8;21;17,2;65;47;50;358;4,6;,2;
2026/01/01;1700 UTC;0;906,3;907,5;906,3;2579,9;30,8;18,8;30,9;28,5;21,5;17,6;63;46;49;298;3,9;,2;
2026/01/01;1800 UTC;0;905,1;906,3;905,1;2368,2;30,9;17,6;31,5;28,9;19,7;16,9;59;43;45;284;6,7;2;
2026/01/01;1900 UTC;0;904,8;905,2;904,8;1533,8;27,6;17,5;30,8;25,9;19,8;16,6;67;44;54;12;10,9;3,8;
2026/01/01;2000 UTC;0;904,9;904,9;904,3;1845,8;29;18,7;29,2;27,2;20;17,4;59;50;54;21;6;1,9;
2026/01/01;2100 UTC;0;904,9;905;904,9;897,3;27,6;19,9;29,2;27,6;21,1;18,2;65;52;63;351;3,2;,1;
2026/01/01;2200 UTC;0;905,6;905,6;904,8;67,8;23,2;18,9;27,6;23,2;22,2;18,9;84;62;77;192;5,9;2,5;
2026/01/01;2300 UTC;0;905,8;906;905,6;;22,3;19,4;23,2;22,3;19,4;18,5;84;75;83;182;4,9;0;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;;;;;;22,2;19,1;22,5;21,3;19,1;;86;74;83;;;;
