REGIAO:;CO
UF:;MS
ESTACAO:;CAMPO GRANDE
CODIGO (WMO):;A702
LATITUDE:;-20,44722221
LONGITUDE:;-54,72249999
ALTITUDE:;528,47
DATA DE FUNDACAO:;10/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;951,9;951,9;951,3;0;25,8;21,2;27,3;25,7;21,2;20,4;76;67;76;257;2,6;1,3;
2026/01/01;0100 UTC;0;952,4;952,4;951,9;0;24,6;21,2;26,2;24,5;21,6;21;82;74;82;168;3,1;,6;
2026/01/01;0200 UTC;0;952,8;952,9;952,4;0;24,2;21,6;25;24;21,8;21,2;87;81;85;42;1,7;1,4;
2026/01/01;0300 UTC;0;952,7;952,9;952,7;0;24;21,4;24,2;23,8;21,8;21,2;88;85;86;72;2;1,1;
2026/01/01;0400 UTC;0;951,9;952,7;951,9;0;23,7;21;24,1;23,5;21,5;21;86;85;85;35;2,7;1,6;
2026/01/01;0500 UTC;0;951,7;951,9;951,6;0;23;20,7;23,9;22,9;21,1;20,4;87;83;87;155;2,9;,7;
2026/01/01;0600 UTC;0;951;951,7;951;0;23,9;20,7;23,9;23;20,7;20,5;87;82;82;66;3,3;2,3;
2026/01/01;0700 UTC;0;950,8;951;950,8;0;23,5;20;24,5;23,5;20,7;19,9;82;77;81;42;3,6;2,2;
2026/01/01;0800 UTC;0;951,1;951,1;950,7;0;23,4;20,1;23,7;23,3;20,2;20;82;80;82;35;3,5;1,9;
2026/01/01;0900 UTC;0;951,5;951,5;951;,6;22,9;20,2;23,5;22,8;20,3;20;85;81;85;44;2,7;1,4;
2026/01/01;1000 UTC;0;952,1;952,2;951,5;177,1;24,3;20,8;24,3;22,9;21,2;20,3;85;81;81;313;2,2;,6;
2026/01/01;1100 UTC;0;952,4;952,4;952,1;615,6;26,2;21,3;26,3;24,3;21,7;20,9;81;74;74;6;2,9;1,5;
2026/01/01;1200 UTC;0;952,6;952,6;952,3;1146,6;27,2;21,4;27,4;26,2;21,9;21,1;76;70;71;334;5,3;2,9;
2026/01/01;1300 UTC;0;952,7;952,7;952,6;2430,7;28,8;21,4;29,6;27,2;22,1;20,7;72;60;65;306;7,1;2,7;
2026/01/01;1400 UTC;0;952,5;952,8;952,5;2947,1;30;21,3;30,1;28,6;21,9;20,7;65;59;60;309;8,5;4,5;
2026/01/01;1500 UTC;8,6;952,7;953,6;952,4;1208,1;22,5;20,8;30,2;21,3;22;17,9;91;59;90;29;12,7;1,4;
2026/01/01;1600 UTC;0;951,5;952,7;951,5;659,6;25,7;22,1;25,7;22,5;22,1;20,7;91;80;81;21;3,1;,9;
2026/01/01;1700 UTC;,2;950,4;951,5;950,4;1612,9;28,1;22,5;28,3;25,7;23;21,5;82;69;72;281;3;1,3;
2026/01/01;1800 UTC;0;949,5;950,4;949,5;1882,1;28,8;22,7;28,8;27,4;22,8;20,9;75;64;70;259;5,2;1,2;
2026/01/01;1900 UTC;,8;948,9;949,5;948,8;804,9;25,4;22,7;28,8;25;22,7;20,7;85;66;85;245;6,6;1,2;
2026/01/01;2000 UTC;0;947,8;948,9;947,8;591,1;26,4;21,9;26,4;25;22,7;21,9;86;77;77;329;3,3;1,9;
2026/01/01;2100 UTC;0;948,1;948,1;947,7;435,9;25,9;21,7;26,4;25,7;22,3;21,5;82;74;78;90;5,2;,5;
