REGIAO:;CO
UF:;MS
ESTACAO:;PONTA PORA
CODIGO (WMO):;A703
LATITUDE:;-22,5525
LONGITUDE:;-55,71638888
ALTITUDE:;668
DATA DE FUNDACAO:;07/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;936,4;936,5;936,3;0;24,2;20;24,9;24,2;20,2;19,8;77;73;77;337;3,2;1,4;
2026/01/01;0100 UTC;0;936,7;936,8;936,4;0;23,8;19,3;24,3;23,7;20;19,3;79;76;76;8;3,4;1,2;
2026/01/01;0200 UTC;0;937,2;937,2;936,7;0;22,9;19,6;24;22,9;19,7;19,2;82;75;82;27;4,5;1,7;
2026/01/01;0300 UTC;0;936,9;937,3;936,9;0;23,5;19,2;23,5;22,8;19,7;19,2;82;77;77;15;3,5;,8;
2026/01/01;0400 UTC;0;936,6;936,9;936,6;0;24,7;17,7;24,7;23,4;19,2;17,6;77;65;65;343;2,8;1,1;
2026/01/01;0500 UTC;0;936,5;936,7;936,5;0;21,7;19,4;24,8;21,6;19,4;17,5;87;64;87;42;4,2;1,9;
2026/01/01;0600 UTC;0;935,8;936,5;935,7;0;21,1;19,7;21,7;21;19,7;19,4;91;87;91;37;3,5;1,9;
2026/01/01;0700 UTC;0;935,4;935,8;935,3;0;21,4;19,7;21,6;21,2;19,8;19,5;91;89;90;32;3,8;1,9;
2026/01/01;0800 UTC;0;935,4;935,4;935,1;0;21,2;19,4;21,8;21,2;19,8;19,4;91;88;89;49;4,3;2,1;
2026/01/01;0900 UTC;0;936;936;935,4;0;21,7;19,4;21,7;21,2;19,5;19,4;90;87;87;32;3,9;2;
