REGIAO:;CO
UF:;MS
ESTACAO:;PARANAIBA
CODIGO (WMO):;A710
LATITUDE:;-19,69555555
LONGITUDE:;-51,18166666
ALTITUDE:;408,06
DATA DE FUNDACAO:;10/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;966,5;966,5;965,8;1,5;23,1;20,8;23,2;22,6;21;20,5;89;87;87;302;4,4;1,3;
2026/01/01;0100 UTC;0;966,9;966,9;966,4;;23,1;21,2;23,3;23,1;21,4;20,8;89;87;89;47;2,8;,4;
2026/01/01;0200 UTC;0;967,4;967,4;966,9;;23,1;21,4;23,2;23,1;21,4;21,2;90;89;90;24;1,7;,3;
2026/01/01;0300 UTC;0;967,2;967,6;967,2;;23,3;21,2;23,5;23,1;21,5;21,2;90;88;88;11;2,3;,3;
2026/01/01;0400 UTC;0;966,7;967,2;966,7;;23,1;21;23,3;23;21,3;21;89;88;88;289;2,5;,8;
2026/01/01;0500 UTC;0;966,5;966,7;966,5;;23;20,8;23,3;23;21,2;20,8;89;87;87;6;2,7;1,2;
2026/01/01;0600 UTC;0;966,2;966,5;966,2;;23,4;21,1;23,4;23;21,1;20,8;88;86;87;350;2,4;,9;
2026/01/01;0700 UTC;0;965,8;966,2;965,7;;23,2;20,8;23,4;23,2;21,1;20,8;87;86;87;263;2;0;
2026/01/01;0800 UTC;0;965,8;965,8;965,6;;23;21,1;23,2;23;21,1;20,8;89;87;89;246;1,1;0;
2026/01/01;0900 UTC;0;966;966,1;965,7;,3;23,2;21,2;23,2;23;21,3;21;89;88;89;51;1,4;,3;
2026/01/01;1000 UTC;0;966,6;966,6;966;131,2;23,6;21,4;23,6;23,1;21,5;21,2;89;87;87;104;1,9;,2;
2026/01/01;1100 UTC;0;967;967;966,6;267,2;24;21,3;24,1;23,6;21,6;21,2;87;84;85;30;1,9;,4;
2026/01/01;1200 UTC;0;967,4;967,4;967;781,8;25,7;21,7;25,7;24;22,1;21,3;86;78;79;2;2,8;1,6;
2026/01/01;1300 UTC;0;967,1;967,4;967,1;1460,6;27,6;22,7;27,6;25,6;22,7;21,2;79;73;75;35;3,2;1,7;
2026/01/01;1400 UTC;0;967;967,2;967;3082,6;30,4;21,6;30,6;27,5;22,6;20,7;75;58;59;360;4,3;2;
2026/01/01;1500 UTC;0;966,1;967;966,1;2920;30,5;21,9;31,1;29,7;22,5;20,8;62;57;60;43;4,6;1,7;
2026/01/01;1600 UTC;0;965,1;966,1;965,1;3358,1;32,2;20,2;33,1;30,5;23,1;20,2;61;49;49;276;6,1;2,5;
2026/01/01;1700 UTC;0;963,5;965,1;963,5;3029;33,5;21,7;33,7;31,9;22,5;20,1;55;46;50;227;7,7;2,8;
2026/01/01;1800 UTC;0;963,1;963,5;962,8;2598,6;29,4;21,1;34,7;29,4;21,9;19,3;61;44;61;308;15;6,5;
2026/01/01;1900 UTC;0;962,1;963,1;962,1;1742,6;31,6;20,2;31,6;27;23,6;19,6;77;51;51;325;11,5;1,8;
2026/01/01;2000 UTC;0;961,5;962,1;961,5;1197,1;30,3;21,4;31,7;28,8;22,2;19,5;65;49;59;12;5,6;2,4;
2026/01/01;2100 UTC;0;961,7;961,8;961,5;709,1;29,6;21,2;30,5;29,4;21,4;20,7;62;57;61;358;4,4;2,3;
2026/01/01;2200 UTC;0;961,6;961,8;961,5;181,4;27,5;20,9;29,6;27,5;21,4;20,8;68;60;68;13;3,6;1,8;
2026/01/01;2300 UTC;0;963,7;963,7;961,6;;26,2;21,9;27,5;26,2;21,9;20,9;77;68;77;200;8,8;3;
2026/01/02;0000 UTC;0;964,2;964,4;963,7;;25,5;21,2;26,6;25,5;22,2;21;78;73;77;202;9,3;2,2;
