REGIAO:;CO
UF:;MS
ESTACAO:;AGUA CLARA
CODIGO (WMO):;A756
LATITUDE:;-20,44444444
LONGITUDE:;-52,87583332
ALTITUDE:;323,63
DATA DE FUNDACAO:;14/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;974,7;974,9;974,5;;24;22,3;24,2;24;22,8;22,3;93;90;91;153;1,8;,6;
2026/01/01;0100 UTC;0;975,2;975,2;974,5;;23,9;22,7;24,3;23,8;22,7;22,1;93;89;93;252;1,8;,1;
2026/01/01;0200 UTC;0;975,9;975,9;975,2;;23,6;22,7;24;23,5;22,9;22,6;95;92;95;186;1,4;0;
2026/01/01;0300 UTC;0;975,7;975,9;975,6;;23,6;22,9;23,7;23,6;23,1;22,7;96;94;96;267;0;0;
2026/01/01;0400 UTC;0;975,1;975,7;975,1;;23,9;22,9;24;23,5;23,2;22,8;96;94;94;326;1,8;,1;
2026/01/01;0500 UTC;0;974,7;975,1;974,7;;23,8;22,9;23,9;23,7;22,9;22,6;95;93;95;337;1,3;,1;
2026/01/01;0600 UTC;0;974,1;974,7;974,1;;23,5;23,1;23,8;23,5;23,2;22,9;98;95;98;195;1,5;0;
2026/01/01;0700 UTC;0;973,7;974,1;973,6;;23,5;23,1;23,6;23,4;23,2;22,8;98;96;98;262;1,9;,1;
2026/01/01;0800 UTC;0;973,8;973,8;973,6;;23,6;23,3;23,6;23,4;23,5;23,1;99;98;98;325;1,5;0;
2026/01/01;0900 UTC;0;974,3;974,3;973,8;;23,7;23,4;23,9;23,5;23,5;23,1;98;97;98;304;,9;0;
2026/01/01;1000 UTC;0;975,1;975,1;974,3;133,7;24,4;23,5;24,4;23,7;23,6;23,3;98;95;95;350;0;0;
