REGIAO:;CO
UF:;MS
ESTACAO:;COSTA RICA
CODIGO (WMO):;A760
LATITUDE:;-18,49277777
LONGITUDE:;-53,17138888
ALTITUDE:;727,34
DATA DE FUNDACAO:;04/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;931,4;931,4;930,9;;24,2;20,9;24,7;23,9;21,2;20,7;84;80;82;59;5;3,1;
2026/01/01;0100 UTC;,2;931,9;931,9;931,4;;23,3;20,9;24,2;23;21,3;20,8;90;82;86;33;5,7;3,8;
2026/01/01;0200 UTC;0;932,6;932,6;931,9;;22,9;20,9;23,4;22,7;21;20,6;89;85;89;8;5,2;3,4;
2026/01/01;0300 UTC;0;932,4;932,7;932,4;;22,7;21;23,1;22,7;21,2;20,9;91;89;90;4;4,3;2,8;
2026/01/01;0400 UTC;0;931,9;932,4;931,9;;22,7;21;22,9;22,3;21,2;20,9;92;90;90;15;3,8;2,8;
2026/01/01;0500 UTC;0;931,5;931,9;931,5;;23;21,2;23,5;22,2;21,4;20,6;92;87;89;29;4,4;3,6;
2026/01/01;0600 UTC;0;931;931,5;931;;22,3;21;23;22,2;21,1;20,9;92;89;92;12;4,1;2,4;
2026/01/01;0700 UTC;0;930,8;931,1;930,8;;22;21;22,4;22;21;20,9;94;91;94;48;3,5;2,6;
2026/01/01;0800 UTC;0;931,1;931,1;930,7;;21,9;20,7;22;21,3;21;20,7;96;93;93;317;3,9;1,6;
2026/01/01;0900 UTC;0;931,4;931,4;931;;21,8;20,5;22,2;21,8;20,7;20,3;93;90;92;41;3,6;2,3;
2026/01/01;1000 UTC;0;931,7;931,7;931,4;215,3;22,8;20,9;22,8;21,3;20,9;20,3;95;89;89;38;4,5;3,1;
2026/01/01;1100 UTC;0;931,9;932;931,7;1018,8;25,4;20,9;25,4;22,8;21,5;20,7;89;76;76;28;4,1;2,4;
2026/01/01;1200 UTC;0;932,3;932,4;931,9;1772,3;27,3;20,9;27,6;25,4;21,5;20,3;77;67;68;307;4,5;2,9;
2026/01/01;1300 UTC;0;932,4;932,5;932,3;2652,2;28,9;20,7;29,5;27,3;22,8;20,6;69;60;61;306;7;4,2;
2026/01/01;1400 UTC;0;932,2;932,4;932,2;2747,6;30;21,8;30,2;28,4;21,8;19,9;65;56;61;307;7,2;4,1;
2026/01/01;1500 UTC;0;931,5;932,3;931,5;3147,4;30,9;20,1;31;29;21,5;19,2;61;51;53;310;7,6;4,4;
2026/01/01;1600 UTC;0;930,9;931,5;930,9;3541,6;31,3;20,3;32,2;30,1;21,4;19,3;57;49;52;280;10,1;5,1;
2026/01/01;1700 UTC;0;929,4;930,9;929,4;3011,8;31,8;20,1;32;29,8;21,3;18,7;56;47;50;311;11,9;5,3;
2026/01/01;1800 UTC;0;928,4;929,4;928,4;2878,8;31,9;19,2;32,9;30,9;20,4;17,9;51;44;47;273;10,2;4,3;
2026/01/01;1900 UTC;0;927,5;928,4;927,5;2280,8;31;19,8;32,8;30,7;20,8;18,5;52;45;51;283;9,9;3,6;
2026/01/01;2000 UTC;0;927,2;927,5;927,1;1345,5;30,8;20;31,8;30,5;20,4;19;54;49;52;290;7,2;3,7;
2026/01/01;2100 UTC;0;927;927,2;927;807,5;30,4;19,7;31,1;30,4;20,4;19,2;54;50;53;275;7,3;4,1;
2026/01/01;2200 UTC;0;927,6;927,6;927;341,6;27,8;20;30,4;27,8;20,6;19,5;64;52;62;307;7,4;3,9;
2026/01/01;2300 UTC;0;928,3;928,3;927,6;8,3;25,6;20,3;27,8;25,6;20,4;19,5;73;62;73;332;6,3;1,4;
2026/01/02;0000 UTC;0;929;929;928,3;;24,5;20;25,9;24,4;20,5;20;77;72;76;355;3;2;
2026/01/02;0100 UTC;0;930;930;929;;23,7;20,1;24,5;23,7;20,1;19,9;80;76;80;23;3,5;2,7;
2026/01/02;0200 UTC;0;930,6;930,6;930;;22,8;19,4;23,7;22,8;20,1;19,3;81;77;81;23;5,5;3,5;
2026/01/02;0300 UTC;0;930,5;930,9;930,4;;22,3;19,7;23;22,2;19,8;19,4;85;81;85;34;4,3;3,2;
2026/01/02;0400 UTC;0;929,9;930,5;929,9;;22,3;20,3;22,5;22;20,3;19,6;89;85;88;24;4,8;3,6;
2026/01/02;0500 UTC;0;929;929,9;929;;21,9;20,1;22,3;21,8;20,4;20;90;88;90;22;5;3,2;
2026/01/02;0600 UTC;0;928,7;929;928,7;;22;20,1;22,1;21,4;20,2;20;92;89;89;342;4,4;2,4;
2026/01/02;0700 UTC;0;928,6;928,8;928,6;;22,3;20,2;22,5;21,8;20,3;19,9;90;87;88;6;3;2,1;
2026/01/02;0800 UTC;0;928;928,6;927,9;;21,6;20;22,3;21,6;20,2;20;90;88;90;9;3;2,6;
2026/01/02;0900 UTC;0;928,3;928,4;927,9;;21,4;19,9;22;21,4;20,1;19,8;91;89;91;1;3,8;2,7;
2026/01/02;1000 UTC;0;929,2;929,2;928,3;200,9;23,3;20,7;23,3;21,4;20,7;19,9;91;85;86;338;3,6;1,9;
2026/01/02;1100 UTC;0;929,6;929,6;929,2;957,8;25,8;21,5;25,8;23,3;21,7;20,7;86;77;77;344;4,9;2,8;
2026/01/02;1200 UTC;0;930,1;930,1;929,6;1652,4;27,6;21,5;27,6;25,7;22,2;21;78;69;69;335;6,9;4,5;
2026/01/02;1300 UTC;0;930,1;930,3;930,1;2197,2;28,3;20,8;29;27,1;22,2;20,5;71;64;64;303;8,1;5;
2026/01/02;1400 UTC;0;929,8;930,3;929,8;2772,1;29,2;20,9;30;28;21,7;20;65;59;61;317;9,7;6;
2026/01/02;1500 UTC;0;928,8;929,9;928,8;2899,2;28,9;21,7;30,1;28,5;22,4;19,9;67;58;65;302;8,9;5,4;
2026/01/02;1600 UTC;0;928,4;928,8;928,4;2370,1;28,5;21,3;31,2;26,8;22,7;20,1;75;55;65;293;9,6;5,8;
2026/01/02;1700 UTC;0;928,2;928,4;927,5;1712,2;24,3;20,1;30,9;24,3;21,9;18,3;77;52;77;226;18,3;10,7;
2026/01/02;1800 UTC;0;927;928,4;927;486,3;22;21,5;24,3;21,1;22,1;19,8;100;77;97;289;18,3;6,4;
2026/01/02;1900 UTC;0;926,4;927;926,3;417,1;22,3;21,7;22,4;22;22;21,5;98;96;96;249;9,6;4,1;
2026/01/02;2000 UTC;0;926,1;926,8;926,1;642;22,8;22;22,8;22,3;22;21,5;97;94;95;287;6,3;3,8;
2026/01/02;2100 UTC;0;926,6;926,6;926;397,7;22,7;22;23,1;22,6;22;21,5;95;92;95;296;6,2;3,5;
2026/01/02;2200 UTC;0;927,2;927,2;926,5;211,3;22,5;21,4;23;22,5;22,1;21,4;96;93;93;300;5,4;3,2;
2026/01/02;2300 UTC;0;927,9;928,1;927,2;7;21,7;21,1;22,5;21,7;21,4;21;96;93;96;285;5,6;3,4;
2026/01/03;0000 UTC;0;928,6;928,6;927,9;;21,4;21,4;21,7;21,4;21,6;21;100;96;100;333;5,6;2,6;
