REGIAO:;CO
UF:;MT
ESTACAO:;CUIABA
CODIGO (WMO):;A901
LATITUDE:;-15,60694444
LONGITUDE:;-56,06083333
ALTITUDE:;184
DATA DE FUNDACAO:;08/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;0;991,5;991,5;990,6;;28,8;20,8;29,8;28,8;21,1;20,7;62;58;62;312;5,3;1,8;
2026/01/01;0200 UTC;0;992;992;991,5;;28,3;21,1;29;28,2;21,1;20,6;65;61;65;358;4,4;1,8;
2026/01/01;0300 UTC;0;992,2;992,2;992;;27,6;20,9;28,3;27,6;21,1;20,7;67;65;67;339;4,2;2;
2026/01/01;0400 UTC;;;;;;27,6;19,6;27,8;27,4;20,9;;67;62;62;;;;
2026/01/01;0500 UTC;0;991;991,5;991;;27,8;18,5;27,9;27,5;19,6;18,4;62;57;57;13;3,2;1,2;
2026/01/01;0600 UTC;0;990,2;991;990,2;;27,6;18,1;27,8;27,4;18,6;18,1;58;56;56;25;3,6;1,2;
2026/01/01;0700 UTC;0;989,9;990,2;989,8;;27,2;18,5;27,6;27,2;18,5;18,1;59;56;59;348;3,6;1,3;
2026/01/01;0800 UTC;0;989,8;989,9;989,8;;26,9;19,1;27,3;26,9;19,2;18,5;63;59;62;350;2,4;,7;
2026/01/01;0900 UTC;0;990,5;990,5;989,8;;27,3;18,4;27,7;26,8;19,3;18,3;63;57;58;337;2,8;1,2;
2026/01/01;1000 UTC;0;991,2;991,2;990,5;53,1;27;19;27,5;27;19;18,3;62;57;62;350;5,1;2,2;
2026/01/01;1100 UTC;0;991,9;991,9;991,2;254,2;28,1;19,5;28,1;27;19,9;19;63;60;60;340;6,3;3,3;
2026/01/01;1200 UTC;0;992,3;992,3;991,9;1674,9;29,7;19,4;30,3;28;20,3;19,3;61;53;54;16;6,3;1,8;
2026/01/01;1300 UTC;0;992,1;992,3;992,1;2452,4;31,3;20;31,7;29,7;20,5;19,2;55;48;51;356;4,2;1,9;
2026/01/01;1400 UTC;0;991,5;992,1;991,5;3105,6;32,5;20,3;32,8;31,2;20,7;19;51;46;49;313;6,1;2,3;
