REGIAO:;CO
UF:;MT
ESTACAO:;S.J. DO RIO CLARO
CODIGO (WMO):;A903
LATITUDE:;-13,45388888
LONGITUDE:;-56,67722221
ALTITUDE:;339,59
DATA DE FUNDACAO:;25/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;973,1;973,1;972,3;0;25,7;21,7;26,4;25,6;22,2;21,6;81;76;79;276;,9;,1;
2026/01/01;0100 UTC;;974,3;974,3;973,1;0;25,7;21,7;25,7;25,3;22;21,3;82;78;79;258;,5;,1;
2026/01/01;0200 UTC;;975,2;975,2;974,3;0;25;21,9;25,7;25;22,5;21,8;85;79;83;220;2,7;,9;
2026/01/01;0300 UTC;;975,3;975,4;975,1;0;24,4;21,4;25;24,3;21,9;21,4;86;83;84;206;2,9;,7;
2026/01/01;0400 UTC;;974,6;975,3;974,5;0;23,6;21,4;24,4;23,4;21,4;21,2;88;83;87;217;2;,9;
2026/01/01;0500 UTC;;974;974,6;974;0;23,1;21,2;23,8;23,1;21,5;21,1;89;87;89;116;2;,2;
2026/01/01;0600 UTC;;973,1;974;973,1;0;22,6;20,8;23,2;22,6;21,4;20,8;91;89;90;273;1,5;,5;
2026/01/01;0700 UTC;;972,7;973,1;972,7;0;22,3;20,7;22,7;22,3;21,1;20,6;91;90;91;168;1,5;,5;
2026/01/01;0800 UTC;;972,9;972,9;972,6;0;22;20,5;22,3;21,9;20,7;20,3;91;90;91;224;1,1;,3;
2026/01/01;0900 UTC;;973,4;973,4;972,9;0;21,8;20,4;22;21,7;20,6;20,3;92;91;92;215;1;,4;
