REGIAO:;CO
UF:;MT
ESTACAO:;AGUA BOA
CODIGO (WMO):;A908
LATITUDE:;-14,01638888
LONGITUDE:;-52,21166666
ALTITUDE:;440
DATA DE FUNDACAO:;16/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;962,5;962,6;961,8;0;24,6;21,8;25,1;23,8;21,8;20,6;84;77;84;197;1,3;0;
2026/01/01;0100 UTC;0;963,1;963,1;962,5;0;23;20,8;24,8;23;21,9;20,6;87;84;87;109;,6;0;
2026/01/01;0200 UTC;0;963,9;963,9;963,1;0;23,2;21,1;24,2;22,9;22;20,7;89;87;88;70;1,7;1,1;
2026/01/01;0300 UTC;0;963,7;963,9;963,6;0;23,1;21,3;23,2;22,6;21,3;20,6;90;88;90;29;1,4;0;
2026/01/01;0400 UTC;0;962,7;963,7;962,7;0;23,3;21,6;23,9;23;22;21,2;90;89;90;79;0;0;
2026/01/01;0500 UTC;0;961,8;962,7;961,8;0;22,3;20,7;23,3;22,1;21,7;20,4;91;89;91;174;0;0;
2026/01/01;0600 UTC;0;961,2;961,8;961,2;0;22;20,4;22,3;21,6;20,6;20,1;92;91;91;330;0;0;
2026/01/01;0700 UTC;0;961,1;961,2;961;0;21,4;19,8;22,3;21,2;20,6;19,6;91;90;91;5;1,2;,8;
2026/01/01;0800 UTC;0;961,1;961,2;961;0;21,1;19,7;22;20,8;20,4;19,3;92;90;92;16;1,1;0;
2026/01/01;0900 UTC;0;961,7;961,7;961,1;,1;20,8;19,4;21,8;20,6;20,3;19,1;92;91;92;276;0;0;
2026/01/01;1000 UTC;0;962,4;962,4;961,7;144;25,4;23,8;25,5;20,6;24,1;19,2;93;91;91;244;0;0;
2026/01/01;1100 UTC;0;963,2;963,2;962,4;687;27;23,3;27;24,1;25;22,3;91;80;80;258;0;0;
2026/01/01;1200 UTC;0;963,7;963,7;963,2;1327,8;29,1;21,8;29,1;26,9;23,3;21,5;80;64;65;264;0;0;
2026/01/01;1300 UTC;0;963,7;963,8;963,6;1764,4;30,3;21,4;30,4;28,6;21,8;20,4;65;58;59;298;4,3;2,5;
