REGIAO:;CO
UF:;MT
ESTACAO:;BRASNORTE (NOVO MUNDO)
CODIGO (WMO):;A927
LATITUDE:;-12,52194443
LONGITUDE:;-58,23138888
ALTITUDE:;426,2
DATA DE FUNDACAO:;29/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;963,3;963,3;962,6;;24;22,6;24;23,7;22,9;22,4;94;92;92;167;3,1;,6;
2026/01/01;0100 UTC;0;964,3;964,3;963,2;;23,9;22,7;24,1;23,6;22,8;22,4;94;90;93;322;1,8;,1;
2026/01/01;0200 UTC;0;964,9;964,9;964,3;;24;22,3;24;23,6;22,9;22,3;95;90;90;232;1,6;,4;
2026/01/01;0300 UTC;0;965;965;964,8;;23,7;22,5;24,3;23,7;22,6;22;93;87;93;138;2,8;1,1;
2026/01/01;0400 UTC;0;964,5;965;964,5;;23,3;22,6;23,7;23,2;22,6;22,3;96;93;96;148;2,9;1,3;
2026/01/01;0500 UTC;0;963,8;964,5;963,8;;23,1;22,5;23,3;23,1;22,6;22,5;97;96;97;137;2,6;,7;
2026/01/01;0600 UTC;0;963,3;963,8;963,2;;23;22,2;23,1;23;22,6;22,2;97;95;96;162;4,1;1,6;
2026/01/01;0700 UTC;0;962,8;963,3;962,8;;22,8;22,2;23;22,7;22,3;22,2;97;96;97;150;4,3;2,6;
2026/01/01;0800 UTC;0;962,5;962,8;962,4;;22,9;21,8;23;22,8;22,2;21,8;97;94;94;154;5,2;2,6;
2026/01/01;0900 UTC;0;963;963;962,5;;22,5;21,7;22,9;22,5;21,9;21,7;96;94;95;145;6;3;
2026/01/01;1000 UTC;0;963,7;963,7;963;67,6;22,7;21,7;22,7;22,4;21,7;21,5;95;94;94;145;6,7;2,8;
2026/01/01;1100 UTC;0;964,1;964,1;963,7;585;23,7;21,7;23,7;22,7;21,8;21,3;94;89;89;143;5,8;2,5;
2026/01/01;1200 UTC;0;964,8;964,8;964,1;1521,9;25,7;22,1;26,3;23,7;22,8;21,5;89;79;80;136;5,2;1,7;
2026/01/01;1300 UTC;0;964,9;965;964,8;2225;28,7;22,8;29;25,6;24,1;21,9;82;70;70;124;3,9;,8;
2026/01/01;1400 UTC;0;964,8;964,9;964,8;2599,6;30;22,9;30,4;28,5;24,2;21,6;75;63;66;318;2,8;,7;
2026/01/01;1500 UTC;0;964;964,8;964;3417,8;30;23,4;30,9;29,5;24;22;69;62;68;276;3,8;1,4;
2026/01/01;1600 UTC;0;963,2;964;963,2;4319,7;31,6;22,9;31,9;30;24,2;22,6;68;59;60;309;5,3;2,2;
2026/01/01;1700 UTC;0;962,3;963,2;962,3;3841,2;31,7;24,2;32,1;30,9;24,9;22,7;68;58;64;304;5,3;3,3;
2026/01/01;1800 UTC;0;960,9;962,3;960,9;3955,8;32,2;22,5;32,6;30,5;24,3;22,2;68;55;57;284;5,3;1,8;
2026/01/01;1900 UTC;0;959,4;960,9;959,4;3549;32,8;22,7;33,1;32,1;24,1;22,1;61;54;55;301;5;2;
2026/01/01;2000 UTC;0;958,7;959,4;958,7;2461,8;32,9;21,5;33;31,5;23,4;21,5;60;51;51;288;4,5;1,1;
2026/01/01;2100 UTC;0;958,7;958,8;958,6;1220,6;31,2;24,4;32,9;30;24,8;22,1;71;51;67;322;4,5;1,5;
2026/01/01;2200 UTC;0;959,3;959,3;958,7;380,4;28,6;23;31,4;28,6;24,4;22,9;75;64;72;283;3,3;,9;
2026/01/01;2300 UTC;0;960,3;960,3;959,3;3,9;28,1;22;28,6;27,7;23;21,8;74;69;70;243;3,1;,2;
2026/01/02;0000 UTC;0;960,6;961;960,4;;25,5;22,2;28,2;25,5;22,4;22;82;69;82;165;5,1;1,6;
2026/01/02;0100 UTC;0;961,6;961,6;960,6;;24,9;22;25,5;24,8;22,2;21,9;85;82;84;166;4;1;
2026/01/02;0200 UTC;0;962,5;962,5;961,6;;25;22;25,2;24,7;22,1;21,8;85;82;84;144;2,4;,6;
2026/01/02;0300 UTC;0;963;963,1;962,5;;24,2;22,4;26,3;24,2;22,8;21,9;90;77;90;320;3,7;1,9;
2026/01/02;0400 UTC;0;962,7;963;962,7;;23,5;22,2;24,2;23,4;22,4;22,2;93;90;93;163;3,8;1,3;
2026/01/02;0500 UTC;0;962;962,7;961,8;;23,3;22,2;23,6;23,2;22,3;22,2;94;93;94;209;4;1,8;
2026/01/02;0600 UTC;0;962,1;962,4;962;;23,3;22,5;23,4;23;22,6;22,3;96;94;95;296;7,9;1,1;
2026/01/02;0700 UTC;0;961,7;962,1;961,6;;23,1;22,6;23,4;23,1;22,7;22,4;97;94;97;145;2,6;1,2;
2026/01/02;0800 UTC;,6;961,6;961,9;961,5;;22,8;22,6;23,1;22,8;22,7;22,5;99;97;99;140;3;1,5;
