REGIAO:;NE
UF:;AL
ESTACAO:;MACEIO
CODIGO (WMO):;A303
LATITUDE:;-9,55111111
LONGITUDE:;-35,77027777
ALTITUDE:;84,12
DATA DE FUNDACAO:;25/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1006,8;1006,8;1006,3;;25,4;23,1;25,9;25,4;23,2;23;87;84;87;46;4,9;2,3;
2026/01/01;0100 UTC;0;1006,9;1007;1006,8;;24,7;23,1;25,4;24,7;23,2;23;91;87;91;31;4,1;2;
2026/01/01;0200 UTC;0;1006,5;1006,9;1006,5;;24,4;23,1;24,7;24,4;23,1;23;92;91;92;26;3,5;1,9;
2026/01/01;0300 UTC;0;1005,9;1006,5;1005,9;;24,4;23,2;24,5;24,3;23,2;23;93;92;93;12;3,5;1,7;
2026/01/01;0400 UTC;0;1005,2;1005,9;1005,2;;23,9;22,9;24,4;23,9;23,2;22,8;95;92;94;358;3;1,4;
2026/01/01;0500 UTC;0;1004,6;1005,2;1004,6;;23,5;22,8;23,9;23,4;23;22,7;96;94;96;2;2,4;1,5;
2026/01/01;0600 UTC;0;1003,9;1004,6;1003,9;;23,4;22,8;23,5;23,3;22,9;22,8;97;96;97;4;2,4;1,5;
2026/01/01;0700 UTC;0;1003,9;1004;1003,8;;23,4;22,9;23,4;23,3;23;22,8;97;97;97;340;2,8;1,3;
2026/01/01;0800 UTC;0;1004,3;1004,3;1003,9;;23,4;22,8;23,5;23,3;23;22,8;97;97;97;352;2,8;1,7;
2026/01/01;0900 UTC;0;1004,5;1004,6;1004,3;179,9;24,7;23,5;24,7;23,3;23,5;22,8;97;93;93;359;4,1;2,1;
2026/01/01;1000 UTC;0;1004,5;1004,5;1004,3;941,4;27;23,8;27;24,7;23,9;23,4;93;82;82;6;7,1;3,7;
2026/01/01;1100 UTC;0;1004,7;1004,8;1004,5;1908;28,6;22,9;29,4;26,7;23,9;22,9;83;70;71;33;9,1;5,8;
2026/01/01;1200 UTC;0;1004,7;1004,8;1004,6;2525,2;30,9;23,3;31,6;28,5;23,5;22,4;73;61;64;25;8,9;4,4;
2026/01/01;1300 UTC;0;1004,2;1004,7;1004,1;3209,8;32,1;21,6;33;29,6;23;21,3;64;51;54;43;9,6;6,3;
2026/01/01;1400 UTC;0;1003,5;1004,2;1003,5;3874,4;33,4;24;34;31,6;24;20,1;59;46;58;59;9,8;5;
2026/01/01;1500 UTC;0;1003;1003,6;1003;3839,7;32,2;23,2;33,4;32;23,7;22,7;60;56;59;75;9,6;5,4;
2026/01/01;1600 UTC;0;1002,4;1003;1002,4;3469,3;32,8;23,7;33,1;31,4;23,9;22,9;62;57;59;73;10,3;6;
2026/01/01;1700 UTC;0;1001,6;1002,4;1001,6;3074,8;31,6;23,4;33,3;31,2;24,1;23,1;63;57;62;77;10,4;6,5;
2026/01/01;1800 UTC;0;1001,2;1001,7;1001,2;2423,6;30,9;23,1;31,9;30,6;23,9;22,9;65;61;64;68;11;6,8;
2026/01/01;1900 UTC;0;1001,3;1001,3;1001,1;1515,7;29,8;23;31;29,7;23,3;22,5;68;63;67;66;12,3;6,8;
2026/01/01;2000 UTC;0;1001,8;1001,8;1001,3;286,1;28,3;23,5;29,8;28,2;23,5;22,9;75;67;75;64;10,5;6;
2026/01/01;2100 UTC;0;1002,1;1002,1;1001,8;73,2;27,1;23,5;28,3;27,1;23,6;23,1;81;75;81;58;11;5,3;
2026/01/01;2200 UTC;0;1002,8;1002,8;1002,1;;26,6;23,6;27,1;26,6;23,6;23,4;84;81;84;50;9,8;5,2;
2026/01/01;2300 UTC;0;1003,6;1003,6;1002,8;;26,3;23,4;26,6;26,3;23,6;23,3;84;83;84;38;8,1;4,3;
2026/01/02;0000 UTC;0;1004,1;1004,1;1003,5;;26;23,5;26,3;26;23,5;23,4;86;84;86;33;6,9;3,6;
2026/01/02;0100 UTC;0;1003,8;1004,1;1003,8;;25,7;23,4;26;25,7;23,5;23,4;87;86;87;30;6;3,9;
2026/01/02;0200 UTC;0;1003,3;1003,8;1003,3;;25,4;23,3;25,7;25,4;23,4;23,3;88;87;88;28;5,9;3,1;
2026/01/02;0300 UTC;0;1003;1003,3;1002,9;;25,1;23,3;25,4;25,1;23,4;23,3;90;88;90;22;5,7;2,9;
