REGIAO:;NE
UF:;AL
ESTACAO:;PAO DE ACUCAR
CODIGO (WMO):;A323
LATITUDE:;-9,74916666
LONGITUDE:;-37,43083332
ALTITUDE:;20,83
DATA DE FUNDACAO:;14/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1012,6;1012,7;1011,7;;28,4;;29,5;28,4;;;;;;116;9,8;3,2;
2026/01/01;0100 UTC;0;1012,8;1012,8;1012,6;;27,6;;28,4;27,6;;;;;;117;9,5;2,5;
2026/01/01;0200 UTC;0;1012,4;1012,8;1012,4;;27;;27,6;27;;;;;;117;5,8;2,2;
2026/01/01;0300 UTC;0;1012;1012,4;1012;;26,5;;27;26,5;;;;;;116;5,2;1,6;
2026/01/01;0400 UTC;0;1011,3;1012;1011,3;;26;;26,5;26;;;;;;124;4,1;1,3;
2026/01/01;0500 UTC;0;1011;1011,3;1010,9;;25,2;;26;25,2;;;;;;104;3;,1;
2026/01/01;0600 UTC;0;1010,5;1011;1010,5;;24,1;;25,2;24,1;;;;;;73;2;0;
2026/01/01;0700 UTC;0;1010,4;1010,5;1010,2;;24;;24,3;23,8;;;;;;75;,6;0;
2026/01/01;0800 UTC;0;1010,7;1010,7;1010,3;;23,3;;24;23,2;;;;;;45;0;0;
2026/01/01;0900 UTC;0;1010,8;1010,9;1010,7;101,2;24,5;;24,5;22,8;;;;;;99;0;0;
2026/01/01;1000 UTC;0;1011,2;1011,2;1010,8;715,9;27,1;;27,1;24,4;;;;;;116;0;0;
2026/01/01;1100 UTC;0;1011,2;1011,3;1011,1;1624,8;28,9;;29,5;27;;;;;;183;1,8;,3;
2026/01/01;1200 UTC;0;1010,8;1011,2;1010,8;2447,8;31,1;;31,5;28,4;;;;;;188;3,4;,9;
2026/01/01;1300 UTC;0;1010,2;1010,8;1010,2;3093,1;32,5;;33,7;31;;;;;;248;3,7;1,2;
2026/01/01;1400 UTC;0;1009,2;1010,2;1009,2;3482,4;35,3;;35,3;32,6;;;;;;239;4,2;1,5;
2026/01/01;1500 UTC;0;1008,4;1009,2;1008,4;3650,3;36,1;;36,8;34,4;;;;;;151;4,2;1,4;
2026/01/01;1600 UTC;0;1007,4;1008,4;1007,4;2989,5;36,7;;37,5;36;;;;;;185;4,3;1;
2026/01/01;1700 UTC;0;1006,6;1007,4;1006,5;2336,5;36,9;;38;35,8;;;;;;140;4,5;2,1;
2026/01/01;1800 UTC;0;1005,8;1006,6;1005,7;1417,1;37,5;;38,6;36,5;;;;;;14;4,2;,7;
2026/01/01;1900 UTC;0;1005,3;1005,8;1005,3;1497;37,6;;38,2;37,1;;;;;;116;5,6;2,8;
2026/01/01;2000 UTC;0;1005,7;1005,7;1005,3;609;35;;37,5;35;;;;;;118;9,5;5,3;
2026/01/01;2100 UTC;0;1006,8;1006,8;1005,7;124,7;31,9;;35;31,9;;;;;;128;10;4,4;
2026/01/01;2200 UTC;0;1007,8;1007,8;1006,8;;30,8;;32;30,8;;;;;;119;10,1;4,9;
2026/01/01;2300 UTC;0;1008,7;1008,8;1007,8;;29,7;;30,8;29,7;;;;;;114;9,1;3,6;
2026/01/02;0000 UTC;0;1009,3;1009,3;1008,7;;28,8;;29,7;28,8;;;;;;118;7,5;2,3;
2026/01/02;0100 UTC;0;1009,3;1009,3;1009;;28;;28,8;28;;;;;;116;6,7;2,2;
2026/01/02;0200 UTC;0;1009,2;1009,3;1009,1;;27,5;;28;27,5;;;;;;126;5,8;1,4;
2026/01/02;0300 UTC;0;1008,7;1009,2;1008,7;;27,1;;27,5;27,1;;;;;;116;3,9;,5;
2026/01/02;0400 UTC;0;1008,4;1008,7;1008,4;;26,7;;27,1;26,7;;;;;;138;2,6;,1;
2026/01/02;0500 UTC;0;1008,1;1008,4;1008,1;;26,3;;26,8;26,3;;;;;;122;2,7;,5;
2026/01/02;0600 UTC;0;1007,9;1008,1;1007,9;;26,4;;26,4;26,2;;;;;;125;2,3;,1;
2026/01/02;0700 UTC;0;1007,9;1007,9;1007,8;;26,2;;26,4;26,2;;;;;;130;2,3;,5;
2026/01/02;0800 UTC;0;1008,4;1008,4;1007,9;;25,5;;26,2;25,5;;;;;;97;1,9;0;
2026/01/02;0900 UTC;0;1009,2;1009,2;1008,4;59,9;25,8;;25,8;25,4;;;;;;121;,9;0;
2026/01/02;1000 UTC;0;1009,1;1009,2;1009;662,8;27,4;;28,1;25,8;;;;;;164;1,1;,1;
2026/01/02;1100 UTC;0;1009,2;1009,3;1009,1;1033,4;28,9;;29;27,3;;;;;;173;3,7;1,1;
2026/01/02;1200 UTC;0;1009,3;1009,5;1009,2;1198,6;31,6;;31,8;28,9;;;;;;194;3;0;
2026/01/02;1300 UTC;0;1008,9;1009,3;1008,9;2596,3;34,4;;34,6;31,3;;;;;;330;5,9;,7;
2026/01/02;1400 UTC;0;1008,1;1008,9;1008,1;2849,1;35,6;;36,9;34;;;;;;356;6,3;2,4;
2026/01/02;1500 UTC;0;1007,4;1008,1;1007,4;1830,8;35,1;;36,8;34,9;;;;;;254;6,5;,3;
2026/01/02;1600 UTC;0;1006,2;1007,4;1006,2;2692;36,8;;38;35,1;;;;;;25;5,8;,3;
2026/01/02;1700 UTC;0;1004,9;1006,2;1004,9;2413,5;38,1;;39,1;36,2;;;;;;220;4,6;1;
