REGIAO:;NE
UF:;BA
ESTACAO:;CRUZ DAS ALMAS
CODIGO (WMO):;A406
LATITUDE:;-12,67555554
LONGITUDE:;-39,08944444
ALTITUDE:;219,76
DATA DE FUNDACAO:;19/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;989,9;989,9;989,3;;24,9;;25,2;24,9;;;;;;99;6,7;3,3;
2026/01/01;0100 UTC;0;990,2;990,2;989,9;;24,5;;24,9;24,5;;;;;;98;5,5;3,4;
2026/01/01;0200 UTC;0;989,7;990,2;989,7;;24,3;;24,5;24,2;;;;;;92;5;2;
2026/01/01;0300 UTC;0;989,2;989,7;989,2;;24,2;;24,3;24,2;;;;;;97;4;2,3;
2026/01/01;0400 UTC;0;988,6;989,2;988,6;;24,3;;24,3;24,2;;;;;;77;6,8;2,6;
2026/01/01;0500 UTC;0;988,2;988,6;988,2;;24,2;;24,3;24,2;;;;;;97;4,7;2,6;
2026/01/01;0600 UTC;0;987,6;988,2;987,6;;23,9;;24,2;23,9;;;;;;86;4,9;1,7;
2026/01/01;0700 UTC;0;987,5;987,6;987,4;;23,5;;23,9;23,4;;;;;;107;3,5;1,7;
2026/01/01;0800 UTC;0;987,7;987,7;987,4;;23,3;;23,6;23,3;;;;;;90;4,5;2,5;
2026/01/01;0900 UTC;0;988,6;988,6;987,7;71,7;23,6;;23,6;23,2;;;;;;43;4,3;1,2;
2026/01/01;1000 UTC;0;988,7;988,7;988,5;433,7;24,8;;24,8;23,7;;;;;;44;6,3;2,7;
2026/01/01;1100 UTC;0;988,7;988,8;988,7;1482,4;26,9;;26,9;24,7;;;;;;56;6,5;2,7;
2026/01/01;1200 UTC;0;989;989;988,7;1763,3;28;;28,3;26,4;;;;;;59;6,2;2,7;
2026/01/01;1300 UTC;0;988,8;989;988,8;1488,6;28,1;;28,6;27,6;;;;;;55;5,7;1,9;
2026/01/01;1400 UTC;0;988,2;988,8;988,2;1738,2;29,6;;30,2;28,1;;;;;;81;5,3;1,4;
2026/01/01;1500 UTC;0;987,6;988,2;987,6;2434,5;31,4;;32,1;29,5;;;;;;93;5,8;3;
2026/01/01;1600 UTC;0;986,8;987,7;986,8;1758,1;31,5;;32,6;30,5;;;;;;124;5,9;2,6;
2026/01/01;1700 UTC;0;985,7;986,8;985,7;2600;31,8;;33,5;31,5;;;;;;144;6,2;3,3;
2026/01/01;1800 UTC;0;984,7;985,7;984,7;1832,2;31,4;;33,6;31,4;;;;;;96;7,1;2,7;
2026/01/01;1900 UTC;0;984,3;984,7;984,2;1641,8;31,4;;32,6;31,2;;;;;;116;10;5,6;
2026/01/01;2000 UTC;0;984,6;984,6;984,3;1180,9;29,7;;31,4;29,7;;;;;;106;10;4,8;
2026/01/01;2100 UTC;0;985;985;984,5;331,7;27,4;;29,6;27,4;;;;;;126;9,1;5,2;
2026/01/01;2200 UTC;0;985,4;985,4;985;,2;26,3;;27,4;26,3;;;;;;121;8,9;3,9;
2026/01/01;2300 UTC;0;985,7;985,7;985,4;;25,6;;26,3;25,5;;;;;;98;7,3;4,3;
2026/01/02;0000 UTC;0;986,6;986,6;985,7;;24,8;;25,6;24,7;;;;;;95;6,8;3,1;
2026/01/02;0100 UTC;0;986,9;986,9;986,6;;23,9;;24,8;23,9;;;;;;94;6;0;
2026/01/02;0200 UTC;0;986,9;987,2;986,9;;23,5;;24;23,5;;;;;;101;0;0;
2026/01/02;0300 UTC;0;986,5;986,9;986,5;;23,4;;23,6;23,3;;;;;;100;0;0;
2026/01/02;0400 UTC;0;985,9;986,6;985,8;;23,6;;23,6;23,2;;;;;;69;0;0;
2026/01/02;0500 UTC;0;985,5;985,9;985,5;;23,8;;23,8;23,6;;;;;;58;0;0;
2026/01/02;0600 UTC;0;985,3;985,5;985,3;;23,7;;23,8;23,7;;;;;;42;0;0;
2026/01/02;0700 UTC;0;985,6;985,6;985,3;;23,7;;23,8;23,7;;;;;;52;0;0;
2026/01/02;0800 UTC;0;986;986;985,6;;23,9;;23,9;23,6;;;;;;24;4,6;1,2;
2026/01/02;0900 UTC;0;986,1;986,2;985,9;68,6;23,9;;24;23,8;;;;;;80;3,1;0;
2026/01/02;1000 UTC;0;986,8;986,8;986,1;497,9;25,3;;25,6;23,9;;;;;;25;0;0;
2026/01/02;1100 UTC;0;986,9;987;986,8;1207,3;27,5;;27,5;25,3;;;;;;48;0;0;
2026/01/02;1200 UTC;0;987,1;987,2;986,9;1443;27,7;;28,5;26;;;;;;28;5;2,9;
2026/01/02;1300 UTC;0;986,8;987,1;986,8;2867,9;29,5;;30,7;27,7;;;;;;352;5,1;2,4;
2026/01/02;1400 UTC;0;986,1;986,9;986,1;3491,8;32,3;;32,3;29,3;;;;;;85;5,8;2,4;
2026/01/02;1500 UTC;0;985,2;986,1;985,2;2616,6;32,4;;32,8;31,4;;;;;;103;5,8;1,4;
2026/01/02;1600 UTC;0;984,1;985,2;984,1;2575,4;32,2;;34,3;31,9;;;;;;115;5,9;3,3;
2026/01/02;1700 UTC;0;982,8;984,1;982,8;1627,1;32,7;;34,1;32,2;;;;;;83;6,2;1,8;
2026/01/02;1800 UTC;0;981,9;982,8;981,9;1698,6;32,6;;34,3;32,6;;;;;;109;5,9;3,6;
2026/01/02;1900 UTC;0;981,3;981,9;981,2;1664,7;33,4;;33,9;32,2;;;;;;92;7,2;2,6;
2026/01/02;2000 UTC;0;981,3;981,3;981,2;1075,5;31,4;;33,4;31,4;;;;;;108;8,3;5,4;
2026/01/02;2100 UTC;0;981,7;981,7;981,2;340,8;28,6;;31,4;28,6;;;;;;119;8,3;4,3;
2026/01/02;2200 UTC;0;982,3;982,4;981,7;;27,5;;28,6;27,5;;;;;;113;7,6;3,8;
2026/01/02;2300 UTC;0;983,1;983,1;982,3;;26,7;;27,5;26,7;;;;;;98;7;3,8;
2026/01/03;0000 UTC;0;984;984;983,2;;25,9;;26,7;25,8;;;;;;98;6,5;1,9;
2026/01/03;0100 UTC;0;984,6;984,6;984;;25,4;;25,9;25,4;;;;;;81;6,2;2,1;
2026/01/03;0200 UTC;0;984,4;984,6;984,4;;24,4;;25,4;24,4;;;;;;88;4,2;1;
