REGIAO:;NE
UF:;BA
ESTACAO:;IRECE
CODIGO (WMO):;A424
LATITUDE:;-11,32888888
LONGITUDE:;-41,86444444
ALTITUDE:;768,42
DATA DE FUNDACAO:;31/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;928,1;928,1;927,6;;26,1;16,6;27,4;26,1;16,6;16,6;56;52;56;99;7,8;3,4;
2026/01/01;0100 UTC;0;928,4;928,5;928,1;;25,2;16,4;26,1;25,2;16,6;16,4;58;56;58;99;6,6;2,5;
2026/01/01;0200 UTC;0;928,1;928,4;928,1;;24,9;15,4;25,4;24,9;16,4;15,4;58;55;56;102;6,2;2,6;
2026/01/01;0300 UTC;0;928,1;928,2;928;;24,4;15,4;25;24,3;15,4;15,3;58;55;57;116;5,6;1,2;
2026/01/01;0400 UTC;0;927,8;928,1;927,8;;24,5;15,6;24,9;24,3;15,6;15,4;58;56;58;317;3,5;0;
2026/01/01;0500 UTC;0;927,4;927,8;927,3;;24,3;15,9;24,6;23,7;15,9;15,5;61;57;59;94;2,2;,2;
2026/01/01;0600 UTC;0;926,7;927,5;926,6;;23,1;17,2;24,6;23,1;17,2;15,9;69;59;69;115;5,5;1,7;
2026/01/01;0700 UTC;0;927;927;926,6;;21,7;17,2;23,1;21,7;17,5;17;75;69;75;207;4,2;0;
2026/01/01;0800 UTC;0;927,6;927,6;927;;21,9;17,1;22;21,5;17,3;16,9;76;74;74;225;,9;0;
2026/01/01;0900 UTC;0;927,7;927,7;927,5;45;21,9;17,2;21,9;21,6;17,2;16,7;75;73;75;103;2,2;,7;
2026/01/01;1000 UTC;0;928,3;928,3;927,7;533;23,8;17,8;23,9;21,9;18;17,3;75;69;69;58;2,8;,5;
2026/01/01;1100 UTC;0;928,2;928,4;928,2;1459,1;25,9;17,5;26;23,8;18,2;17,5;69;60;60;74;4,1;1,8;
2026/01/01;1200 UTC;0;928,2;928,3;928,1;2409,4;27,6;17,1;28;25,8;18,1;17,1;61;53;53;75;5,3;2,2;
2026/01/01;1300 UTC;0;928,1;928,4;928,1;2680,7;29,3;16,5;29,6;27,6;17,5;16,4;53;46;46;74;5,6;1,3;
2026/01/01;1400 UTC;0;927,5;928,1;927,5;2866,6;30,4;16,3;30,7;28,9;17,2;15,9;47;43;43;75;5,4;2;
2026/01/01;1500 UTC;0;927,1;927,5;927,1;2971,2;31,8;16,1;32,1;29,9;16,5;15,4;43;38;39;313;4,8;1,6;
2026/01/01;1600 UTC;0;926;927,1;926;3362,6;32,6;14,6;33,6;30,7;16,1;14,6;40;33;34;34;5,7;1,8;
2026/01/01;1700 UTC;0;924,9;926;924,9;1763,8;32,8;14,5;33,8;31,7;15,5;14,1;36;33;33;252;5;,9;
2026/01/01;1800 UTC;0;923,6;924,9;923,6;2696,5;35,1;13,1;35,4;32,8;14,6;13;33;27;27;137;4,3;1,2;
2026/01/01;1900 UTC;0;923,1;923,6;923;2109,1;35;13,2;35,9;34,5;13,7;12,2;28;25;27;126;5,2;1,2;
2026/01/01;2000 UTC;0;923,1;923,3;923;1055,7;33,4;13,5;35,4;33,3;13,5;12,7;30;26;30;159;5,2;1,6;
2026/01/01;2100 UTC;0;923,5;923,5;923,1;155,2;31,4;15,2;33,4;31,4;15,7;13,6;38;30;38;113;7,7;3,2;
2026/01/01;2200 UTC;0;924,4;924,5;923,5;1,1;28,1;14,4;31,3;28,1;15,9;14,1;46;38;43;188;10,5;3,9;
2026/01/01;2300 UTC;0;925,5;925,5;924,3;;28,2;16;28,3;27,8;16;13,4;48;41;48;14;10,5;2,1;
2026/01/02;0000 UTC;0;926,4;926,4;925,5;;27,5;17;28,7;27,2;17,2;16,1;54;47;53;51;5,9;,6;
2026/01/02;0100 UTC;0;927;927,1;926,4;;25,1;17,9;27,5;25,1;17,9;17;65;53;65;318;5,6;1,7;
2026/01/02;0200 UTC;0;926,7;927,1;926,7;;23,6;18,7;25,1;23,6;18,7;17,9;74;65;74;312;3,5;,9;
2026/01/02;0300 UTC;0;926,7;926,9;926,7;;22,9;18,6;23,6;22,9;19;18,5;77;74;77;309;4,9;2,1;
2026/01/02;0400 UTC;0;926,5;926,7;926,4;;22,4;19,3;22,9;22,4;19,3;18,6;83;77;83;298;4,1;1,2;
2026/01/02;0500 UTC;0;925,5;926,5;925,5;;22;19,3;22,4;21,9;19,4;19,1;85;83;85;346;2,8;0;
2026/01/02;0600 UTC;0;925,4;925,5;925,3;;22;18,6;22,3;21,8;19,3;18,5;85;81;81;2;2;0;
2026/01/02;0700 UTC;0;924,7;925,4;924,7;;22,1;18,1;22,5;21,5;18,7;18,1;82;78;78;63;1,7;0;
2026/01/02;0800 UTC;0;925,3;925,3;924,7;;21,2;18,3;22,1;21,2;18,7;18;84;78;83;287;2,6;,5;
2026/01/02;0900 UTC;0;926,1;926,1;925,3;46,9;20,9;18,5;21,2;20,6;18,5;18,3;87;83;86;221;2,6;,2;
2026/01/02;1000 UTC;0;926,3;926,3;925,9;505,2;23,2;18,6;23,3;20,9;19,1;18,4;86;75;76;335;2;0;
2026/01/02;1100 UTC;0;926,7;926,7;926,3;1340,3;26,1;18,4;26,2;23,1;19;18,2;76;62;62;342;3,2;1,2;
