REGIAO:;NE
UF:;BA
ESTACAO:;GUANAMBI
CODIGO (WMO):;A426
LATITUDE:;-14,20805555
LONGITUDE:;-42,74972221
ALTITUDE:;552,23
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;950,4;950,7;950,4;;26,6;18,9;26,8;26;19,3;18,9;66;62;63;105;4,5;1,2;
2026/01/01;0100 UTC;0;950,4;950,5;950,3;;26,4;19,2;27,1;26,4;19,2;18,8;65;61;64;171;3,6;1,4;
2026/01/01;0200 UTC;0;950,4;950,6;950,4;;26,7;19,2;26,9;26,4;19,3;19,1;64;63;63;166;3,2;1,3;
2026/01/01;0300 UTC;0;949,7;950,5;949,7;;28,1;17,2;28,4;26,7;19,2;17;63;51;51;95;4,7;2,7;
2026/01/01;0400 UTC;0;949,5;949,7;949,4;;27,4;17,3;28,2;27,2;17,4;17;55;51;54;137;5,2;1,2;
2026/01/01;0500 UTC;0;949,1;949,5;949;;26,4;17,5;27,6;26,4;17,5;17,2;58;53;58;209;2,5;,8;
2026/01/01;0600 UTC;0;948,9;949,1;948,8;;25,6;18;26,9;25,5;18;17,4;63;57;63;216;2,2;1,4;
2026/01/01;0700 UTC;0;949,2;949,2;948,9;;25,3;18,8;25,9;25,3;19;17,9;68;61;67;189;2,7;,6;
2026/01/01;0800 UTC;0;949,4;949,4;949;;24,8;18,3;25,5;24,8;19,1;18,3;70;65;67;95;4,1;2,1;
2026/01/01;0900 UTC;0;950;950;949,4;79,3;24,9;18,7;24,9;24,1;18,7;18,1;70;67;68;101;3,3;1,9;
2026/01/01;1000 UTC;0;950,4;950,4;950;911,2;26,3;19;26,3;24,9;19,2;18,7;69;64;64;96;5,6;3,5;
2026/01/01;1100 UTC;0;950,6;950,6;950,3;2053;28,5;18,7;28,5;26,2;19,2;18;65;54;55;115;5,1;2,3;
2026/01/01;1200 UTC;0;950,9;950,9;950,5;3080;29,9;18,5;29,9;28,1;18,9;18;56;49;50;126;5;1,9;
2026/01/01;1300 UTC;0;950,9;951,1;950,9;3454,6;31,4;17,1;32;29,9;18,8;16,7;51;42;42;185;6,2;3;
2026/01/01;1400 UTC;0;950,2;950,9;950,2;3924,9;33;17,8;33,8;31;17,8;16,6;43;37;40;218;7,1;1,6;
2026/01/01;1500 UTC;0;949,4;950,2;949,4;4125,8;34,3;16,8;34,7;31,9;18;16,4;42;35;35;225;6,3;2,6;
2026/01/01;1600 UTC;0;948,2;949,4;948,2;4048,2;35,6;16,4;35,9;33,3;17,5;15;37;32;32;222;7,4;3,3;
2026/01/01;1700 UTC;0;947,1;948,2;947,1;4073,4;35,5;16,6;36,1;34;17;14,9;36;29;33;239;7,8;2,7;
