REGIAO:;NE
UF:;BA
ESTACAO:;BARRA
CODIGO (WMO):;A429
LATITUDE:;-11,08472221
LONGITUDE:;-43,13888888
ALTITUDE:;407,5
DATA DE FUNDACAO:;12/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;5,8;966;966,2;965,6;20,3;26,4;20,6;27,7;26,3;23,7;20,2;79;66;71;229;10,6;2,5;
2026/01/01;0100 UTC;0;966,7;966,7;965,8;18,4;25,6;22,1;27,1;25,6;22,2;20,7;81;69;81;356;5,9;1,1;
2026/01/01;0200 UTC;0;967,1;967,7;966,7;8,6;24,9;22,1;26,3;24,9;22,4;21,9;85;77;84;80;9,1;3,2;
2026/01/01;0300 UTC;0;966,7;967,2;966,7;,3;25,6;22,1;25,7;25;22,5;22;85;80;81;75;5,9;,4;
2026/01/01;0400 UTC;0;966,5;966,7;966,4;2,8;25,4;21,9;26,2;25,4;22,4;21,9;81;77;81;357;3;,8;
2026/01/01;0500 UTC;0;965,5;966,5;965,5;;24,6;22,4;25,4;24,6;22,4;21,9;87;81;87;350;2,7;,2;
2026/01/01;0600 UTC;0;965,3;965,5;965,2;;24,3;22,4;24,7;24,2;22,7;22,3;91;87;89;294;2,3;,6;
2026/01/01;0700 UTC;0;965,1;965,3;965,1;;24,1;22,1;24,3;24;22,5;22;90;88;89;333;2,7;0;
2026/01/01;0800 UTC;0;965,6;965,6;965,1;;23,8;22;24,1;23,7;22,2;21,9;90;88;90;77;1,6;0;
2026/01/01;0900 UTC;0;965,9;965,9;965,6;27,9;23,8;22,4;24,3;23,8;22,5;21,9;92;87;92;4;1,1;,1;
2026/01/01;1000 UTC;0;966,4;966,4;965,9;602;25,6;22,1;25,7;23,8;22,6;22;92;80;81;24;2,4;,7;
2026/01/01;1100 UTC;0;967,1;967,2;966,4;1088,4;27,1;21,6;27,6;25,6;22,4;21,1;81;69;72;44;5,5;2,6;
2026/01/01;1200 UTC;0;967,1;967,1;967;1707,4;29,8;21,8;29,8;27;22,7;21,3;73;61;62;64;6,9;3,2;
2026/01/01;1300 UTC;0;967;967,3;967;2898,9;31,1;22;31,3;29,8;22,7;21,3;64;57;59;57;6,8;2,9;
2026/01/01;1400 UTC;0;966,5;967,1;966,5;3588,9;32,8;21,9;32,8;31,1;22,7;21,6;59;53;53;81;5,7;3,3;
2026/01/01;1500 UTC;0;965,9;966,5;965,9;3656,6;33,3;22,5;34,1;31,9;23,3;21,7;58;49;53;313;7;3,8;
2026/01/01;1600 UTC;0;964,8;965,9;964,8;3863,1;34,8;22;35,3;32,9;22,9;21,4;53;47;47;4;7;2,5;
2026/01/01;1700 UTC;0;963,4;964,8;963,4;3297,3;35,8;21,7;36,1;34,2;21,9;20,4;49;41;44;112;5,2;1,1;
2026/01/01;1800 UTC;0;962;963,4;962;2619;35,5;21,6;36,5;35,1;22;20,6;45;41;45;33;7,7;1,6;
2026/01/01;1900 UTC;0;961,7;962;961,6;2119,3;36;20,7;36,9;35,4;22,3;20,7;45;41;41;325;4;1,9;
2026/01/01;2000 UTC;0;961,8;961,9;961,4;939,3;34,1;21,9;36,5;34,1;21,9;20,1;49;40;49;316;6,1;2,9;
2026/01/01;2100 UTC;0;962,1;962,1;961,8;311,1;32,7;22,1;34,2;32,7;22,4;21,7;54;49;54;312;6,7;2,9;
