REGIAO:;NE
UF:;BA
ESTACAO:;AMARGOSA
CODIGO (WMO):;A434
LATITUDE:;-13,00944444
LONGITUDE:;-39,61694443
ALTITUDE:;397,8
DATA DE FUNDACAO:;11/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;971,5;971,5;970,9;0;22,5;18,6;23,2;22,4;18,6;18,4;79;75;79;154;4,3;0;
2026/01/01;0100 UTC;0;971,8;971,8;971,5;0;22,5;19,2;22,5;22,5;19,2;18,6;82;79;82;135;0;0;
2026/01/01;0200 UTC;0;971,4;971,8;971,4;0;22,3;19,4;22,5;22,2;19,4;19,2;84;82;84;123;0;0;
2026/01/01;0300 UTC;0;970,8;971,4;970,8;0;21,8;19,2;22,3;21,8;19,4;19,2;85;84;85;138;0;0;
2026/01/01;0400 UTC;0;970,2;970,8;970,2;0;21,6;19,2;21,8;21,5;19,2;19,1;86;85;86;125;0;0;
2026/01/01;0500 UTC;0;969,8;970,2;969,8;0;21,4;19,2;21,6;21,3;19,2;19;87;86;87;128;0;0;
2026/01/01;0600 UTC;0;969,1;969,8;969,1;0;21,2;19,2;21,4;21,2;19,2;19,1;88;87;88;131;0;0;
2026/01/01;0700 UTC;0;968,9;969,2;968,9;0;21,2;19,2;21,4;21,2;19,3;19,2;88;88;88;125;0;0;
2026/01/01;0800 UTC;0;969,5;969,5;968,8;0;20,8;18,9;21,2;20,8;19,2;18,9;89;88;89;170;0;0;
2026/01/01;0900 UTC;0;969,9;969,9;969,5;48,5;21,4;19,5;21,4;20,8;19,5;19;89;89;89;112;0;0;
2026/01/01;1000 UTC;0;970,2;970,2;969,9;316,1;22,2;20,1;22,3;21,4;20,3;19,5;89;88;88;77;0;0;
2026/01/01;1100 UTC;0;970,3;970,3;970,2;702,1;23,7;21;23,7;22,2;21;20,2;88;85;85;65;0;0;
2026/01/01;1200 UTC;0;970,6;970,6;970,3;923,6;24,6;21;25,1;23,6;21,8;20,7;85;80;80;66;0;0;
2026/01/01;1300 UTC;0;970,4;970,6;970,4;1811,7;26,2;21,5;26,8;24,5;22,3;20,7;81;75;75;118;0;0;
2026/01/01;1400 UTC;0;970,1;970,4;970,1;1268;26,1;20,5;27;26;22;20,5;75;71;71;30;3,6;,1;
2026/01/01;1500 UTC;0;969,4;970,1;969,4;2588,8;28,5;21,2;29;25,9;22;20,3;71;65;65;24;3,6;0;
2026/01/01;1600 UTC;0;968,4;969,4;968,4;2873,1;28,8;20,1;30;27,3;22,3;19,7;65;59;60;35;4,8;,4;
2026/01/01;1700 UTC;0;967,3;968,4;967,3;2903,6;30,4;19,9;30,5;28,7;21,2;19,5;60;53;54;72;5;,3;
2026/01/01;1800 UTC;0;966,3;967,3;966,3;2270,2;30,8;19;31,4;30,1;20,4;18;54;48;50;103;3,9;0;
