REGIAO:;NE
UF:;BA
ESTACAO:;DELFINO
CODIGO (WMO):;A443
LATITUDE:;-10,455
LONGITUDE:;-41,20694444
ALTITUDE:;646,24
DATA DE FUNDACAO:;15/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1100 UTC;0;941,2;;;556,4;26;;;;;;;;;81;;2,1;
2026/01/01;1200 UTC;0;941,2;941,4;941,2;1686,1;28,5;;28,5;25,8;;;;;;57;6,9;3,2;
2026/01/01;1300 UTC;0;940,7;941,3;940,7;2141,5;30,2;;31,2;28,1;;;;;;47;7,2;3,9;
2026/01/01;1400 UTC;0;940,1;940,7;940,1;1588,7;31,6;;31,7;30;;;;;;47;7,2;2,5;
2026/01/01;1500 UTC;0;939,5;940,1;939,4;2752,4;33,1;;34,4;31,1;;;;;;86;6,5;3,2;
2026/01/01;1600 UTC;0;938,4;939,5;938,4;2505,7;34;;35,7;32,8;;;;;;117;6,5;2,8;
2026/01/01;1700 UTC;0;937,2;938,4;937,2;2486,6;35,8;;37,4;34;;;;;;119;5,8;2,7;
2026/01/01;1800 UTC;0;936,2;937,2;936,2;1232,8;34,9;;35,8;34,1;;;;;;114;7,4;2,7;
2026/01/01;1900 UTC;0;935,4;936,2;935,4;1418,2;35,4;;36,3;34,8;;;;;;44;7,4;1,5;
2026/01/01;2000 UTC;0;935,8;935,8;935,4;689,3;34,9;;36,1;34,8;;;;;;59;6,8;1,7;
2026/01/01;2100 UTC;0;936,6;936,6;935,7;67;30,7;;34,9;28,3;;;;;;33;8,2;2,6;
2026/01/01;2200 UTC;,4;937,8;937,8;936,6;2,4;27,4;;31;26,2;;;;;;262;7,7;1,6;
2026/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1100 UTC;0;939,5;;;236,5;27,5;;;;;;;;;98;;,9;
2026/01/02;1200 UTC;0;939,5;939,6;939,5;1648,3;29,8;;29,8;27,1;;;;;;102;3,1;1,4;
2026/01/02;1300 UTC;0;939,1;939,6;939,1;2248,8;30,7;;32,9;29,7;;;;;;29;6,5;3;
2026/01/02;1400 UTC;0;938,2;939,1;938,2;2081,4;33;;34,6;30,7;;;;;;273;5,8;2;
2026/01/02;1500 UTC;0;937,5;938,2;937,5;1690,1;33,4;;35,1;32;;;;;;277;6,6;2,4;
2026/01/02;1600 UTC;0;936,4;937,6;936,4;2224,2;35,5;;36,7;33,5;;;;;;126;7;1,4;
2026/01/02;1700 UTC;,6;938,1;938,2;936,1;1036,5;20;;36;20;;;;;;16;23,5;7,4;
2026/01/02;1800 UTC;,4;934,6;938,2;934,6;1859,9;28,2;;28,5;19,8;;;;;;330;22,4;2,8;
2026/01/02;1900 UTC;,6;934,2;934,6;934;1410,3;29,1;;29,4;27,9;;;;;;331;9,4;4,9;
2026/01/02;2000 UTC;,6;936,3;936,8;934,2;384,3;21,5;;29,5;21,4;;;;;;37;13,9;3,7;
2026/01/02;2100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;1100 UTC;0;940,7;;;321,3;23,1;;;;;;;;;182;;1,4;
