REGIAO:;NE
UF:;BA
ESTACAO:;SALVADOR (RADIO FAROL)
CODIGO (WMO):;A456
LATITUDE:;-12,80833333
LONGITUDE:;-38,49583333
ALTITUDE:;31
DATA DE FUNDACAO:;10/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,8;1008,8;1007,6;;25,9;23,9;26,1;25,9;23,9;23,9;89;88;89;;;;
2026/01/01;0100 UTC;0;1009,7;1009,7;1008,8;;25,7;23,8;25,9;25,7;23,9;23,7;89;89;89;;;;
2026/01/01;0200 UTC;0;1009,5;1009,9;1009,5;;25,4;23,7;25,7;25,4;23,8;23,7;91;89;90;;;;
2026/01/01;0300 UTC;0;1008,9;1009,7;1008,8;;25,1;23,8;25,4;25,1;23,8;23,7;92;90;92;;;;
2026/01/01;0400 UTC;0;1008,5;1009,1;1008,4;;24,9;23,7;25,2;24,9;23,8;23,7;93;92;93;;;;
2026/01/01;0500 UTC;0;1008;1008,6;1007,9;;24,4;23,5;25;24,4;23,7;23,4;95;93;94;;;;
2026/01/01;0600 UTC;0;1007,8;1008,2;1007,8;;24,3;23,5;24,5;24,3;23,6;23,5;95;94;95;;;;
2026/01/01;0700 UTC;0;1007,6;1008,1;1007,5;;24,1;23,4;24,4;24,1;23,6;23,3;96;95;96;;;;
2026/01/01;0800 UTC;0;1007,5;1007,7;1007,3;;24,1;23,3;24,2;23,9;23,5;23,3;96;95;95;;;;
2026/01/01;0900 UTC;0;1008,9;1008,9;1007,5;95,8;24,6;23,4;24,6;24,1;23,5;23,3;96;93;93;;;;
2026/01/01;1000 UTC;0;1011;1011;1008,9;431;25,9;23,8;25,9;24,6;23,8;23,5;93;88;88;;;;
2026/01/01;1100 UTC;0;1011,7;1011,7;1011;1070,6;27,3;23;27,6;25,9;24,2;23;89;78;78;;;;
2026/01/01;1200 UTC;0;1012,1;1012,3;1011,8;2078,2;28,5;22,8;28,9;27,2;23,5;22,1;79;70;71;;;;
2026/01/01;1300 UTC;0;1012,1;1012,4;1012;3233,3;31,6;22,9;31,6;28,6;23,4;21,7;72;57;60;;;;
2026/01/01;1400 UTC;0;1010,6;1012,5;1010,6;3137,9;32,5;23,6;32,5;30,1;23,8;21,5;64;57;59;;;;
2026/01/01;1500 UTC;0;1008,2;1011;1006,8;2793,1;31,3;24,6;32,9;28,9;24,9;21,5;74;55;68;;;;
2026/01/01;1600 UTC;0;1008,9;1009,8;1008,2;3344,4;32;24,4;32;30,5;25,3;23,5;70;63;64;;;;
2026/01/01;1700 UTC;0;1006,6;1009,1;1006,5;2798,4;31,7;23,2;32,5;30,3;24,9;23;70;60;61;;;;
2026/01/01;1800 UTC;0;1007,6;1008,1;1006,6;2676,8;32,7;23;34;31,6;24,3;22,5;61;54;57;;;;
2026/01/01;1900 UTC;0;1005;1007,6;1004,9;1796,5;31,2;22,7;32,7;31,1;23,1;22,2;61;56;61;;;;
2026/01/01;2000 UTC;0;1003,1;1005,1;1003,1;968,1;29;22,4;31,2;29;22,8;22,2;68;61;68;;;;
2026/01/01;2100 UTC;0;1000;1003,1;1000;270;27,3;23,3;29;27,3;23,3;22,3;79;67;79;;;;
2026/01/01;2200 UTC;0;1001,1;1001,1;999,4;;26,5;23,5;27,3;26,5;23,6;23,3;84;79;83;;;;
2026/01/01;2300 UTC;0;1003,8;1003,8;1001,1;;26,1;23,5;26,5;26,1;23,6;23,4;86;83;86;;;;
2026/01/02;0000 UTC;0;1005,3;1005,3;1003,8;;25,9;23,7;26,1;25,9;23,7;23,5;88;86;88;;;;
2026/01/02;0100 UTC;0;1006,1;1006,1;1005,3;;25,6;23,8;25,9;25,6;23,8;23,7;90;88;90;;;;
2026/01/02;0200 UTC;0;1006,3;1006,4;1006,1;;25,4;23,9;25,6;25,4;23,9;23,8;92;90;92;;;;
2026/01/02;0300 UTC;0;1006,2;1006,5;1006,1;;25,3;24;25,4;25,2;24;23,9;93;92;92;;;;
2026/01/02;0400 UTC;0;1005,8;1006,5;1005,8;;25,1;23,8;25,3;25,1;24;23,8;93;92;93;;;;
2026/01/02;0500 UTC;0;1005,3;1006;1005,2;;25;23,7;25,2;25;23,9;23,7;93;92;93;;;;
2026/01/02;0600 UTC;0;1005,1;1005,5;1005;;24,6;23,6;25;24,6;23,7;23,6;94;93;94;;;;
2026/01/02;0700 UTC;0;1005;1005,3;1004,8;;24,4;23,4;24,6;24,4;23,6;23,4;95;94;94;;;;
