REGIAO:;NE
UF:;MA
ESTACAO:;TURIACU
CODIGO (WMO):;A219
LATITUDE:;-1,66111111
LONGITUDE:;-45,37249999
ALTITUDE:;35,86
DATA DE FUNDACAO:;10/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,3;1008,3;1008;;26,7;25,2;26,9;26,7;25,2;24,9;92;89;92;50;5,8;2,7;
2026/01/01;0100 UTC;0;1008,7;1008,7;1008,3;;26,5;24,9;26,7;26,4;25,2;24,9;92;91;91;49;6,2;3;
2026/01/01;0200 UTC;0;1008,7;1008,7;1008,6;;26,2;24,6;26,5;26,2;24,9;24,6;92;91;91;51;6;3;
2026/01/01;0300 UTC;0;1008,3;1008,7;1008,3;;26;24,5;26,2;26;24,6;24,5;92;91;92;58;5,5;2,7;
2026/01/01;0400 UTC;0;1007,7;1008,3;1007,7;;25,6;24,7;26;25,6;24,7;24,5;95;92;95;60;5,5;2;
2026/01/01;0500 UTC;0;1006,7;1007,7;1006,7;;25,7;24,8;25,7;25,5;24,8;24,7;95;95;95;52;5,2;3;
2026/01/01;0600 UTC;0;1006,1;1006,7;1006;;25,8;24,8;25,9;25,7;24,8;24,7;95;94;94;58;6,4;2,9;
2026/01/01;0700 UTC;0;1005,7;1006,1;1005,7;;25,7;24,9;25,9;25,7;24,9;24,7;95;94;95;51;5,8;2,5;
2026/01/01;0800 UTC;0;1006,2;1006,2;1005,7;;25,8;24,9;25,9;25,6;25;24,9;96;95;95;57;5,2;2,6;
2026/01/01;0900 UTC;0;1006,3;1006,4;1006,2;;25,6;24,9;25,8;25,6;25;24,9;96;95;96;56;4,9;2,5;
2026/01/01;1000 UTC;0;1007;1007;1006,3;46,4;26,5;25,3;26,5;25,6;25,4;24,8;96;93;93;56;4,7;2,4;
2026/01/01;1100 UTC;0;1007,6;1007,6;1007;932,4;27,7;24,6;28,1;26,5;25,5;24,6;93;83;83;64;6,1;2,9;
2026/01/01;1200 UTC;0;1008,2;1008,2;1007,6;1059,1;28,4;23,8;28,5;27,7;24,9;23,7;83;76;76;50;8,8;3,5;
2026/01/01;1300 UTC;0;1008,2;1008,3;1008,1;1511;29,6;23,9;30,2;28,3;24,2;23,2;76;69;71;36;8,8;4,1;
2026/01/01;1400 UTC;0;1008;1008,3;1008;1339;30;23,6;30;29;23,9;23,2;73;68;69;33;9,2;4;
2026/01/01;1500 UTC;0;1007,5;1008;1007,5;2405,5;31,7;24;31,7;29,8;24,2;22,9;69;62;64;54;8,8;3,3;
2026/01/01;1600 UTC;0;1006,7;1007,5;1006,7;1116,7;29,7;23,5;31,9;29,4;24,2;23,2;71;62;70;23;9,7;4,7;
2026/01/01;1700 UTC;0;1005,8;1006,7;1005,8;2002,2;30,7;23,4;31,7;29,7;24,7;23,3;70;62;65;32;9,2;4,3;
2026/01/01;1800 UTC;0;1005,3;1005,8;1005,2;1356,3;30,6;23,3;31,1;29,4;23,9;23,2;71;65;65;34;9,9;5;
2026/01/01;1900 UTC;0;1005;1005,3;1004,8;1782,9;30,3;23,5;30,7;30;23,7;23,1;68;65;67;36;10,1;4,8;
2026/01/01;2000 UTC;0;1004,9;1005;1004,8;1189,5;29,4;23,3;30,3;29,3;23,5;23,3;70;67;70;36;11;4,3;
2026/01/01;2100 UTC;0;1005,2;1005,2;1004,9;405,2;28;23,3;29,4;28;23,3;22,9;76;70;76;37;10,3;4;
2026/01/01;2200 UTC;0;1005,6;1005,7;1005,2;4,5;27,1;23,8;28;27,1;23,8;23,3;82;76;82;51;7,4;3,1;
2026/01/01;2300 UTC;0;1006,2;1006,2;1005,6;;26,7;24,4;27,2;26,7;24,4;23,8;87;82;87;54;7,6;2,7;
2026/01/02;0000 UTC;0;1006,5;1006,5;1006;;26,6;24,8;26,7;26,5;24,8;24,4;90;87;90;51;6,7;2,9;
2026/01/02;0100 UTC;0;1006,9;1006,9;1006,5;;26,6;24,7;26,7;26,6;24,8;24,6;90;89;89;49;6,7;3,4;
2026/01/02;0200 UTC;0;1007,2;1007,2;1006,9;;26,2;25,2;26,6;26,2;25,2;24,7;94;89;94;50;6,4;2,5;
2026/01/02;0300 UTC;0;1006,5;1007,2;1006,5;;26,1;25,4;26,2;26,1;25,5;25,2;96;94;96;47;5,4;2,7;
2026/01/02;0400 UTC;0;1006;1006,5;1006;;26,1;25,4;26,2;26;25,6;25,4;97;96;96;43;5,6;2,8;
2026/01/02;0500 UTC;0;1005,1;1006;1005,1;;25,9;25,5;26,1;25,9;25,5;25,3;97;96;97;52;6,4;3,1;
2026/01/02;0600 UTC;0;1004,6;1005,1;1004,6;;25,9;25,4;26;25,9;25,5;25,4;98;97;97;50;6,2;3,3;
2026/01/02;0700 UTC;0;1004,6;1004,7;1004,4;;25,9;25,3;26;25,8;25,9;25,3;100;97;97;59;6,2;2,7;
2026/01/02;0800 UTC;0;1004,5;1004,6;1004,4;;25,7;25,5;25,9;25,7;25,5;25,3;99;97;99;54;5,9;3;
2026/01/02;0900 UTC;0;1004,8;1004,9;1004,5;;25,9;25,4;25,9;25,7;25,8;25,3;100;97;97;52;6,6;3,1;
2026/01/02;1000 UTC;0;1005,4;1005,4;1004,8;264,3;26,7;25,7;26,7;25,9;25,7;25,4;97;94;94;56;6,3;2,8;
2026/01/02;1100 UTC;0;1006;1006,1;1005,4;1047,9;27,8;24,8;28,3;26,6;25,8;24,8;94;84;84;44;7,6;4,2;
2026/01/02;1200 UTC;0;1006,7;1006,7;1006;1660,5;29;24,6;29;27,7;25,1;24,4;84;77;77;42;9,1;4,3;
2026/01/02;1300 UTC;0;1006,8;1006,9;1006,6;1990,2;30;24,3;30;28,8;24,6;23,8;77;71;72;29;10,6;4,7;
2026/01/02;1400 UTC;0;1006,6;1006,9;1006,6;2776,5;31,1;24;31,6;29,7;24,6;23,6;72;64;66;29;10,6;4;
2026/01/02;1500 UTC;0;1006;1006,7;1006;2868,4;31,4;24,3;31,5;30,1;24,5;23,6;70;65;66;34;10,1;4,6;
2026/01/02;1600 UTC;0;1005,4;1006;1005,4;3172,3;31,3;23,6;32;31;24,5;23,2;67;62;63;31;10,2;5,7;
2026/01/02;1700 UTC;0;1004,7;1005,4;1004,7;2849,9;30,9;24,1;31,7;30,3;24,2;23,3;68;63;67;28;11,9;5,2;
2026/01/02;1800 UTC;0;1004;1004,7;1003,9;2473,3;31;24,2;31,4;30,5;24,4;23,4;68;64;67;27;11,9;4,8;
2026/01/02;1900 UTC;0;1003,9;1004;1003,9;1879,5;29,9;24,1;31,1;29,8;24,2;23,6;71;66;71;32;10,7;4,9;
2026/01/02;2000 UTC;0;1003,9;1003,9;1003,8;1183,9;29,1;24,2;30;29,1;24,4;23,8;75;71;75;35;10,9;4,6;
2026/01/02;2100 UTC;0;1003,9;1003,9;1003,7;403,9;28;23,8;29,1;28;24,3;23,7;78;75;78;39;9,4;4,2;
2026/01/02;2200 UTC;0;1004;1004;1003,8;4,7;27,4;24,5;28;27,4;24,5;23,8;84;78;84;47;8,7;3,7;
2026/01/02;2300 UTC;0;1004,3;1004,3;1003,9;;27;24,2;27,4;27;24,7;24,2;86;84;84;42;8,1;3,9;
2026/01/03;0000 UTC;0;1005,1;1005,1;1004,3;;27;24,6;27,1;26,9;24,9;24,2;88;84;87;46;9,3;4,3;
2026/01/03;0100 UTC;0;1005,5;1005,5;1005,1;;26,6;25,2;27;26,6;25,2;24,6;92;87;92;54;9,3;2,9;
2026/01/03;0200 UTC;0;1005,7;1005,7;1005,4;;26,4;25,3;26,6;26,4;25,3;25,2;94;92;94;51;6,8;2,9;
2026/01/03;0300 UTC;0;1005,9;1005,9;1005,6;;26,3;25,6;26,4;26,3;25,6;25,3;96;94;96;50;6;2,7;
2026/01/03;0400 UTC;0;1005,4;1005,9;1005,4;;26;25,6;26,3;26;25,6;25,5;97;96;97;55;4,8;2;
2026/01/03;0500 UTC;0;1004,9;1005,5;1004,9;;25,7;25,5;26,1;25,7;25,8;25,5;100;97;99;57;4,1;1,8;
2026/01/03;0600 UTC;0;1004,8;1004,9;1004,7;;25,4;25,4;25,7;25,4;25,5;25,4;100;99;100;75;4,3;1,4;
2026/01/03;0700 UTC;0;1004,4;1004,8;1004,4;;25,3;25,3;25,5;25,2;25,5;25,2;100;100;100;51;3,5;2,1;
2026/01/03;0800 UTC;0;1004,8;1004,8;1004,4;;25,7;25,7;25,7;25,3;25,7;25,3;100;100;100;55;5;2,5;
2026/01/03;0900 UTC;0;1005,1;1005,1;1004,8;;25,8;25,4;25,8;25,6;25,7;25,4;100;98;98;54;6,9;3,1;
2026/01/03;1000 UTC;0;1005,8;1005,8;1005,1;245,1;26,7;25,4;26,7;25,8;25,4;25,3;98;92;92;51;6,3;3,2;
2026/01/03;1100 UTC;0;1006,8;1006,8;1005,8;1040,6;28,1;24,9;28,3;26,8;25,4;24,8;92;83;83;55;8,3;4;
2026/01/03;1200 UTC;0;1007,5;1007,5;1006,8;1602,5;29,1;24,7;29,2;28,1;25,1;24;83;75;77;43;8,2;3,7;
