REGIAO:;NE
UF:;MA
ESTACAO:;ESTREITO
CODIGO (WMO):;A224
LATITUDE:;-6,65333333
LONGITUDE:;-47,41833332
ALTITUDE:;182,96
DATA DE FUNDACAO:;27/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;,2;991,6;991,7;991,2;;26,1;;26,9;26,1;;;;;;166;0;0;
2026/01/01;0100 UTC;0;992;992;991,6;;25,1;;26,1;25;;;;;;206;0;0;
2026/01/01;0200 UTC;,2;992,3;992,3;992;;25;;25,5;25;;;;;;86;0;0;
2026/01/01;0300 UTC;,2;991,9;992,4;991,9;;24,6;;25;24,5;;;;;;223;0;0;
2026/01/01;0400 UTC;0;991,3;991,9;991,3;;24,3;;24,7;24,3;;;;;;101;0;0;
2026/01/01;0500 UTC;,2;990,6;991,3;990,6;;23,8;;24,3;23,8;;;;;;113;0;0;
2026/01/01;0600 UTC;0;989,7;990,6;989,7;;23,5;;23,9;23,4;;;;;;125;0;0;
2026/01/01;0700 UTC;,2;989,7;989,7;989,5;;22,9;;23,5;22,9;;;;;;114;0;0;
2026/01/01;0800 UTC;0;990,1;990,1;989,7;;23;;23,2;22,7;;;;;;108;0;0;
2026/01/01;0900 UTC;,2;990,7;990,8;990,1;;22,9;;23;22,8;;;;;;125;0;0;
2026/01/01;1000 UTC;0;991,2;991,2;990,7;154,9;23,4;;23,4;22,9;;;;;;89;0;0;
2026/01/01;1100 UTC;,2;992;992;991,2;726,9;25,9;;25,9;23,4;;;;;;330;2,5;0;
2026/01/01;1200 UTC;,2;992,4;992,4;992;1594,7;27,4;;27,7;25,9;;;;;;14;6,7;,4;
2026/01/01;1300 UTC;0;992,6;992,7;992,4;1482,6;28,5;;28,6;27,2;;;;;;11;6,2;,9;
2026/01/01;1400 UTC;,2;992,6;992,8;992,5;1361,2;28,7;;28,9;27,8;;;;;;5;6;,5;
2026/01/01;1500 UTC;0;992;992,6;992;1710,9;29,7;;29,9;28,4;;;;;;340;5,1;,5;
2026/01/01;1600 UTC;,2;990,9;992;990,9;2772,4;30,9;;31,9;29,4;;;;;;317;5,4;,1;
2026/01/01;1700 UTC;,2;989,5;990,9;989,5;3276,9;32,2;;33;30,9;;;;;;323;4,4;,1;
2026/01/01;1800 UTC;0;988,5;989,5;988,5;2763,6;32,7;;33,8;32,1;;;;;;315;3,7;0;
2026/01/01;1900 UTC;,2;987,8;988,5;987,8;2118,7;33,7;;34,1;32,7;;;;;;288;0;0;
2026/01/01;2000 UTC;0;988;988;987,6;1326;32,7;;34,2;32,3;;;;;;350;0;0;
2026/01/01;2100 UTC;0;988,2;988,3;987,9;460,5;31,4;;32,7;31,4;;;;;;20;1,8;0;
2026/01/01;2200 UTC;0;989;989;988,2;18,8;29,3;;31,4;29,3;;;;;;18;0;0;
2026/01/01;2300 UTC;0;989,6;989,6;989;;28,3;;29,3;28,2;;;;;;5;0;0;
2026/01/02;0000 UTC;0;990,4;990,4;989,6;;27,7;;28,5;27,7;;;;;;69;0;0;
2026/01/02;0100 UTC;0;990,8;990,8;990,2;;27,6;;27,7;27,3;;;;;;109;0;0;
2026/01/02;0200 UTC;0;990,7;991;990,6;;26,9;;27,6;26,9;;;;;;126;0;0;
2026/01/02;0300 UTC;0;990,2;990,8;990,2;;26;;26,9;25,9;;;;;;59;0;0;
2026/01/02;0400 UTC;0;989,7;990,2;989,7;;25,1;;26;24,9;;;;;;199;0;0;
2026/01/02;0500 UTC;0;988,8;989,7;988,8;;24,7;;25,1;24,5;;;;;;54;0;0;
2026/01/02;0600 UTC;0;988,5;988,8;988,5;;24,3;;24,7;24,2;;;;;;175;0;0;
2026/01/02;0700 UTC;0;988,2;988,5;988,1;;24;;24,4;23,9;;;;;;99;0;0;
2026/01/02;0800 UTC;0;988,3;988,4;988,1;;23,5;;24;23,4;;;;;;234;0;0;
2026/01/02;0900 UTC;0;988,4;988,4;988,1;;23,3;;23,8;23,2;;;;;;129;0;0;
2026/01/02;1000 UTC;0;989,4;989,4;988,4;193,7;24,9;;24,9;23,3;;;;;;163;0;0;
2026/01/02;1100 UTC;0;990,3;990,3;989,4;887,9;26,4;;26,5;24,8;;;;;;29;4,1;,1;
2026/01/02;1200 UTC;0;991,1;991,1;990,3;1336,8;27,5;;27,5;26,4;;;;;;11;7,2;2;
2026/01/02;1300 UTC;0;991,5;991,5;991,1;1914,9;28,3;;28,6;27,5;;;;;;25;8,4;3,4;
2026/01/02;1400 UTC;0;991,4;991,7;991,4;2050,3;29,8;;29,9;27,9;;;;;;18;7,8;,2;
2026/01/02;1500 UTC;0;990,8;991,4;990,8;2375,4;30,1;;30,2;28,5;;;;;;358;7;,3;
2026/01/02;1600 UTC;0;989,7;990,8;989,7;3048,9;30,3;;31,3;29,9;;;;;;2;7,3;1,3;
2026/01/02;1700 UTC;0;988,5;989,7;988,5;2770,6;31,3;;31,7;30,3;;;;;;7;8;,4;
2026/01/02;1800 UTC;0;987,1;988,5;987,1;2441,3;31,7;;32,4;31;;;;;;3;6,7;,3;
2026/01/02;1900 UTC;0;986,1;987,1;986,1;2164,2;31,9;;32,5;31,7;;;;;;13;5,5;,3;
2026/01/02;2000 UTC;0;985,9;986,1;985,8;1300;31,4;;32;31,3;;;;;;6;7,3;,2;
2026/01/02;2100 UTC;0;986,9;986,9;985,9;348,5;30,1;;31,4;30,1;;;;;;11;5,1;0;
2026/01/02;2200 UTC;0;987,2;987,4;986,9;24,4;28,6;;30,1;28,6;;;;;;6;0;0;
2026/01/02;2300 UTC;0;987,6;987,6;987,1;;26,9;;28,6;26,9;;;;;;300;0;0;
2026/01/03;0000 UTC;0;988,6;988,6;987,6;;26,9;;27,3;26,8;;;;;;53;0;0;
2026/01/03;0100 UTC;0;989,5;989,5;988,6;;26,3;;26,9;26,1;;;;;;152;0;0;
2026/01/03;0200 UTC;0;989,6;989,6;989,4;;25,3;;26,3;25,3;;;;;;87;0;0;
2026/01/03;0300 UTC;0;989,8;989,8;989,6;;24,9;;25,4;24,8;;;;;;19;0;0;
2026/01/03;0400 UTC;0;989,3;989,8;989,3;;24,4;;24,9;24,3;;;;;;96;0;0;
2026/01/03;0500 UTC;0;989;989,3;988,9;;24,5;;24,6;24,4;;;;;;56;0;0;
2026/01/03;0600 UTC;0;988,5;989;988,5;;24,7;;24,8;24,5;;;;;;328;0;0;
2026/01/03;0700 UTC;0;988,6;988,6;988,3;;24,5;;25,1;24,5;;;;;;128;0;0;
2026/01/03;0800 UTC;0;988,9;988,9;988,5;;24,7;;24,7;24,5;;;;;;131;0;0;
2026/01/03;0900 UTC;1,8;989,8;989,8;988,9;;24;;24,8;24;;;;;;23;7,5;,2;
2026/01/03;1000 UTC;3,6;990,6;990,6;989,8;100,9;23,7;;24;23,6;;;;;;323;5,3;,1;
2026/01/03;1100 UTC;2,4;991,4;991,4;990,6;113,9;24,1;;24,2;23,7;;;;;;7;3,4;0;
2026/01/03;1200 UTC;,6;992;992,1;991,4;151,3;24;;24,2;23,9;;;;;;276;1,6;0;
2026/01/03;1300 UTC;1,4;992,4;992,4;992;249,4;23,9;;24,5;23,9;;;;;;250;0;0;
2026/01/03;1400 UTC;,4;991,9;992,3;991,9;298,5;24,3;;24,5;23,6;;;;;;301;0;0;
2026/01/03;1500 UTC;,2;991,6;992;991,6;712,2;25,5;;25,5;24,3;;;;;;284;1;0;
2026/01/03;1600 UTC;0;991,3;991,6;991,3;1326,8;26,6;;26,6;25,5;;;;;;287;0;0;
2026/01/03;1700 UTC;0;990,8;991,3;990,8;1010,3;27,1;;27,4;26,6;;;;;;238;0;0;
2026/01/03;1800 UTC;0;989,9;990,8;989,9;700,9;27,1;;27,3;26,9;;;;;;231;2,3;0;
2026/01/03;1900 UTC;0;989,3;989,9;989,3;565,7;26,9;;27,2;26,9;;;;;;186;2,3;0;
2026/01/03;2000 UTC;0;989;989,3;989;414,6;26,8;;27;26,8;;;;;;202;2,3;0;
2026/01/03;2100 UTC;0;989,7;989,7;989;132,2;26,4;;26,8;26,4;;;;;;167;0;0;
2026/01/03;2200 UTC;0;990,7;990,7;989,7;9,3;26;;26,5;26;;;;;;22;0;0;
2026/01/03;2300 UTC;0;991,2;991,2;990,7;;24,9;;26;24,9;;;;;;357;2,7;0;
2026/01/04;0000 UTC;0;991,8;991,8;991,2;;24,3;;24,9;24,3;;;;;;37;0;0;
2026/01/04;0100 UTC;0;991,9;992,1;991,8;;23,9;;24,3;23,9;;;;;;201;0;0;
2026/01/04;0200 UTC;0;991,8;991,9;991,7;;24,3;;24,3;23,8;;;;;;182;0;0;
2026/01/04;0300 UTC;0;991,4;991,8;991,4;;23,8;;24,3;23,8;;;;;;49;0;0;
2026/01/04;0400 UTC;0;991;991,4;990,9;;24;;24;23,5;;;;;;42;7;0;
2026/01/04;0500 UTC;,2;989,8;990,9;989,8;;23,7;;24,2;23,7;;;;;;69;0;0;
2026/01/04;0600 UTC;0;989,5;990,1;989,5;;23,5;;23,8;23,5;;;;;;174;0;0;
2026/01/04;0700 UTC;0;989,4;989,5;989,4;;23,6;;23,6;23,5;;;;;;310;0;0;
2026/01/04;0800 UTC;0;989,5;989,5;989,3;;23;;23,6;23;;;;;;104;0;0;
2026/01/04;0900 UTC;0;990,4;990,4;989,5;;22,8;;23;22,6;;;;;;96;0;0;
2026/01/04;1000 UTC;0;991,1;991,1;990,3;72,7;23;;23;22,8;;;;;;115;0;0;
2026/01/04;1100 UTC;0;991,9;991,9;991,1;352,5;23,8;;23,8;23;;;;;;71;0;0;
2026/01/04;1200 UTC;0;992,5;992,5;991,9;727,9;25;;25;23,8;;;;;;65;0;0;
2026/01/04;1300 UTC;0;992,2;992,5;992,2;1665,6;26,6;;26,6;24,9;;;;;;59;0;0;
2026/01/04;1400 UTC;0;991,9;992,2;991,9;2184,2;27,8;;27,8;26,5;;;;;;12;5,7;1,2;
2026/01/04;1500 UTC;0;991,5;991,9;991,5;3140,6;29;;29,3;27,8;;;;;;8;6,9;,6;
2026/01/04;1600 UTC;0;990,8;991,5;990,8;2701,9;29,9;;30;28,9;;;;;;2;5,9;,1;
2026/01/04;1700 UTC;0;989,7;990,8;989,7;2772,1;30,6;;31,3;29,8;;;;;;334;5,6;,4;
2026/01/04;1800 UTC;0;988,6;989,7;988,5;2167,7;31;;31,1;30,5;;;;;;340;5,6;,2;
2026/01/04;1900 UTC;0;987,9;988,6;987,9;1719,2;30,8;;31,3;30,6;;;;;;328;4,2;,3;
2026/01/04;2000 UTC;0;987,9;988;987,9;843,8;30,3;;30,9;30,3;;;;;;349;3,5;0;
2026/01/04;2100 UTC;0;988,1;988,2;987,9;559,8;29,9;;30,7;29,9;;;;;;353;0;0;
2026/01/04;2200 UTC;0;988,6;988,6;988,1;30,6;28,3;;29,9;28,3;;;;;;356;0;0;
2026/01/04;2300 UTC;0;989,2;989,2;988,6;;26,7;;28,3;26,7;;;;;;236;0;0;
2026/01/05;0000 UTC;0;990,1;990,1;989,2;;26;;26,7;26;;;;;;123;0;0;
2026/01/05;0100 UTC;0;990,5;990,5;990,1;;25,4;;26,1;25,4;;;;;;103;0;0;
2026/01/05;0200 UTC;0;990,6;990,7;990,5;;25,6;;25,7;25,4;;;;;;122;0;0;
2026/01/05;0300 UTC;0;990,5;990,7;990,5;;25,4;;25,6;25,4;;;;;;253;0;0;
2026/01/05;0400 UTC;0;990,2;990,5;990,2;;24,8;;25,5;24,8;;;;;;122;0;0;
2026/01/05;0500 UTC;0;989,8;990,2;989,8;;24,2;;24,8;24,2;;;;;;21;0;0;
2026/01/05;0600 UTC;0;989,3;989,9;989,3;;24,4;;24,5;24,2;;;;;;314;0;0;
2026/01/05;0700 UTC;0;989,3;989,3;989,2;;24,2;;24,4;24,1;;;;;;110;0;0;
