REGIAO:;NE
UF:;PB
ESTACAO:;SAO GONCALO
CODIGO (WMO):;A333
LATITUDE:;-6,83583333
LONGITUDE:;-38,31166666
ALTITUDE:;237,04
DATA DE FUNDACAO:;06/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;987,1;987,1;985,5;;28,9;20,2;31,7;27,1;22,4;16,7;76;41;59;16;6,7;2,4;
2026/01/01;0100 UTC;0;987,6;987,7;987,1;;26,3;20,3;28,9;26,3;20,3;19,4;70;58;70;51;7,4;1,6;
2026/01/01;0200 UTC;0;988;988;987,6;;24,7;20,9;26,3;24,5;21,4;20,3;82;70;79;37;4,5;1,3;
2026/01/01;0300 UTC;0;987,4;988;987,4;;24,7;21,4;24,8;24,6;21,5;20,9;82;79;82;88;3,3;,3;
2026/01/01;0400 UTC;0;986,8;987,4;986,8;;25,1;20,5;25,1;24,6;21,7;20,5;83;76;76;47;4;1,3;
2026/01/01;0500 UTC;0;986,2;986,8;986,2;;25;20,1;25,1;24,9;20,6;20,1;77;74;74;42;3,3;,9;
2026/01/01;0600 UTC;0;986;986,2;986;;25,2;19,9;25,3;25;20,1;19,8;74;71;72;47;3,2;,6;
2026/01/01;0700 UTC;0;985,8;986;985,7;;24,6;20,1;25,2;24,6;20,1;19,8;76;72;76;102;2,3;,6;
2026/01/01;0800 UTC;0;986,2;986,2;985,8;;24,6;20,2;24,6;24,4;20,5;20,1;78;76;77;124;1,5;,5;
2026/01/01;0900 UTC;0;986,7;986,7;986,2;34,8;24,9;20,1;24,9;24,6;20,4;20,1;77;75;75;84;1,6;,2;
2026/01/01;1000 UTC;0;986,9;986,9;986,6;456,1;27,2;19,9;27,2;24,9;20,6;19,7;75;64;65;60;2,4;,9;
2026/01/01;1100 UTC;0;987,2;987,2;986,9;1592,2;29;19,1;29;27,2;20,2;18,6;65;55;55;42;4,8;1,4;
2026/01/01;1200 UTC;0;987,6;987,6;987,2;1644;28,8;18,7;29,3;28,1;19,3;18,1;58;52;54;49;4,3;,8;
2026/01/01;1300 UTC;0;987,3;987,7;987,3;2065,6;30;17,8;30,5;28,3;19,5;17,4;57;47;48;95;6;1,5;
2026/01/01;1400 UTC;0;986,6;987,3;986,6;3435,2;32,1;18,3;32,3;30;18,9;16,9;49;41;44;67;5,5;1,9;
2026/01/01;1500 UTC;0;985,8;986,6;985,8;3631,6;33;16,3;33,3;32;18,2;16,3;44;37;37;86;5,3;2,2;
2026/01/01;1600 UTC;0;984,5;985,8;984,5;3569,6;34,5;15,8;35,1;32,8;17,8;15,1;39;32;33;78;5,3;2,1;
2026/01/01;1700 UTC;0;983,7;984,5;983,6;2473,7;34,7;15,2;35,6;32,8;17,2;14,5;39;31;31;129;5,1;1,4;
2026/01/01;1800 UTC;0;982,8;983,7;982,8;2654,7;34,8;16,4;35,7;34,5;16,9;14,7;35;30;33;81;5,1;2;
2026/01/01;1900 UTC;0;982,3;982,8;982,3;1511,8;34,8;16;35,5;34,1;17,2;14,2;35;29;33;79;3,7;1;
2026/01/01;2000 UTC;0;982,5;982,5;982,3;797;33,2;16,4;34,9;33,2;17,2;15;38;31;37;19;3,2;,7;
2026/01/01;2100 UTC;0;982,7;982,7;982,4;109,9;28,8;19,5;33,2;28,8;19,5;16,1;57;36;57;108;2,3;0;
2026/01/01;2200 UTC;0;983,2;983,2;982,7;;26,8;20,8;28,8;26,8;20,9;19,6;70;57;70;183;0;0;
2026/01/01;2300 UTC;0;983,3;983,4;983,2;;25,6;21,3;26,8;25,6;21,3;20,8;77;70;77;168;,9;,2;
2026/01/02;0000 UTC;0;984,5;984,5;983,3;;29,7;16,5;29,7;25,3;21,6;16,5;80;45;45;24;9;4,5;
2026/01/02;0100 UTC;0;984,9;984,9;984,5;;27,6;17,2;29,7;27,6;17,2;16,5;53;45;53;53;9;1,8;
2026/01/02;0200 UTC;0;985,4;985,4;984,9;;26,6;17,1;27,6;26,5;17,5;17,1;57;53;56;51;5,8;1,9;
2026/01/02;0300 UTC;0;985,1;985,4;985;;26,5;17;27;26,4;17;16,4;56;53;56;38;7,2;2,6;
2026/01/02;0400 UTC;0;984,9;985,1;984,8;;25,7;17,3;26,4;25,7;17,3;17;60;56;60;42;7,2;1,8;
2026/01/02;0500 UTC;0;984,5;985;984,5;;25,3;17,5;25,7;25,3;17,5;17,3;62;60;62;54;4,5;1,4;
2026/01/02;0600 UTC;0;984,2;984,6;984,2;;24,4;18,4;25,3;24,4;18,4;17,5;69;62;69;94;3,2;,4;
2026/01/02;0700 UTC;0;984,3;984,3;984,2;;23,4;19;24,4;23,4;19,1;18,5;77;69;76;39;1,5;,1;
2026/01/02;0800 UTC;0;985,2;985,2;984,3;;22,6;19,2;23,7;22,5;19,3;18,8;81;75;81;141;2,5;0;
2026/01/02;0900 UTC;0;985,4;985,4;985,2;59,3;23,2;20,2;23,2;22,2;20,2;19,2;85;81;84;84;1,5;,4;
2026/01/02;1000 UTC;0;986;986;985,4;680,2;26,7;19,8;26,9;23,2;20,3;19,3;84;64;66;76;2,5;1;
2026/01/02;1100 UTC;0;986,4;986,6;986;944,7;26,9;19,6;27,3;26,4;19,9;18,6;66;60;64;55;3,2;1,5;
2026/01/02;1200 UTC;0;986,7;986,7;986,4;1407,8;27,8;19;28,9;26,9;19,7;18,2;64;55;59;62;4,7;1;
2026/01/02;1300 UTC;0;986,3;986,7;986,3;1924,1;30,5;18,7;30,5;27,5;19,9;18,3;61;49;49;67;5;2,2;
2026/01/02;1400 UTC;0;985,7;986,3;985,7;2693;30;17,3;32,1;30;19,1;16,9;50;42;46;12;6,1;1,5;
2026/01/02;1500 UTC;0;984,5;985,7;984,5;2648,4;33,4;17,8;33,4;29,7;18,4;16,1;49;37;40;59;4,3;1,3;
2026/01/02;1600 UTC;0;983,4;984,6;983,4;3091,1;33,7;15,4;34;32,3;18,3;15,4;41;33;34;88;6,6;1,1;
2026/01/02;1700 UTC;0;982,5;983,4;982,5;3074,8;33,6;15,2;35,2;33,6;17,5;15,1;38;32;33;1;4,1;1,6;
2026/01/02;1800 UTC;0;981,5;982,5;981,5;2718,2;34,8;16;35,6;33,6;17,3;14,6;36;30;33;29;4,6;1,7;
2026/01/02;1900 UTC;0;980,8;981,5;980,8;1867;34,8;15,8;36,1;34,5;17,2;14,8;34;30;32;65;4,6;1,3;
2026/01/02;2000 UTC;0;980,8;980,9;980,7;896,6;33,7;18,6;34,9;33,7;18,6;14,9;41;30;41;43;3,2;,3;
2026/01/02;2100 UTC;0;981;981;980,7;146,2;30,3;17,3;33,7;30,3;18,9;15,3;46;36;46;360;3,5;,5;
2026/01/02;2200 UTC;0;981,3;981,3;980,9;;27,1;19,3;30,7;27,1;19,3;15,5;62;40;62;95;3,3;,6;
2026/01/02;2300 UTC;0;982;982;981,3;;26,4;18,6;27,1;26,1;20,1;18,6;66;62;63;94;1,5;1;
2026/01/03;0000 UTC;0;983,3;983,3;982;;29,3;16,6;29,9;26,4;19,5;16,3;65;44;46;41;8,3;3,2;
2026/01/03;0100 UTC;0;984,3;984,3;983,3;;28,1;17,1;29,3;28,1;17,1;16,6;51;46;51;41;7,4;2,6;
2026/01/03;0200 UTC;0;984,4;984,5;984,3;;27,2;17,4;28,3;27,2;17,6;17;56;51;55;41;6,8;2,8;
2026/01/03;0300 UTC;0;984,2;984,5;984,1;;26,2;17,7;27,3;26,2;17,7;17,3;60;55;60;38;6,8;2,1;
2026/01/03;0400 UTC;0;984,1;984,3;984;;25,5;18,6;26,2;25,4;18,6;17,7;66;60;66;23;4;1,4;
2026/01/03;0500 UTC;0;983,9;984,1;983,8;;24,9;19;25,5;24,9;19;18,6;70;66;70;15;3,6;1,3;
2026/01/03;0600 UTC;0;984,2;984,2;983,8;;25,1;19,1;25,1;24,8;19,1;19;70;70;70;14;3,7;1,9;
2026/01/03;0700 UTC;0;984,4;984,4;984,2;;24,5;19,3;25,1;24,5;19,3;19,1;73;70;73;29;3,6;1,4;
2026/01/03;0800 UTC;0;985,1;985,1;984,3;;24,3;18,5;24,5;23,5;19,3;18,5;77;70;70;51;4,8;2,1;
2026/01/03;0900 UTC;0;985,7;985,7;985,1;77,5;24,6;19;24,6;24,1;19;18,4;72;70;71;67;4,4;1,3;
2026/01/03;1000 UTC;0;986,2;986,3;985,7;378,3;25,4;19,5;25,6;24,6;19,6;19,1;72;69;70;53;4,1;1,7;
2026/01/03;1100 UTC;0;986,9;986,9;986,2;1469,2;27,4;18,8;27,6;25,4;19,8;18,8;70;60;60;349;5;2,1;
2026/01/03;1200 UTC;0;987;987;986,8;1265,4;28,5;18,7;29;26,8;19,5;18,5;63;53;55;23;4,8;2,3;
2026/01/03;1300 UTC;0;986,7;987,1;986,7;2895,8;31,5;18,5;31,5;28,5;19,2;17,2;57;45;46;56;5,2;2,3;
2026/01/03;1400 UTC;0;985,9;986,7;985,9;3492,1;31,5;16,6;32,6;30,9;18,4;16,3;46;39;41;4;6,8;1,9;
2026/01/03;1500 UTC;0;985;985,9;985;3349,2;34,3;16,4;34,3;31,1;17,7;15,4;44;34;34;68;6,8;1,8;
2026/01/03;1600 UTC;0;984;985;984;3332,4;34,3;15,2;35;33,1;16,7;14,4;35;30;32;38;6,2;2,4;
2026/01/03;1700 UTC;0;983,1;984;983,1;2137,2;34,3;15,1;34,8;33;16,4;14,5;36;31;32;44;6;2,3;
2026/01/03;1800 UTC;0;982,6;983,1;982,6;1987,8;35,3;14,3;35,7;33,4;16,3;13,7;34;28;29;6;5,3;,3;
2026/01/03;1900 UTC;0;981,9;982,6;981,9;1893,5;35;14,1;36,3;34,7;15,8;13,6;31;26;29;18;5,7;1,4;
2026/01/03;2000 UTC;0;981,7;981,9;981,7;959;34,5;15,4;35,5;34,5;16,3;13;34;27;32;64;3,2;,8;
2026/01/03;2100 UTC;0;981,8;981,9;981,7;195,9;29,2;15,8;34,5;29,2;16,9;13,5;46;31;44;72;3,6;,7;
