REGIAO:;NE
UF:;PE
ESTACAO:;ARCO VERDE
CODIGO (WMO):;A309
LATITUDE:;-8,4336111
LONGITUDE:;-37,05555555
ALTITUDE:;683,95
DATA DE FUNDACAO:;20/11/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;939;939;938,3;;25,3;18;27,3;25,3;18,1;17,6;64;56;64;94;9,5;5;
2026/01/01;0100 UTC;0;939,3;939,3;939;;24;18,1;25,3;24;18,3;18;70;64;70;89;9,5;4,1;
2026/01/01;0200 UTC;0;939;939,3;939;;23;18,4;24;23;18,4;18,2;75;70;75;89;8,7;5,3;
2026/01/01;0300 UTC;0;938,8;939,1;938,8;;22,3;18,2;23;22,2;18,4;18,1;78;75;77;164;8,5;1,2;
2026/01/01;0400 UTC;0;938;938,8;938;;21,9;17,1;22,4;21,9;18,2;17,1;77;74;74;69;8,7;4,7;
2026/01/01;0500 UTC;0;937,7;938,1;937,6;;21,3;17,4;21,9;21,2;17,4;17,1;78;74;78;50;8;3,6;
2026/01/01;0600 UTC;0;937,1;937,7;937,1;;20,7;17,3;21,3;20,7;17,5;17,2;81;78;81;238;6,8;1,6;
2026/01/01;0700 UTC;0;937;937,2;937;;20,3;17,3;20,7;20,3;17,5;17,2;83;81;83;36;2,7;,7;
2026/01/01;0800 UTC;0;937,4;937,4;937;;20,3;17,3;20,6;20,2;17,4;17,1;83;82;83;64;4,9;1,8;
2026/01/01;0900 UTC;0;937,9;937,9;937,4;80,8;21;17,6;21;20,1;17,6;17,2;83;81;81;69;4,6;2;
2026/01/01;1000 UTC;0;938;938,1;937,9;418,4;23,1;18,2;23,1;21;18,3;17,6;81;74;74;57;5,3;2,5;
2026/01/01;1100 UTC;0;938,3;938,3;938;1236,7;25,4;18;25,9;23,1;18,6;18;74;63;64;68;7,8;3,2;
2026/01/01;1200 UTC;0;937,9;938,3;937,9;2449;28;17,6;28,9;25,3;18,8;17,6;64;53;53;82;7,1;3,2;
2026/01/01;1300 UTC;0;937,6;937,9;937,6;2862,1;29,9;17,7;30,8;27,6;18,2;16,7;55;45;48;38;5,9;2,3;
2026/01/01;1400 UTC;0;937,1;937,6;937,1;1640,7;29,1;17,5;31,1;28,4;18,3;17,2;52;45;50;37;7,5;3;
2026/01/01;1500 UTC;0;936,5;937,1;936,5;2675,8;30,8;17,1;33,2;28,8;18,4;16,4;50;39;44;28;6,1;2,9;
2026/01/01;1600 UTC;0;935,6;936,5;935,6;2296,4;32;16,9;32,5;30,2;17,7;16,5;45;40;41;173;7,4;1,6;
2026/01/01;1700 UTC;0;934,5;935,6;934,5;2640,2;32,8;15,4;34,3;32;17,1;14,9;41;33;35;94;6;2,1;
2026/01/01;1800 UTC;0;933,9;934,5;933,9;896,1;34,2;14,9;34,2;31,8;15,6;13,9;37;31;31;210;5,1;1,3;
2026/01/01;1900 UTC;0;933,5;933,9;933,3;1380,6;32,6;14,2;35,6;32,6;15,2;13,7;33;29;33;326;7,5;3,5;
2026/01/01;2000 UTC;0;933,8;933,8;933,5;506,4;32,3;13,7;34;32,3;14,5;13,2;33;29;32;169;7,5;2,9;
2026/01/01;2100 UTC;0;934,2;934,2;933,8;78,6;30,4;13,2;32,4;30,4;13,7;13,1;35;31;35;146;6,2;,8;
2026/01/01;2200 UTC;0;934,9;934,9;934,2;;29,7;15,3;30,4;29,5;15,4;13,2;42;35;42;161;2,8;,6;
2026/01/01;2300 UTC;0;935,4;935,4;934,9;;29;15,5;30;29;15,5;15,3;44;41;44;46;2,3;,9;
2026/01/02;0000 UTC;0;936,3;936,3;935,4;;26,4;18,5;29;26,4;18,5;15,5;62;44;62;92;9,5;5,8;
2026/01/02;0100 UTC;0;936,8;936,8;936,3;;24,8;18,6;26,4;24,8;18,6;18,5;69;62;69;85;10,2;3,6;
2026/01/02;0200 UTC;0;936,5;936,8;936,5;;24,3;18,7;24,8;24,1;18,8;18,6;72;69;71;76;7,5;3,6;
2026/01/02;0300 UTC;0;936,4;936,7;936,4;;23,7;18,7;24,3;23,7;18,8;18,7;74;71;74;58;7,5;1,6;
2026/01/02;0400 UTC;0;935,7;936,5;935,7;;23;18,6;23,7;23;18,8;18,5;77;73;77;56;6;3,1;
2026/01/02;0500 UTC;0;935,7;935,8;935,6;;22,3;18;23;22,2;18,6;18;78;76;77;63;6,9;1,4;
2026/01/02;0600 UTC;0;935,3;935,7;935,3;;21,6;17,4;22,3;21,6;18;17,4;77;76;77;6;6,7;2,9;
2026/01/02;0700 UTC;0;935;935,3;935;;21,3;17,4;21,7;21,2;17,5;17,3;79;77;79;351;6,7;1,8;
2026/01/02;0800 UTC;0;935,7;935,7;935;;21;17,8;21,3;20,9;17,8;17,4;82;79;82;57;5,9;2,9;
2026/01/02;0900 UTC;0;936,5;936,5;935,7;113,5;21,8;18,1;21,9;20,9;18,2;17,7;83;79;79;46;5,9;2;
2026/01/02;1000 UTC;0;936,8;936,9;936,5;515,8;23,7;18,3;23,7;21,8;18,4;18;79;72;72;31;7,6;3,4;
2026/01/02;1100 UTC;0;936,9;937;936,7;1649,3;26,1;18;26,4;23,7;18,7;17,8;72;61;61;45;10,1;4,2;
2026/01/02;1200 UTC;0;937,3;937,3;936,9;1816,1;27,3;16,8;28,6;25,6;18,2;16,8;61;51;53;26;8,8;4,9;
2026/01/02;1300 UTC;0;936,7;937,3;936,7;3008,9;29,2;16,7;30,7;27,1;17,9;16,5;54;44;47;359;10,4;5,3;
2026/01/02;1400 UTC;0;936,5;936,7;936,2;2715,7;28,8;16,3;31,9;28,8;17,4;15,9;47;41;47;19;11,5;3,9;
2026/01/02;1500 UTC;0;935,8;936,5;935,7;1847,7;30,2;16,7;32;28,8;17,7;16,3;47;41;44;336;9,2;4,2;
2026/01/02;1600 UTC;0;934,8;935,8;934,7;2085,1;31,3;16;32,3;29,6;17,3;16;45;39;40;360;9;4;
2026/01/02;1700 UTC;0;933,7;934,8;933,7;2009,8;31,8;15,6;33,6;31,1;16,9;15;40;34;38;315;8,4;2,7;
2026/01/02;1800 UTC;0;933,1;933,8;933,1;1089,3;32;15,6;32,9;31,3;16,4;15,3;39;36;37;21;7,5;2,9;
2026/01/02;1900 UTC;0;932,5;933,1;932,5;934,5;31,3;14,9;33,5;31,3;15,7;14,4;38;33;37;33;6,4;2,7;
2026/01/02;2000 UTC;0;932,6;932,6;932,4;279,3;31,1;15;31,3;30,9;15,2;14,8;38;37;38;4;5,6;2,9;
2026/01/02;2100 UTC;0;932,7;932,7;932,6;76;29,2;14,7;31,1;29,2;15;14,6;41;38;41;28;4,9;2,1;
