REGIAO:;NE
UF:;PE
ESTACAO:;SURUBIM
CODIGO (WMO):;A328
LATITUDE:;-7,84249999
LONGITUDE:;-35,79027777
ALTITUDE:;421,44
DATA DE FUNDACAO:;09/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;968,6;968,6;968;;23,8;18;24,4;23,7;18;16,5;70;61;70;332;7,3;3,9;
2026/01/01;0100 UTC;0;968,7;968,8;968,6;;23,6;18,3;23,8;23,6;18,4;18;72;70;72;332;6,9;3,1;
2026/01/01;0200 UTC;0;968,4;968,8;968,3;;23,3;18,4;23,7;23,3;18,4;18,3;74;72;74;332;5;2,6;
2026/01/01;0300 UTC;0;967,7;968,4;967,7;;23,1;18,7;23,3;23,1;18,7;18,3;76;74;76;332;4,7;2,2;
2026/01/01;0400 UTC;0;967,2;967,7;967,1;;23,1;18,6;23,3;23;18,8;18,5;76;75;76;332;3,8;2;
2026/01/01;0500 UTC;0;966,6;967,2;966,5;;23;18,9;23,1;22,9;18,9;18,6;78;76;78;333;3,7;1,7;
2026/01/01;0600 UTC;0;966;966,6;966;;23,1;18,7;23,2;22,9;18,9;18,7;78;76;76;8;3,8;2,1;
2026/01/01;0700 UTC;0;965,8;966;965,8;;23,1;18,4;23,2;23,1;18,7;18,4;76;75;75;338;5,1;2,1;
2026/01/01;0800 UTC;0;966,2;966,2;965,8;;23;18,6;23,1;23;18,7;18,4;76;75;76;332;3,9;1,7;
2026/01/01;0900 UTC;0;966,6;966,6;966,2;80,9;23,2;18,6;23,3;23;18,7;18,5;77;75;75;345;4,8;2,5;
2026/01/01;1000 UTC;0;966,7;966,8;966,6;525,4;24,6;17,8;24,7;23,2;18,7;17,7;75;65;66;21;5,3;3;
2026/01/01;1100 UTC;0;967;967;966,7;1021,5;25,8;16,2;26,4;24,5;17,8;16,1;66;55;55;8;6,4;4;
2026/01/01;1200 UTC;0;966,9;967,1;966,9;1925,4;27,7;14,7;28,7;25,8;16,7;14,4;56;43;45;356;6,7;2,7;
2026/01/01;1300 UTC;0;966,6;967;966,5;2465,6;30,7;12,5;30,9;27,5;14,7;12;45;33;33;37;7,6;3,2;
2026/01/01;1400 UTC;0;965,8;966,6;965,8;3472,5;30,4;12,9;32;29,5;13,6;12,3;37;32;34;28;7,3;3,1;
2026/01/01;1500 UTC;0;965,1;965,8;965,1;2683,1;33,2;11,9;33,2;29,9;13,1;11,7;35;27;27;208;6,9;3,1;
2026/01/01;1600 UTC;0;964;965,1;964;2676,8;32,8;10,3;33,5;31,6;11,6;10,1;28;25;25;207;6,7;1,5;
2026/01/01;1700 UTC;0;963,2;964;963,2;2412,3;32,2;12;34,7;31,9;12;10,1;29;23;29;208;7,3;2,8;
2026/01/01;1800 UTC;0;962,6;963,3;962,6;2158,8;33,9;11,8;33,9;31,5;12,2;11,4;30;26;26;208;8;3,1;
2026/01/01;1900 UTC;0;962,5;962,6;962,4;1454,9;31,3;12,7;33,9;31,3;12,7;11,3;32;26;32;208;9,1;4,9;
2026/01/01;2000 UTC;0;963,1;963,1;962,5;700,2;29,4;13,7;31,5;29,3;13,9;12,6;39;32;38;208;9,6;4,6;
2026/01/01;2100 UTC;0;963,7;963,7;963,1;62,6;27;15,5;29,4;27;15,5;13,8;49;38;49;208;9,1;6,1;
2026/01/01;2200 UTC;0;964,7;964,7;963,7;;25,7;16,1;27;25,7;16,1;15,5;55;49;55;28;9;4,7;
2026/01/01;2300 UTC;0;965,5;965,5;964,7;;24,7;16,9;25,7;24,7;16,9;16,1;62;55;62;22;8,6;3,6;
2026/01/02;0000 UTC;0;966,3;966,3;965,5;;23,9;17,7;24,7;23,9;17,7;16,9;68;62;68;23;6,3;3,3;
2026/01/02;0100 UTC;0;966,2;966,3;966,2;;23,5;17,9;23,9;23,5;17,9;17,7;71;68;71;23;5,3;2,5;
2026/01/02;0200 UTC;0;965,9;966,2;965,8;;23,3;18,1;23,5;23,3;18,1;17,9;72;71;72;23;4,5;2,5;
2026/01/02;0300 UTC;0;965,4;965,9;965,4;;23;18,2;23,3;22,9;18,2;18,1;74;72;74;23;3,8;1,7;
2026/01/02;0400 UTC;0;965;965,4;965;;22,9;18,1;23;22,8;18,2;18,1;75;74;75;23;2,7;,9;
2026/01/02;0500 UTC;0;964,5;965;964,5;;22,5;17,9;22,9;22,5;18,1;17,9;75;75;75;23;1,8;0;
2026/01/02;0600 UTC;0;964,4;964,5;964,4;;22,1;17,9;22,5;22,1;17,9;17,7;77;75;77;23;1,1;,5;
2026/01/02;0700 UTC;0;964,2;964,4;964,2;;21,6;17,6;22,1;21,6;17,9;17,6;78;77;78;23;1,3;,1;
2026/01/02;0800 UTC;0;964,6;964,6;964,1;;21,1;17,3;21,6;21,1;17,6;17,3;79;78;79;23;1,4;,6;
2026/01/02;0900 UTC;0;965,3;965,3;964,6;145,1;22,2;18;22,2;21;18,1;17,3;79;77;77;22;1,7;,5;
2026/01/02;1000 UTC;0;965,8;965,8;965,3;834,7;24,7;17,3;25,3;22,2;18,4;17,2;77;62;63;13;3,3;1,7;
2026/01/02;1100 UTC;0;965,9;966,1;965,8;1031,4;25,7;17;26;24,4;17,8;16,7;65;58;58;39;4,4;2,5;
2026/01/02;1200 UTC;0;966,2;966,2;965,8;1432,9;26,9;15,9;27,1;25,7;17,2;15,9;58;51;51;39;5,6;2,5;
2026/01/02;1300 UTC;0;965,8;966,2;965,8;2716;29,6;13,3;30,8;26,9;16,1;12,9;51;35;37;39;6,4;2,5;
2026/01/02;1400 UTC;0;964,8;965,8;964,8;2879,1;31,9;12,3;32,2;28,7;13,8;11,8;39;30;30;39;7,6;3,8;
2026/01/02;1500 UTC;0;963,9;964,8;963,8;1896,6;33,1;12,3;33,2;30,1;12,5;11,6;33;28;28;39;8,9;3,8;
2026/01/02;1600 UTC;0;963,3;963,9;963,3;2286,3;31;11,9;33,4;31;12,6;11,8;32;28;31;208;6,2;2,1;
