REGIAO:;NE
UF:;PI
ESTACAO:;PICOS
CODIGO (WMO):;A343
LATITUDE:;-7,0711111
LONGITUDE:;-41,40416666
ALTITUDE:;232,91
DATA DE FUNDACAO:;12/12/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;986,4;986,6;985,9;;26,3;24,7;28,6;26,2;26,5;23,6;100;74;91;267;5,3;1,1;
2026/01/01;0100 UTC;;987,1;987,2;986,4;;26,6;26,6;27,7;26,3;26,6;24,3;100;83;100;32;2,2;1,1;
2026/01/01;0200 UTC;;987;987,1;986,9;;26,3;;26,6;25,8;;;;;;96;2,7;1,5;
2026/01/01;0300 UTC;;986,2;987;986,2;;25,4;;26,5;25,4;;;;;;44;2,3;1;
2026/01/01;0400 UTC;;985,5;986,2;985,5;;25,2;;25,6;25,1;;;;;;8;2;,4;
2026/01/01;0500 UTC;;984,9;985,5;984,9;;25;;25,2;25;;;;;;46;2,8;1,7;
2026/01/01;0600 UTC;;985;985;984,8;;24,9;;25,1;24,9;;;;;;47;3,3;1,5;
2026/01/01;0700 UTC;;985,1;985,2;984,9;;24,6;;24,9;24,6;;;;;;13;2,5;,9;
2026/01/01;0800 UTC;;985,7;985,7;985,1;;24,4;;24,7;24,3;;;;;;50;2,8;1;
2026/01/01;0900 UTC;;985,9;986;985,7;15,8;24,4;;24,4;24,1;;;;;;54;2,7;1,5;
2026/01/01;1000 UTC;;986,1;986,1;985,7;316,7;26,3;22;26,4;24,4;24,9;21,8;100;76;77;38;4;1,7;
2026/01/01;1100 UTC;;986,9;986,9;986,1;863,2;28,1;20,3;28,1;26,3;22,6;20,1;79;63;63;44;5,9;2,3;
2026/01/01;1200 UTC;;987;987,1;986,9;1244,1;29,9;19,2;30,1;27,5;20,3;18,9;63;52;53;64;7,3;3,4;
2026/01/01;1300 UTC;;987;987,1;987;1518,6;30,7;18,8;31,5;29,7;19,5;18,8;53;48;49;21;7,2;3,4;
2026/01/01;1400 UTC;;986,2;987;986,2;1387,1;31,7;18,8;32,2;30,6;19,3;18,2;49;44;46;41;6,6;1,9;
2026/01/01;1500 UTC;;985,5;986,2;985,5;1763,1;33,3;19;33,6;31,4;19,5;18,4;48;42;43;48;6,3;2,4;
2026/01/01;1600 UTC;;984,5;985,5;984,5;1665,3;32,6;18,7;34;32,3;19,5;18,2;45;40;44;358;7,3;3,7;
2026/01/01;1700 UTC;;983,4;984,5;983,4;1220,4;33,5;18,9;34,5;32,3;19,6;18,2;45;40;42;328;7,3;2,8;
2026/01/01;1800 UTC;;982,5;983,4;982,5;1115;34;18,4;34,7;32,9;19,6;17,7;44;38;40;53;6,6;,7;
2026/01/01;1900 UTC;;982;982,5;982;1244;35,2;17,8;36;34;18,9;17,5;41;35;36;340;4,7;2;
2026/01/01;2000 UTC;;981,9;982;981,8;492,6;33,6;17,9;35,7;33,6;18,7;17;41;35;40;12;5,3;1,5;
2026/01/01;2100 UTC;;982,4;982,4;981,9;62,8;31,6;19,4;33,6;31,6;19,4;17,9;49;40;49;304;2,6;1,1;
2026/01/01;2200 UTC;;982,9;982,9;982,4;;31,1;20,1;32,2;31,1;20,1;18,6;52;47;52;259;4,9;2,1;
2026/01/01;2300 UTC;;983,4;983,4;982,9;;29,5;20,3;31,1;29,5;20,4;20,1;58;52;58;301;4,4;,6;
2026/01/02;0000 UTC;;984,2;984,2;983,4;;29,5;20,9;29,6;28,9;21,2;20,3;63;58;60;74;1,9;,9;
2026/01/02;0100 UTC;;985;985;984,2;;29,2;21,8;29,6;29,1;21,9;20,7;65;59;65;240;2,7;1,2;
2026/01/02;0200 UTC;;984,8;985,1;984,7;;28,4;22,6;29,2;28,4;22,6;21,8;71;65;71;219;4,5;2,1;
2026/01/02;0300 UTC;;984,1;984,8;984,1;;27,7;22,7;28,4;27,7;22,9;22,5;74;71;74;227;4,5;1,8;
2026/01/02;0400 UTC;;983,6;984,1;983,6;;26,9;22,5;27,8;26,9;22,7;22,5;77;74;77;242;4,3;1,1;
2026/01/02;0500 UTC;;983,2;983,6;983,2;;26,4;23,4;26,9;26,1;23,4;22,6;84;77;84;183;1,7;1;
2026/01/02;0600 UTC;;983,4;983,5;983,2;;25,4;24,7;26,4;25,4;25;23,1;97;83;96;36;1,8;1,2;
2026/01/02;0700 UTC;;983,6;983,7;983,4;;24,6;;25,6;24,6;25,3;24,7;100;95;;7;2,6;1,2;
2026/01/02;0800 UTC;;983,8;983,8;983,5;;24,8;;25,2;24,5;;;;;;71;1,9;1,3;
2026/01/02;0900 UTC;;984,3;984,4;983,8;20,4;25,7;25,7;25,8;24,8;;;;;100;84;1,9;,9;
2026/01/02;1000 UTC;;985;985;984,3;264,3;26;22,5;26,2;25,5;;;100;80;81;49;3,9;2,1;
2026/01/02;1100 UTC;;985,5;985,6;985;755,2;28,1;20,5;28,1;26;22,8;20,2;82;63;63;49;5,9;3;
2026/01/02;1200 UTC;;985,9;985,9;985,4;1271,5;29,2;20,1;29,4;27,8;20,4;19,9;63;58;58;60;6,1;2,6;
2026/01/02;1300 UTC;;985,5;985,9;985,4;1557;30,8;20,4;31,3;28,7;20,7;19,9;59;52;54;29;6,5;2,1;
2026/01/02;1400 UTC;;984,9;985,5;984,9;1655,4;32,1;20,1;32,1;30,3;20,6;19,5;54;49;49;26;5,9;1,2;
2026/01/02;1500 UTC;;984,3;984,9;984,3;1481,9;32,2;19,1;33;31,6;20,8;19,1;51;46;46;3;5,5;1,7;
2026/01/02;1600 UTC;;983,3;984,3;983,3;1177,5;33;18,8;33,1;32;19,5;18,6;46;43;43;289;4;1,2;
2026/01/02;1700 UTC;;982,4;983,3;982,4;1125,4;33,2;18,8;33,6;32,5;19,6;18,3;45;42;43;353;4,7;2,3;
2026/01/02;1800 UTC;;981,3;982,4;981,3;1072,5;34,7;18,9;34,7;32,9;19,2;18,1;44;39;39;335;4,1;1,7;
2026/01/02;1900 UTC;;980,7;981,3;980,6;1088;34;18,3;34,9;34;19,2;17,6;41;37;40;309;5,3;2,1;
2026/01/02;2000 UTC;;980,4;980,7;980,4;428,9;32,4;20,7;34,1;32,4;20,7;18,5;50;40;50;311;5,9;2,1;
2026/01/02;2100 UTC;;980,7;980,7;980,4;155,5;30,6;22,1;32,4;30,6;22,1;20,7;60;50;60;288;6,3;1,5;
2026/01/02;2200 UTC;;981,4;981,4;980,7;;29,6;22,3;30,6;29,6;22,3;21,9;65;60;65;254;3,3;1,7;
2026/01/02;2300 UTC;;981,8;981,8;981,4;;28,7;22,3;29,6;28,7;22,5;22,3;68;65;68;264;4,8;,8;
2026/01/03;0000 UTC;;982,6;982,6;981,8;;27,2;22,8;28,7;27,2;23,1;22,1;78;68;77;6;1,8;,5;
2026/01/03;0100 UTC;;983;983;982,6;;26,1;23,1;27,2;26,1;23,6;22,7;84;77;84;174;1,1;,5;
2026/01/03;0200 UTC;;983;983;982,9;;26,2;24,3;26,5;25,9;24,4;23,2;89;84;89;171;2;1,3;
2026/01/03;0300 UTC;;983;983,1;982,9;;25,6;24,6;26,2;25,3;24,7;23,7;94;89;94;184;2,8;1,6;
2026/01/03;0400 UTC;;983,1;983,1;982,9;;25,3;;25,6;24,9;25,1;24,3;100;94;;210;2,8;,9;
2026/01/03;0500 UTC;;983,2;983,4;983,1;;24,8;;25,6;24,8;;;;;;29;1,5;,9;
2026/01/03;0600 UTC;;982,9;983,3;982,9;;25;;25,4;24,7;;;;;;82;1,8;,9;
2026/01/03;0700 UTC;;983,1;983,1;982,9;;24,5;;25;24,4;;;;;;345;2;,6;
2026/01/03;0800 UTC;;983,8;983,9;983,1;;24,7;;24,8;24,2;;;;;;26;2,8;1,6;
2026/01/03;0900 UTC;;984,7;984,7;983,8;23,2;25,3;23,7;25,3;24,6;;;;;91;99;2,8;1;
2026/01/03;1000 UTC;;985,1;985,2;984,6;212,3;26,1;20,6;26,5;25,3;23,5;20,6;91;71;72;48;4,4;2,6;
2026/01/03;1100 UTC;;985,9;985,9;985,1;373,7;27,3;19,9;27,3;26,1;20,6;19,6;72;64;64;26;6,3;2,9;
2026/01/03;1200 UTC;;986,1;986,2;985,8;634,6;28,4;19;28,5;27,3;20,1;18,8;64;56;57;46;6,6;3,1;
2026/01/03;1300 UTC;;986,2;986,3;986,1;922,9;30,2;18,7;30,2;28,3;19,3;18,4;57;50;50;25;6,2;2,1;
2026/01/03;1400 UTC;;985,6;986,2;985,6;1159,2;31,9;18,6;31,9;29,9;18,9;18,1;51;44;45;31;4,9;1,9;
2026/01/03;1500 UTC;;985;985,6;985;1061,5;32;17,2;32,7;31,5;18,6;17,2;46;41;41;36;5,8;1,4;
2026/01/03;1600 UTC;;984,4;985;984,4;1490,8;33,2;18;33,9;32,1;18,3;17;42;38;40;350;4,3;1,3;
2026/01/03;1700 UTC;;983,5;984,4;983,5;929,7;33,7;19;33,8;32,2;19,7;17;46;38;42;245;5,2;1,9;
2026/01/03;1800 UTC;;982,7;983,5;982,7;820,4;33,1;18;34,2;32,8;19,6;18;43;41;41;268;4,4;1,2;
2026/01/03;1900 UTC;;982,5;982,8;982,5;490,8;30,8;21,3;33,1;30,4;21,5;18,3;57;41;57;231;7,1;3;
2026/01/03;2000 UTC;;982,7;982,7;982,2;662,8;31,2;21,4;32;30,8;21,8;21,1;57;53;56;237;6,3;2,9;
2026/01/03;2100 UTC;;982,9;982,9;982,6;137,7;30,1;21,5;31,3;30,1;21,7;21,3;60;56;60;234;6,3;2,3;
2026/01/03;2200 UTC;;983,5;983,5;982,9;;29,1;22,7;30,1;29,1;22,7;21,6;69;60;69;222;5,7;1,9;
2026/01/03;2300 UTC;;984,5;984,5;983,5;;28;23,4;29,1;28;23,4;22,7;76;69;76;270;3,9;,8;
2026/01/04;0000 UTC;;985,5;985,5;984,5;;27;23,6;28;27;23,6;21,9;82;72;82;212;3,4;1,7;
2026/01/04;0100 UTC;;985,8;985,9;985,5;;26,5;24,5;27;26,5;24,6;23,6;89;82;88;174;3,7;1,4;
2026/01/04;0200 UTC;;986,1;986,1;985,8;;26;23,3;26,6;26;24,5;23,3;88;85;85;185;4;1,2;
2026/01/04;0300 UTC;;985,5;986,1;985,5;;25,6;22,6;26,1;25,5;23,3;22,6;86;83;83;210;2,7;1,2;
2026/01/04;0400 UTC;;985;985,5;985;;24,7;22,9;25,7;24,7;23;22,4;89;83;89;2;2,4;,7;
2026/01/04;0500 UTC;;984,9;985;984,8;;24,7;23,3;25,1;24,6;24;22,9;96;89;92;58;2,6;1,5;
2026/01/04;0600 UTC;;984,5;984,9;984,2;;24,6;22,7;24,8;24,6;23,3;22,6;92;88;89;80;3;,8;
2026/01/04;0700 UTC;;984,5;984,7;984,4;;24,3;24,3;24,6;24,1;24,3;22,8;100;89;100;32;2,4;1,4;
2026/01/04;0800 UTC;;984,9;984,9;984,4;;24,5;;24,5;24,3;;;;;;27;2,5;1;
2026/01/04;0900 UTC;;985,5;985,5;984,9;1,1;24,8;;24,8;24,5;;;;;;86;1,9;1;
2026/01/04;1000 UTC;;986;986;985,5;116,2;25,5;25,4;25,5;24,7;;;;;100;92;2;1;
2026/01/04;1100 UTC;;986,4;986,4;985,9;511,4;27,8;22,3;27,8;25,5;25,5;21,6;100;71;72;24;5,1;2;
2026/01/04;1200 UTC;;986,9;986,9;986,4;509,9;27,8;19,1;27,8;27,3;22;18,9;72;59;59;68;5,4;2,3;
2026/01/04;1300 UTC;;986,7;986,9;986,7;831;29,4;19,8;29,4;27,8;20,1;19,2;61;56;56;132;4,2;,7;
2026/01/04;1400 UTC;;985,9;986,7;985,9;2136,7;32;20,2;32,5;29,4;20,6;19,5;57;49;50;71;3,3;1,8;
2026/01/04;1500 UTC;;985;985,9;985;2443,2;33,4;19,2;33,9;31,9;20,2;19,1;50;43;43;53;4,8;2,2;
2026/01/04;1600 UTC;;984,1;985;984,1;1628,3;34,9;18,9;34,9;32,9;19,5;18,4;43;39;39;141;4,9;1,7;
2026/01/04;1700 UTC;;983,2;984,1;983,2;1556,5;34,8;17;35,3;33,7;19,3;17;41;35;35;71;4,3;1,1;
2026/01/04;1800 UTC;;982,3;983,2;982,3;1384,6;35,1;15,1;36,8;34,8;18,5;14,6;35;29;30;259;5,8;,9;
2026/01/04;1900 UTC;;981,9;982,3;981,8;611,9;34,3;18,6;35,4;34;19,2;14,5;41;29;39;243;3,4;1;
2026/01/04;2000 UTC;;981,9;982;981,7;558,9;32,7;20,4;34,3;31,6;21,3;18,9;52;39;48;273;6,9;2,2;
2026/01/04;2100 UTC;;982,7;982,7;981,9;148,1;31;19,4;32,7;31;20,3;19,3;50;48;50;260;5,2;,9;
2026/01/04;2200 UTC;;983,4;983,4;982,7;;29,5;19,9;31,1;29,5;20,2;19,4;56;50;56;233;2,3;,9;
2026/01/04;2300 UTC;;984,2;984,2;983,4;;28,9;20;30,2;28,9;20,4;19,9;59;56;59;177;1,4;,9;
2026/01/05;0000 UTC;;984,6;984,6;984,2;;27,6;20,4;29,4;27,6;20,9;20,1;65;59;65;140;1,4;,7;
2026/01/05;0100 UTC;;984,9;984,9;984,5;;26,9;20,7;27,8;26,4;21,2;20,4;72;65;69;57;2,1;1,1;
2026/01/05;0200 UTC;;984,9;984,9;984,8;;25,5;20,4;27,3;25,5;20,9;20,2;74;67;74;191;2,6;,5;
2026/01/05;0300 UTC;;984,6;985;984,6;;25,1;20,8;25,8;25;21,3;20,3;77;74;77;165;2,1;1,7;
2026/01/05;0400 UTC;;983,9;984,6;983,9;;23,7;21,4;25,1;23,6;21,4;20,4;87;77;87;343;2,1;,8;
2026/01/05;0500 UTC;;984,1;984,1;983,8;;22,8;22,1;23,8;22,8;22,6;21,1;96;86;96;70;1,4;,7;
2026/01/05;0600 UTC;;984,1;984,1;984;;23,7;21,7;24,1;22,8;22,8;21,7;100;88;89;84;1,8;,8;
2026/01/05;0700 UTC;;984,5;984,5;984;;22,2;21,3;23,8;22,2;22,4;21,2;96;89;95;191;2,4;,6;
2026/01/05;0800 UTC;;985,1;985,1;984,5;;21,8;;22,2;21;;;;;;54;2,6;1;
2026/01/05;0900 UTC;;986,1;986,1;985,1;17,6;22,9;19,5;23;21,7;;;;;81;89;3,4;1,9;
2026/01/05;1000 UTC;;986,5;986,5;986,1;356,7;26;19,2;26,1;22,9;19,6;18,7;81;66;66;64;6,1;2;
2026/01/05;1100 UTC;;986,7;986,8;986,5;904,9;28;19,5;28,1;26;19,7;19,1;66;60;60;50;8,9;4,2;
2026/01/05;1200 UTC;;986,9;986,9;986,7;1439,7;29,8;18,5;29,9;28;19,7;18,4;60;51;51;58;8,9;3,7;
2026/01/05;1300 UTC;;986,3;986,9;986,3;1864,3;31,3;17,9;31,7;29,6;18,7;17,4;51;44;45;64;7,8;2,7;
2026/01/05;1400 UTC;;985,6;986,4;985,5;2177;31,6;17,9;32,6;31,3;18,3;17,3;45;41;44;40;7,1;3,3;
2026/01/05;1500 UTC;;984,7;985,6;984,7;1765,8;32,4;17,6;33,5;31,6;18,3;17;44;39;41;90;6,7;2,6;
2026/01/05;1600 UTC;;983,4;984,7;983,4;2249,6;34,2;16,6;34,7;32,4;18,3;16,5;41;35;35;87;5,8;2,2;
2026/01/05;1700 UTC;;982,2;983,4;982,2;2078,7;35,2;16,5;36,1;34;17,2;16;36;32;33;81;6,5;2,4;
2026/01/05;1800 UTC;;981;982,2;981;1723;36,4;15,9;36,6;35,2;16,8;15,6;33;30;30;99;5,7;1,6;
2026/01/05;1900 UTC;;980,5;981;980,4;844,8;36,2;14,1;36,6;35,1;16,6;14,1;31;27;27;89;6,7;1,9;
2026/01/05;2000 UTC;;980,4;980,5;980,3;752,2;36;14,3;36,5;36;14,9;13,4;28;25;28;38;6,1;2,2;
2026/01/05;2100 UTC;;981;981;980,4;182,1;34,3;14,1;36;34,3;14,4;13,6;30;27;30;74;4,8;,6;
2026/01/05;2200 UTC;;981,4;981,4;981;;32,5;13,7;34,3;32;14,3;13,5;34;30;32;76;2,6;1,4;
2026/01/05;2300 UTC;;982,3;982,3;981,4;;29,6;14,5;32,4;29,6;14,9;13,7;40;32;40;38;4;,8;
2026/01/06;0000 UTC;;982,9;982,9;982,3;;27,4;14,9;30,1;27,4;15,4;14,1;46;38;46;221;1,6;1;
2026/01/06;0100 UTC;;983,5;983,6;982,9;;28;16,6;28,5;27,1;16,8;14,7;51;45;50;233;3,2;1,2;
2026/01/06;0200 UTC;;983,9;983,9;983,5;;26,3;18,2;28,5;26,3;18,2;16,3;61;50;61;199;2,6;,3;
2026/01/06;0300 UTC;;983,8;983,9;983,8;;26,6;19,8;27,5;26,4;19,8;18,2;66;60;66;257;2,1;1;
2026/01/06;0400 UTC;;983,3;983,8;983,3;;26,5;19,7;27,1;26,5;20,5;19,7;67;66;66;204;2,7;1,1;
2026/01/06;0500 UTC;;983,3;983,5;983,3;;26,2;19,8;26,9;26,2;20,1;19,7;68;66;68;201;2,5;,7;
