REGIAO:;NE
UF:;PI
ESTACAO:;CANTO DO BURITI
CODIGO (WMO):;A365
LATITUDE:;-8,11805554
LONGITUDE:;-42,97583332
ALTITUDE:;312,07
DATA DE FUNDACAO:;12/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;977,1;977,3;976,9;;23,6;21,1;25,2;23,6;21,7;21;86;80;86;287;2,4;1,6;
2026/01/01;0100 UTC;0;978;978;977,1;;24,6;21,4;24,7;23,5;21,9;21,1;88;82;82;350;2,4;,8;
2026/01/01;0200 UTC;0;977,6;978;977,6;;24;21,3;24,7;23,5;21,6;20,9;86;82;84;304;1,9;1,6;
2026/01/01;0300 UTC;0;977;977,6;977;;24;21,2;24,4;23,5;21,5;21;86;83;84;285;2;,5;
2026/01/01;0400 UTC;0;976,7;977,1;976,7;;23,7;21,6;24,4;23,6;21,7;21,2;88;84;88;134;2,7;1,3;
2026/01/01;0500 UTC;0;975,8;976,7;975,8;;23,1;21,5;23,7;22,9;21,8;21,2;92;88;91;320;2,1;,7;
2026/01/01;0600 UTC;0;976;976;975,5;;23,3;21,9;23,4;22,8;22,1;21,3;93;91;92;120;2,4;1,5;
2026/01/01;0700 UTC;0;975,8;976,4;975,8;;23,3;21,8;23,6;23,2;22;21,7;92;90;92;276;2,6;,3;
2026/01/01;0800 UTC;0;976;976;975,6;;23,3;22;23,3;23;22;21,8;93;92;93;197;2,3;1,2;
2026/01/01;0900 UTC;0;976,2;976,3;975,9;20,5;23,4;21,9;23,5;23,1;22,1;21,9;93;91;92;277;2,2;,5;
2026/01/01;1000 UTC;0;977;977;976,2;314,3;25,3;22,2;25,3;23,4;22,3;21,9;92;83;83;66;1,3;,5;
2026/01/01;1100 UTC;0;977,8;977,8;977;716,5;25,8;21,7;26,2;25;22,2;21,3;83;77;78;83;2,2;,8;
2026/01/01;1200 UTC;0;978,6;978,6;977,8;1101,1;27,9;21,5;27,9;25,6;22,3;21,3;79;68;68;244;2,3;1,1;
2026/01/01;1300 UTC;0;978,1;978,7;978,1;1494,3;29,1;21,6;29,1;27;22;21;71;64;64;17;3,4;1,2;
2026/01/01;1400 UTC;0;977,4;978,1;977,4;2913,7;30,5;20,6;31,3;29,1;21,8;20,5;64;54;55;352;5,5;2,6;
2026/01/01;1500 UTC;0;976,8;977,4;976,8;1430,4;30,6;21,3;31,4;29,9;21,9;20,4;59;54;58;359;5,9;2,7;
2026/01/01;1600 UTC;0;975,9;976,8;975,9;1346,9;31;22,1;32,3;29,8;22,2;20,8;63;52;59;352;9,6;3,9;
2026/01/01;1700 UTC;0;975,1;975,9;975,1;2601,3;31,9;21,6;33;30,5;22,6;20,9;59;53;55;328;10,9;5,2;
2026/01/01;1800 UTC;0;974,4;975,1;974,4;2774,9;32,1;21;32,7;31,4;21,8;20,7;55;51;52;320;10,6;5,8;
2026/01/01;1900 UTC;0;973,9;974,4;973,9;2031,1;31,5;21;32,7;31,1;21,4;20,4;54;50;54;311;10,5;5,2;
2026/01/01;2000 UTC;0;974,4;974,4;973,8;1216,8;30,4;20,8;31,8;30,4;21,2;20,4;57;52;57;317;10,5;4,6;
2026/01/01;2100 UTC;0;974,4;974,5;974,1;324,4;28,5;20,9;30,7;28,5;21;20,3;64;56;64;312;8,3;5,4;
2026/01/01;2200 UTC;0;974,8;975;974,4;2,6;27;21,2;28,5;26,9;21,2;20,9;71;64;71;303;8,3;4,2;
2026/01/01;2300 UTC;0;975,2;975,2;974,8;;26,3;21,3;27,1;25,8;21,4;21,2;75;71;74;292;6,8;2,5;
2026/01/02;0000 UTC;0;976;976;975,2;;25,1;21,4;26,3;25,1;21,5;21,1;80;74;80;267;4,4;2,2;
2026/01/02;0100 UTC;0;976,1;976,3;975,8;;24,2;21,4;25,1;24,2;21,7;21,3;84;80;84;270;3,7;1,2;
2026/01/02;0200 UTC;0;976;976,3;976;;23,3;21,1;24,5;23,3;21,7;21,1;87;84;87;277;3;1,4;
2026/01/02;0300 UTC;0;975,6;976;975,6;;23,3;21,1;24;23,3;21,6;21,1;88;86;87;228;2,1;1;
2026/01/02;0400 UTC;0;974,7;975,6;974,7;;22,7;21,2;23,3;22,6;21,3;20,9;91;87;91;247;1,8;1,1;
2026/01/02;0500 UTC;0;974,7;974,8;974,5;;22,7;21;22,8;22,2;21,4;20,8;93;90;90;111;2,1;1,2;
2026/01/02;0600 UTC;0;974,3;974,7;974,3;;22,9;20,9;23,2;22,6;21,1;20,9;90;87;89;108;2,4;1,1;
2026/01/02;0700 UTC;0;974,3;974,3;974;;22,5;20,8;23,2;22,5;21,1;20,6;90;87;90;126;2;1,5;
2026/01/02;0800 UTC;0;974,6;974,7;974,2;;22,4;20,8;22,6;22,3;20,9;20,7;91;90;91;84;2,1;1,3;
2026/01/02;0900 UTC;0;974,9;974,9;974,5;16,3;22,4;21;22,6;21,8;21;20,2;92;90;91;345;1,8;,5;
2026/01/02;1000 UTC;0;975,7;975,7;974,7;245,1;23,8;21,5;23,8;22,4;21,5;20,9;91;87;87;342;2,2;,9;
2026/01/02;1100 UTC;0;976,4;976,4;975,7;674,8;25,5;20,9;25,5;23,8;21,5;20,7;87;76;76;352;3,2;1,3;
2026/01/02;1200 UTC;0;976,8;976,8;976,4;1476,4;28,2;20,7;28,3;25,5;21,3;20,1;77;63;64;22;4,9;1,8;
2026/01/02;1300 UTC;0;976,6;976,8;976,6;2167,9;29,6;20,6;29,6;28,2;20,9;20,2;64;59;59;47;4,9;2,5;
2026/01/02;1400 UTC;0;976;976,6;976;1495,5;29,4;20,4;30,6;29,4;21;20,1;59;55;58;316;5,1;2,7;
2026/01/02;1500 UTC;0;975,6;976;975,6;1569,3;31,6;20,8;32,2;29,3;21,6;20,2;61;52;53;314;6,5;3;
2026/01/02;1600 UTC;0;974,5;975,7;974,5;2307,6;32,2;20,4;32,9;30,9;21,3;19,4;54;47;50;290;6,6;1,4;
2026/01/02;1700 UTC;0;973,1;974,5;973,1;2153,5;33,6;19,3;34;31,1;21,2;19,2;53;43;43;291;6;2,6;
2026/01/02;1800 UTC;0;972,3;973,1;972,2;694,6;32,3;19,6;33,6;31,8;20,4;19,2;50;43;47;338;6;2,4;
2026/01/02;1900 UTC;0;972;972,4;971,9;621,8;29,6;20,7;32,3;27,9;21,5;19,6;66;47;59;334;9,6;4,1;
2026/01/02;2000 UTC;0;972,2;972,4;971,8;780,7;29,6;19,6;29,9;28,4;20,4;19,3;60;54;55;335;8,5;3,1;
2026/01/02;2100 UTC;0;972,6;972,7;972,2;253,4;28,2;20,6;29,6;28,2;20,6;19,3;64;55;64;353;8;3,2;
2026/01/02;2200 UTC;0;972,8;972,8;972,6;2,1;26,7;21,4;28,2;26,7;21,4;20,7;72;64;72;332;6;1,5;
2026/01/02;2300 UTC;0;973,5;973,5;972,7;;26;21,7;26,7;25,8;21,8;21,4;78;72;77;330;3,4;,8;
2026/01/03;0000 UTC;0;974,4;974,4;973,5;;25,4;22;26,3;25,2;22;21,5;81;75;81;336;2,6;1,4;
2026/01/03;0100 UTC;0;974,7;974,8;974,3;;25,3;22,1;25,7;24,5;22,2;21,5;84;80;83;327;2,8;1,1;
2026/01/03;0200 UTC;0;974,6;975;974,6;;24,6;22;25,3;24,6;22,3;21,9;85;82;85;255;1,6;1,1;
2026/01/03;0300 UTC;0;974,1;974,6;974,1;;24,6;22;24,9;24,5;22,2;21,9;86;84;85;307;1,9;1,1;
2026/01/03;0400 UTC;0;973,8;974,2;973,8;;24,4;21,9;24,9;24,4;22,1;21,8;86;84;86;253;1,9;,9;
2026/01/03;0500 UTC;0;973,8;974;973,8;;24,2;21,7;24,4;24;22;21,7;87;86;86;189;1,8;,3;
