REGIAO:;NE
UF:;PI
ESTACAO:;CORRENTE
CODIGO (WMO):;A374
LATITUDE:;-10,42916666
LONGITUDE:;-45,17305554
ALTITUDE:;452
DATA DE FUNDACAO:;28/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;27,2;22,2;27,8;27,2;;;74;71;74;;;;
2026/01/01;0100 UTC;0;961,2;961,4;961,2;;26,3;21,9;27,2;26,3;22,2;21,9;77;74;77;297;3,4;2;
2026/01/01;0200 UTC;;;;;;25,6;21,6;26,3;25,6;;;79;77;79;;;;
2026/01/01;0300 UTC;0;961,1;961,3;960,9;;25;21,3;25,6;25;21,6;21,2;80;79;80;224;3,4;,7;
2026/01/01;0400 UTC;0;960,9;961,1;960,8;;24,5;21,2;25;24,5;21,4;21,2;82;80;82;160;2,4;,3;
2026/01/01;0500 UTC;0;960,3;960,9;960,3;;24,3;21,4;24,5;24,3;21,4;21,1;84;82;84;209;2;,5;
2026/01/01;0600 UTC;0;959,6;960,3;959,4;;23,8;21,1;24,3;23,8;21,4;21,1;85;84;85;82;2;,4;
2026/01/01;0700 UTC;0;959,6;959,7;959,5;;23,4;20,9;23,8;23,4;21,1;20,8;86;85;86;330;1,6;,9;
2026/01/01;0800 UTC;0;959,6;959,7;959,4;;23,4;21,1;23,5;23,4;21,2;20,9;87;86;87;78;1,7;,4;
2026/01/01;0900 UTC;0;960,4;960,4;959,6;6,3;23,6;21,4;23,6;23,4;21,4;21,1;88;87;88;88;1,1;,8;
2026/01/01;1000 UTC;0;961,1;961,2;960,4;283,1;25,1;23;25,1;23,6;23;21,4;89;88;88;122;2;1,1;
2026/01/01;1100 UTC;0;961,7;961,7;961,1;801,5;26,2;23,8;26,3;25,1;24;23;88;87;87;117;4;2,8;
2026/01/01;1200 UTC;0;962,3;962,4;961,7;1172,4;26,5;24;26,5;26,1;24;23,6;87;86;86;82;4,9;2,3;
2026/01/01;1300 UTC;0;962,5;962,6;962,3;1742,4;28;25;28;26,5;25;24;86;84;84;59;4,5;2,2;
2026/01/01;1400 UTC;0;962,1;962,6;962;2594,6;28,7;24,8;29,3;28;25,7;24,8;84;79;79;75;6,1;2,4;
2026/01/01;1500 UTC;0;962,2;962,2;962;1293,2;26,2;22,4;28,8;26,2;24,9;22,4;80;78;79;68;9,1;3;
2026/01/01;1600 UTC;8,2;960,8;962,5;960,8;220,2;23,8;20,8;26,2;23,8;22,4;20,7;83;79;83;317;6,1;1,1;
2026/01/01;1700 UTC;0;959,7;960,8;959,7;611,4;25;22,6;25;23,8;22,6;20,8;86;83;86;295;4,1;2,6;
2026/01/01;1800 UTC;0;959,2;959,7;959;1232,4;25,9;23,3;25,9;25;23,3;22,6;87;86;86;289;4,8;3,4;
2026/01/01;1900 UTC;0;958,2;959,3;958,2;1524,7;26,4;23,3;26,5;25,9;23,7;23,2;86;83;83;301;5,6;3,2;
2026/01/01;2000 UTC;0;957,9;958,4;957,9;1009,7;26,7;23;26,9;26,3;23,4;23;83;80;81;302;5,7;2,2;
2026/01/01;2100 UTC;,2;958,4;958,6;957,8;245,1;26,3;22,9;26,7;26,3;23;22,8;82;80;82;338;4;,6;
2026/01/01;2200 UTC;0;958,9;958,9;958,4;15,3;25;22;26,3;25;22,9;22;83;82;83;16;2,1;,7;
2026/01/01;2300 UTC;0;959,6;959,6;958,9;;24,2;21,7;25;24,2;22;21,6;86;83;86;329;1,5;1;
2026/01/02;0000 UTC;0;960,5;960,5;959,6;;23,9;21,6;24,2;23,9;21,8;21,6;87;85;87;355;2,3;1;
2026/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0200 UTC;0;960;960,4;960;;23,3;21,3;23,8;23,3;21,7;21,3;88;88;88;332;2,6;,9;
2026/01/02;0300 UTC;;959,8;960,2;959,8;;23,3;21,3;23,4;23,2;21,5;21,2;89;88;89;320;1,9;,7;
2026/01/02;0400 UTC;0;959,1;959,8;959,1;;22,9;21;23,3;22,9;21,3;21;90;89;90;351;2,2;1,1;
2026/01/02;0500 UTC;0;958,2;959,1;958,2;;22,7;21;22,9;22,7;21,2;21;90;89;90;290;2,5;,4;
2026/01/02;0600 UTC;0;958,4;958,5;958,2;;22,5;20,8;22,8;22,5;21,1;20,8;90;90;90;83;1,6;,4;
2026/01/02;0700 UTC;;958,3;958,5;958,2;;22,5;20,8;22,6;22,4;21;20,7;91;90;90;;;,4;
2026/01/02;0800 UTC;0;958,5;958,5;958,2;;22,5;21;22,5;22,3;21;20,7;91;90;91;208;2;,6;
2026/01/02;0900 UTC;0;958,8;958,8;958,3;14;21,8;20,3;22,5;21,8;21;20,3;91;91;91;90;1,1;,7;
2026/01/02;1000 UTC;0;959,9;959,9;958,8;264,4;23,4;22;23,4;21,8;22;20,3;92;91;92;96;2,5;1,5;
2026/01/02;1100 UTC;0;960;960;959,8;1144,1;26;24,7;26;23,4;24,7;22;92;92;92;52;3,4;,9;
2026/01/02;1200 UTC;0;960,3;960,4;960;2066,9;27,8;25,8;27,8;26;26;24,6;92;89;89;277;2,9;1;
2026/01/02;1300 UTC;0;960,6;960,7;960,3;2659,3;29,3;26;29,5;27,8;26,7;25,8;90;82;82;153;2,8;1,1;
2026/01/02;1400 UTC;0;959,9;960,6;959,9;3024,9;30;25,9;30,2;29,3;26,7;25,5;83;77;79;307;3,7;1,7;
2026/01/02;1500 UTC;0;959,3;959,9;959,2;1318,9;27,6;22,5;30,6;27,5;26,1;22,4;79;73;74;342;6,1;2;
2026/01/02;1600 UTC;0;958,1;959,3;958,1;1779,4;27,8;23,4;29,1;27,5;23,7;22,5;77;72;77;20;5,8;1,7;
2026/01/02;1700 UTC;0;957,3;958,2;957,2;3592,8;30,3;24,5;30,3;27,8;25,1;23,5;78;70;71;313;6,3;2,4;
2026/01/02;1800 UTC;0;955,2;957,3;955,2;2962;30,9;24,4;31,2;30,3;25;24,1;71;68;68;300;7,6;3,6;
2026/01/02;1900 UTC;0;954,7;955,2;954,3;1971,4;30,7;23,4;30,9;30,6;24,3;23,4;68;65;65;292;6,4;2,9;
2026/01/02;2000 UTC;0;955,4;955,5;954,7;886,1;30,6;23,3;30,7;30,2;23,5;22,8;66;64;65;252;5,2;1,4;
2026/01/02;2100 UTC;0;956,1;956,1;955,4;275,3;29,1;21,9;30,6;29,1;23,3;21,9;67;64;65;341;6,3;2,8;
2026/01/02;2200 UTC;0;956,7;956,7;956,2;15,4;26,5;21;29,1;26,5;21,8;20,4;72;65;72;235;6,3;,8;
2026/01/02;2300 UTC;;;;;;25,6;21,4;26,5;25,6;;;77;72;77;;;;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;1,8;959,3;959,5;958,8;;24,9;21,6;25,5;24,9;22,1;21,6;82;81;82;286;5,3;3,3;
