REGIAO:;NE
UF:;RN
ESTACAO:;MACAU
CODIGO (WMO):;A317
LATITUDE:;-5,15111111
LONGITUDE:;-36,57305554
ALTITUDE:;17,37
DATA DE FUNDACAO:;06/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;1300 UTC;;1011,3;;;1738,3;31,7;20,3;;;;;;;51;41;;6,5;
2026/01/01;1400 UTC;;1011;1011,3;1011;3195,5;32,6;18,4;33,2;31,7;20,6;18,3;51;42;43;44;11,5;7,6;
2026/01/01;1500 UTC;;1010,3;1011;1010,3;3349,2;31,9;20,2;33,3;31,7;20,2;17,1;50;39;50;49;12,7;8;
2026/01/01;1600 UTC;;1009,6;1010,3;1009,6;3298,9;32,5;19,5;32,9;31,9;20,8;18,8;50;44;46;42;12,2;8,2;
2026/01/01;1700 UTC;;1008,7;1009,6;1008,7;2899,5;31,4;20,3;32,7;31,4;20,9;18,8;53;44;52;43;12,3;8,1;
2026/01/01;1800 UTC;;1008,4;1008,7;1008,3;2366,1;31,1;20,9;32,3;31;21;18,3;55;44;55;38;11,9;7,7;
2026/01/01;1900 UTC;;1008,3;1008,4;1008,2;1557,3;30;20,6;31,2;30;21,3;19,9;57;52;57;44;12,1;7,9;
2026/01/01;2000 UTC;;1008,8;1008,8;1008,3;757,4;28,8;21,6;30,2;28,8;21,6;20,1;65;56;65;51;10,9;6,2;
2026/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0100 UTC;;1010,2;;;8,4;26,4;21,6;;;;;;;75;;;;
2026/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;1100 UTC;;1010,8;;;406,4;28,8;21;;;;;;;63;79;;5;
2026/01/02;1200 UTC;;1010,8;1010,8;1010,7;1987,3;30,1;20,1;30,5;28,6;21,2;19,8;63;54;55;85;9,3;5;
2026/01/02;1300 UTC;;1010,6;1010,8;1010,4;2905,4;31,1;21;31,5;30,1;21;19,6;55;51;55;58;11,3;6,7;
2026/01/02;1400 UTC;;1010,1;1010,7;1010,1;3214,1;32,1;20,8;32,5;30,8;21,5;20;56;50;51;41;11,3;7,2;
2026/01/02;1500 UTC;;1009,5;1010,1;1009,5;3409,4;32,2;21,2;32,4;31,2;21,3;19,7;54;50;52;46;12,3;8,3;
2026/01/02;1600 UTC;;1008,8;1009,5;1008,7;3324,6;31,5;21,1;32,4;31,3;21,8;19,8;55;49;54;43;12,6;8;
2026/01/02;1700 UTC;;1007,8;1008,8;1007,8;2849,6;31,2;20,8;32,4;31,1;21,7;19,7;56;49;54;42;12;8,2;
2026/01/02;1800 UTC;;1007,3;1007,8;1007,3;1996,4;30,7;21,1;31,5;30,1;21,4;20,1;58;52;57;43;12,8;8,2;
2026/01/02;1900 UTC;;1007,1;1007,3;1007,1;1560,8;29,8;21,6;30,7;29,8;21,7;20,7;61;56;61;49;11,9;7,2;
2026/01/02;2000 UTC;;1007,4;1007,4;1007;770,6;28,7;21,9;29,9;28,7;22;21,4;67;61;67;52;12;6,7;
2026/01/02;2100 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2026/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
