REGIAO:;N
UF:;AC
ESTACAO:;EPITACIOLANDIA
CODIGO (WMO):;A140
LATITUDE:;-11,02388888
LONGITUDE:;-68,73527777
ALTITUDE:;224,5
DATA DE FUNDACAO:;25/09/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;;985,8;985,8;985,4;;23,8;;23,8;23,5;;;;;;104;5,7;,5;
2026/01/01;0200 UTC;;986,8;986,8;985,8;;23,9;;24,1;23,7;;;;;;340;2;,5;
2026/01/01;0300 UTC;;987,2;987,3;986,7;;23,6;;23,9;23,6;;;;;;20;1,2;,3;
2026/01/01;0400 UTC;;986,8;987,2;986,8;;23,7;;23,8;23,4;;;;;;60;1,4;,5;
2026/01/01;0500 UTC;;986,4;986,9;986,4;;23,9;;23,9;23,7;;;;;;126;1,6;,3;
2026/01/01;0600 UTC;;985,9;986,4;985,9;;23,7;;23,9;23,7;;;;;;9;,9;,2;
2026/01/01;0700 UTC;;985,3;985,9;985,3;;23,6;;23,8;23,5;;;;;;132;,7;,4;
2026/01/01;0800 UTC;;985,2;985,4;985,2;;23,5;;23,6;23,3;;;;;;295;,8;,5;
2026/01/01;0900 UTC;;985,2;985,3;985,1;;23,4;;23,6;23,3;;;;;;63;,8;,1;
2026/01/01;1000 UTC;;986;986;985,2;;23,3;;23,4;23,2;;;;;;37;,7;,3;
2026/01/01;1100 UTC;;986,6;986,6;986;64,5;23,8;;23,8;23,3;;;;;;74;1,1;,5;
2026/01/01;1200 UTC;;987,1;987,1;986,6;818,6;25,8;;25,8;23,8;;;;;;344;2,2;,7;
2026/01/01;1300 UTC;;987,7;987,7;987,1;1003,8;26,4;;26,4;25,5;;;;;;333;2,6;,9;
