REGIAO:;N
UF:;AM
ESTACAO:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10333333
LONGITUDE:;-60,01638888
ALTITUDE:;61,25
DATA DE FUNDACAO:;09/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1005,2;1005,2;1004,8;0;26,6;22,9;27,2;26,6;23,3;22,9;80;78;80;59;5;1,9;
2026/01/01;0100 UTC;0;1006,1;1006,1;1005,1;0;26;22,8;26,6;26;23;22,8;82;80;82;65;3,8;1,2;
2026/01/01;0200 UTC;0;1006,6;1006,6;1006,1;0;26;22,5;26,1;25,9;22,8;22,5;82;81;81;61;3,8;1,6;
2026/01/01;0300 UTC;0;1006,4;1006,7;1006,4;0;25,9;22,5;26;25,8;22,5;22,4;82;81;81;58;3,8;1,7;
2026/01/01;0400 UTC;0;1006,2;1006,5;1006,2;0;25,6;22,7;25,9;25,4;22,7;22,5;85;81;84;78;3,3;,8;
2026/01/01;0500 UTC;0;1005,1;1006,2;1005,1;0;25,1;22,8;25,6;24,7;22,9;22,5;89;84;87;60;1,7;1;
2026/01/01;0600 UTC;0;1004,6;1005,1;1004,6;0;25,2;22,8;25,4;25,1;22,9;22,7;87;85;87;48;2,7;1,4;
2026/01/01;0700 UTC;0;1004,4;1004,6;1004,4;0;25,1;22,8;25,2;25;22,8;22,8;87;86;87;53;2,3;1;
2026/01/01;0800 UTC;0;1004,3;1004,4;1004,1;0;24,7;22,7;25,2;24,7;22,8;22,6;89;86;89;53;2,1;1;
2026/01/01;0900 UTC;0;1004,4;1004,4;1004,2;0;24,1;22,5;24,7;24,1;22,8;22,5;91;89;91;70;1,9;,7;
2026/01/01;1000 UTC;0;1005;1005;1004,4;1,7;23,9;22,5;24,4;23,9;22,7;22,4;92;90;92;78;1,6;,6;
2026/01/01;1100 UTC;0;1005,9;1005,9;1005;196,7;26,2;22,5;26,2;23,9;22,9;22,4;92;80;80;52;1,6;1;
2026/01/01;1200 UTC;0;1006,4;1006,5;1005,9;1102,9;29;23,5;29,3;26,2;24;22,7;82;70;72;38;2,9;1;
2026/01/01;1300 UTC;0;1006,8;1006,8;1006,4;1910;30,2;23,2;30,6;28,7;24,4;22,8;74;65;66;38;5;2,4;
2026/01/01;1400 UTC;0;1006,9;1007;1006,8;2607,7;31,4;23,5;31,8;30,1;24,4;23;68;62;63;68;5,6;2,8;
2026/01/01;1500 UTC;0;1006,5;1006,9;1006,5;2086,7;30,6;23,1;32,1;30,2;24,8;22,8;67;60;64;53;6,3;2,7;
2026/01/01;1600 UTC;0;1005,8;1006,5;1005,8;1794,9;30,7;23,1;32,8;30,1;25;23;68;59;64;56;6;1,8;
2026/01/01;1700 UTC;0;1004,6;1005,9;1004,6;2275,1;31,9;22,8;33,1;29,8;24,6;22,3;70;54;59;60;6,1;2,9;
2026/01/01;1800 UTC;0;1003,1;1004,6;1003,1;2046,1;33,2;23,5;33,6;30,8;24,9;22,4;65;55;57;33;6,1;1,1;
2026/01/01;1900 UTC;0;1002,6;1003,1;1002,4;1597,7;30,8;23,9;33,5;30,6;24,9;22,2;67;55;67;11;6,3;2,1;
2026/01/01;2000 UTC;0;1002,1;1002,6;1002,1;779,9;28,9;24,3;32,1;28,9;24,7;23,3;76;62;76;35;7,4;3,1;
2026/01/01;2100 UTC;0;1002,2;1002,3;1001,9;365,1;27,1;23,3;28,9;27,1;24,2;22,7;80;73;80;44;8;2,5;
2026/01/01;2200 UTC;0;1002,6;1002,7;1002;196,2;27,5;23;28;27,1;23,6;22,9;80;74;77;41;5,7;1,7;
2026/01/01;2300 UTC;0;1002,8;1003;1002,6;2,4;27,1;23,1;27,6;27;23,2;22,8;79;75;79;31;4,2;,7;
2026/01/02;0000 UTC;0;1003,7;1003,7;1002,8;0;27,4;22,9;27,5;27,1;23,1;22,9;79;76;77;52;3,5;1,7;
2026/01/02;0100 UTC;0;1004,2;1004,2;1003,7;0;27,1;23;27,5;27;23;22,8;78;76;78;50;3,9;,9;
2026/01/02;0200 UTC;0;1005,3;1005,3;1004,2;0;26,8;22,7;27,1;26,8;23;22,7;79;77;78;47;4,4;1,3;
2026/01/02;0300 UTC;0;1005,2;1005,5;1005,2;0;26,5;23;26,8;26,1;23,1;22,7;84;78;81;52;2,3;1,3;
2026/01/02;0400 UTC;0;1004,9;1005,4;1004,9;0;26,2;23,1;26,5;25,8;23,2;23;85;81;83;65;2,2;,9;
2026/01/02;0500 UTC;0;1003,7;1004,9;1003,7;0;25,5;23;26,4;25,4;23,2;22,9;87;82;86;57;2,4;,6;
2026/01/02;0600 UTC;0;1003,4;1003,7;1003,4;0;24,9;23;25,5;24,9;23,1;23;89;86;89;78;1,9;,7;
2026/01/02;0700 UTC;0;1003,1;1003,5;1003,1;0;24,4;22,9;24,9;24,4;22,9;22,6;91;89;91;121;1,9;,2;
2026/01/02;0800 UTC;0;1003,2;1003,2;1002,9;0;24,1;22,9;24,4;24,1;22,9;22,6;93;91;93;353;1;,1;
2026/01/02;0900 UTC;0;1003,5;1003,5;1003,1;0;23,8;22,9;24,1;23,8;23;22,7;94;93;94;313;,8;,1;
2026/01/02;1000 UTC;0;1004,1;1004,1;1003,5;2,2;23,7;22,8;23,8;23,6;22,9;22,7;95;94;95;331;,6;,3;
2026/01/02;1100 UTC;0;1004,9;1004,9;1004,1;169,7;26,1;23,5;26,1;23,6;24,1;22,7;95;86;86;24;,7;,2;
