REGIAO:;N
UF:;AM
ESTACAO:;BOCA DO ACRE
CODIGO (WMO):;A110
LATITUDE:;-8,77666666
LONGITUDE:;-67,33249999
ALTITUDE:;111,98
DATA DE FUNDACAO:;15/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;997,2;997,2;996,7;;26,6;23,9;27,3;26,6;23,9;23,4;85;80;85;97;2,4;1,3;
2026/01/01;0100 UTC;0;998,5;998,5;997,2;;26;24,4;26,6;26;24,5;23,9;91;85;91;89;2,8;1;
2026/01/01;0200 UTC;0;1000;1000;998,5;;25,5;24,3;26;25,5;24,5;24,3;93;91;93;137;2,2;1,2;
2026/01/01;0300 UTC;0;1000,5;1000,5;1000;;25,1;24,2;25,5;25,1;24,3;24,1;94;93;94;117;2,3;,1;
2026/01/01;0400 UTC;0;1000,2;1000,5;1000,1;;24,9;24;25,1;24,8;24,2;23,9;95;94;95;202;1,4;,3;
2026/01/01;0500 UTC;0;999,5;1000,3;999,5;;24,9;24,1;24,9;24,8;24,2;24;96;95;96;313;1,3;,4;
2026/01/01;0600 UTC;0;998,6;999,5;998,6;;24,6;23,9;24,9;24,6;24,1;23,9;96;96;96;23;1,1;0;
2026/01/01;0700 UTC;0;997,8;998,7;997,8;;24,3;23,7;24,6;24,3;24;23,7;97;96;97;198;,7;0;
2026/01/01;0800 UTC;0;997,6;997,8;997,6;;24,3;23,8;24,4;24,2;23,8;23,6;97;97;97;106;,5;0;
2026/01/01;0900 UTC;0;997,9;997,9;997,5;;24;23,5;24,3;23,9;23,8;23,4;97;97;97;220;,9;,1;
2026/01/01;1000 UTC;0;998,5;998,5;997,9;;24,1;23,6;24,1;24;23,6;23,5;97;97;97;186;,7;0;
2026/01/01;1100 UTC;0;999;999;998,5;39,4;23,9;23,5;24,2;23,9;23,7;23,4;97;97;97;266;1,1;,3;
2026/01/01;1200 UTC;0;999,9;999,9;999;218,1;24,5;24,1;24,5;23,9;24,1;23,5;97;97;97;257;1,8;,5;
2026/01/01;1300 UTC;0;1000,6;1000,6;999,9;606,1;28,2;25,5;28,2;24,5;26,4;24,1;97;85;85;23;3,1;1,3;
2026/01/01;1400 UTC;0;1001,1;1001,1;1000,6;1986,4;30,2;24,6;30,2;28,1;25,6;24,3;85;72;72;7;4;1,4;
2026/01/01;1500 UTC;0;1001;1001,2;1001;2270;31,8;24,2;31,8;30,3;25,4;22,7;75;62;64;36;4;1,1;
2026/01/01;1600 UTC;0;1000;1001;1000;1831,7;32,1;23,4;32,8;31,3;24,7;23,2;65;59;60;339;4,7;1,5;
2026/01/01;1700 UTC;0;998,5;1000;998,4;1256,1;29,1;21,8;33;29,1;24,2;21,8;65;56;65;40;10;3,7;
2026/01/01;1800 UTC;0;997,5;998,6;997,5;366,1;27,5;21,9;29,1;27;22,6;21,1;73;65;71;306;10;1,5;
2026/01/01;1900 UTC;0;996,3;997,5;996,3;607,7;29,9;23,3;30,1;27,5;23,3;21,2;72;61;68;355;4,9;2,7;
2026/01/01;2000 UTC;0;996,5;996,8;996,3;800,3;28;22;30,6;27,9;24,3;21,5;72;67;70;43;6,5;2,9;
2026/01/01;2100 UTC;0;996,6;996,6;996,3;286,3;27,4;22,9;28,2;27,3;23,2;21,7;78;69;77;327;5,4;2,4;
2026/01/01;2200 UTC;0;996,6;996,8;996,6;173;26,2;23,1;27,4;26,2;23,1;22,6;83;75;83;311;4,4;1,2;
2026/01/01;2300 UTC;0;997,1;997,1;996,5;19;25,6;23,4;26,3;25,6;23,4;23;88;83;88;47;2,4;1,3;
2026/01/02;0000 UTC;0;997,5;997,5;997,1;;25,3;23,7;25,6;25,2;23,9;23,4;92;88;91;353;2,4;,7;
2026/01/02;0100 UTC;0;998,2;998,2;997,5;;25,2;23,5;25,3;25,2;23,7;23,4;91;89;90;64;1,9;1;
2026/01/02;0200 UTC;0;999,3;999,3;998,2;;24,7;23,8;25,3;24,7;23,9;23,5;94;90;94;253;2,1;0;
2026/01/02;0300 UTC;0;999,1;999,4;999,1;;24,5;23,7;24,9;24,5;24;23,7;96;94;96;280;1,8;,7;
2026/01/02;0400 UTC;0;998,9;999,3;998,9;;24,4;23,7;24,5;24,4;23,7;23,7;96;96;96;25;1,9;,2;
