REGIAO:;N
UF:;AM
ESTACAO:;ITACOATIARA
CODIGO (WMO):;A121
LATITUDE:;-3,13333333
LONGITUDE:;-58,48277777
ALTITUDE:;41,54
DATA DE FUNDACAO:;17/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1006,5;1006,5;1005,9;0;25,4;;26;25,4;;;;;;325;4,3;1;
2026/01/01;0100 UTC;0;1007,1;1007,2;1006,5;0;25,3;;25,4;25,2;;;;;;316;3,7;,5;
2026/01/01;0200 UTC;0;1007,3;1007,3;1006,9;0;25,1;;25,3;25;;;;;;340;4,9;1,4;
2026/01/01;0300 UTC;0;1007,5;1007,6;1007,2;0;24,9;;25,2;24,8;;;;;;335;4,9;2,1;
2026/01/01;0400 UTC;0;1007,2;1007,5;1007,2;0;24,2;;24,9;24,1;;;;;;319;4,5;,9;
2026/01/01;0500 UTC;0;1006,4;1007,2;1006,4;0;24,4;;24,9;24,1;;;;;;313;3,5;1,1;
2026/01/01;0600 UTC;0;1005,6;1006,4;1005,6;0;24,3;;24,5;24,3;;;;;;316;3,1;1,1;
2026/01/01;0700 UTC;0;1005,3;1005,6;1005,3;0;24,7;;25;24,1;;;;;;338;2,7;1;
2026/01/01;0800 UTC;0;1005,5;1005,5;1005,3;0;24,5;;24,9;24,4;;;;;;316;3;,6;
2026/01/01;0900 UTC;0;1005,6;1005,6;1005,3;0;24,1;;24,5;24;;;;;;320;2,9;,7;
2026/01/01;1000 UTC;0;1006,1;1006,1;1005,6;5,4;23,7;;24,1;23,6;;;;;;308;2,6;,7;
2026/01/01;1100 UTC;0;1007,3;1007,3;1006,1;224,6;24,8;;24,8;23,7;;;;;;292;2,4;1,6;
2026/01/01;1200 UTC;0;1007,8;1007,8;1007,3;950,5;28,3;25,6;28,3;24,8;;;;;86;275;2,5;,6;
2026/01/01;1300 UTC;0;1008,1;1008,1;1007,8;1498,2;28,9;24;29,3;28,1;25,5;23,4;86;73;75;274;2,8;1,2;
2026/01/01;1400 UTC;0;1008,1;1008,2;1008,1;1487,6;29,6;24,4;30;28,8;25,9;23,6;82;72;74;207;3,3;,9;
2026/01/01;1500 UTC;0;1007,7;1008,1;1007,7;2508,5;30,7;25,7;30,7;29;25,7;23,8;78;71;75;220;3,8;1,6;
2026/01/01;1600 UTC;0;1006,8;1007,7;1006,8;2372,7;30,9;23,6;31,1;29,7;25,7;23,4;76;65;65;230;3,3;,8;
2026/01/01;1700 UTC;0;1006,1;1006,8;1006,1;1339;30,6;24,2;31,7;29,6;24,5;22,9;71;60;69;245;5,5;,5;
2026/01/01;1800 UTC;0;1004,6;1006;1004,6;2370,4;30,7;25,2;32,4;30,1;26;23,6;75;63;73;210;3,3;1,2;
2026/01/01;1900 UTC;0;1003,5;1004,6;1003,5;2208,8;31,9;23,5;31,9;29,9;25,5;21,8;73;58;61;276;6,8;2,3;
2026/01/01;2000 UTC;0;1003,3;1003,6;1003,3;893,7;30,3;23,6;32;29,6;24,1;22,4;70;61;67;294;5,5;1,9;
2026/01/01;2100 UTC;0;1003,1;1003,3;1003,1;1064,5;30,6;22,8;31,1;30,3;23,7;22,2;68;60;63;296;5;1,7;
2026/01/01;2200 UTC;0;1003,1;1003,2;1003;149,2;28,4;23,5;30,6;28,4;23,6;22,7;75;63;75;303;4,5;1,4;
2026/01/01;2300 UTC;0;1003,7;1003,7;1003;,8;27,6;23,8;28,4;27,5;23,8;23,3;80;74;80;315;2,8;,8;
2026/01/02;0000 UTC;0;1004,8;1004,9;1003,7;0;27,3;23,3;27,6;27,1;23,8;23,3;81;79;79;319;2,6;,5;
2026/01/02;0100 UTC;0;1005,4;1005,4;1004,8;0;26,3;23,4;27,3;26,3;23,4;23,1;84;79;84;314;3;,9;
2026/01/02;0200 UTC;0;1006,2;1006,2;1005,4;0;26;;26,6;26;;;;;;242;3,2;,2;
2026/01/02;0300 UTC;0;1006,2;1006,3;1006;0;26;;26,3;25,8;;;;;;248;1,5;,4;
2026/01/02;0400 UTC;0;1006;1006,2;1006;0;25,8;;26,3;25,6;;;;;;261;1,4;0;
2026/01/02;0500 UTC;0;1005,1;1006;1005,1;0;24,9;;25,9;24,9;;;;;;316;,8;0;
2026/01/02;0600 UTC;0;1004,5;1005,1;1004,4;0;24,8;;24,9;24,7;;;;;;313;2,2;,8;
2026/01/02;0700 UTC;0;1003,9;1004,5;1003,9;0;24,3;;24,8;24,3;;;;;;300;2,6;1,3;
2026/01/02;0800 UTC;0;1003,9;1004;1003,8;0;24,2;;24,3;24,1;;;;;;314;2,3;,2;
2026/01/02;0900 UTC;0;1004,2;1004,2;1003,9;0;24;;24,2;24;;;;;;219;2;0;
2026/01/02;1000 UTC;0;1005;1005;1004,2;8,2;24,2;;24,2;24;;;;;;315;1,6;,5;
2026/01/02;1100 UTC;0;1006;1006;1005;283,6;26,1;;26,1;24,2;;;;;;308;1,6;,5;
2026/01/02;1200 UTC;0;1006,7;1006,8;1006;862,9;28,1;23,7;28,1;26,1;;;;;77;244;2,8;,3;
2026/01/02;1300 UTC;0;1007,1;1007,1;1006,7;1271,3;29,4;24;29,5;27,8;24,7;23,6;79;71;73;277;3,1;1,4;
2026/01/02;1400 UTC;0;1006,8;1007,1;1006,8;1818,9;31,1;23,1;31,2;29,4;24,9;22,6;74;61;62;311;3,9;1,2;
2026/01/02;1500 UTC;0;1006,4;1006,8;1006,4;2498;31,1;23,2;32,5;30,9;24,2;22,3;64;58;63;214;3,5;1,1;
2026/01/02;1600 UTC;0;1006,1;1006,4;1006;1986,3;31,2;23,6;32,3;30,7;24,6;22,8;68;59;64;225;4,4;1;
2026/01/02;1700 UTC;0;1004,6;1006,1;1004,6;2823,9;33,2;22,9;33,5;30,9;24,9;22,2;67;51;55;232;3,1;1,3;
2026/01/02;1800 UTC;0;1003,2;1004,6;1003,2;2811,3;33,1;21,7;33,8;32,8;23;20,8;57;49;51;305;4,8;1,6;
2026/01/02;1900 UTC;0;1002;1003,2;1002;2343,9;33,6;22;34;32,7;22,6;20,1;55;47;51;290;4,4;1,6;
2026/01/02;2000 UTC;0;1001,5;1002;1001,5;1700,3;33,1;21,3;33,7;33;22,3;20,6;52;47;50;260;4;1,3;
2026/01/02;2100 UTC;0;1001,2;1001,6;1001,2;982;32,4;22;33,4;32,3;22,3;21,1;54;49;54;260;3,1;,8;
2026/01/02;2200 UTC;0;1001,4;1001,5;1001,2;115,1;30,3;23,1;32,4;30,3;23,1;21,7;65;54;65;278;2,5;,3;
2026/01/02;2300 UTC;0;1002,2;1002,2;1001,4;1,2;28,9;23,3;30,3;28,8;23,4;22,8;72;65;72;282;2,3;1,1;
