REGIAO:;N
UF:;AM
ESTACAO:;MANICORE
CODIGO (WMO):;A133
LATITUDE:;-5,7886111
LONGITUDE:;-61,28833333
ALTITUDE:;40,64
DATA DE FUNDACAO:;12/12/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1006;1006;1005;;;;;;;;83;80;83;;;;
2026/01/01;0100 UTC;0;1006,8;1006,8;1006;;;;;;;;86;82;86;;;;
2026/01/01;0200 UTC;0;1006,8;1006,9;1006,7;;;;;;;;90;86;90;;;;
2026/01/01;0300 UTC;0;1006,9;1007;1006,8;;;;;;;;91;89;90;;;;
2026/01/01;0400 UTC;0;1007,3;1007,3;1006,9;;;;;;;;90;89;89;;;;
2026/01/01;0500 UTC;0;1006,7;1007,3;1006,7;;;;;;;;91;89;90;;;;
2026/01/01;0600 UTC;0;1006,2;1006,7;1006,1;;;;;;;;92;90;92;;;;
2026/01/01;0700 UTC;0;1005,6;1006,2;1005,6;;;;;;;;93;92;92;;;;
2026/01/01;0800 UTC;0;1005,1;1005,6;1004,9;;;;;;;;93;92;93;;;;
2026/01/01;0900 UTC;0;1005;1005,2;1005;;;;;;;;94;93;94;;;;
2026/01/01;1000 UTC;0;1005,8;1005,8;1005;;;;;;;;94;94;94;;;;
2026/01/01;1100 UTC;0;1006,7;1006,7;1005,8;147,8;;;;;;;94;93;93;;;;
2026/01/01;1200 UTC;0;1007,6;1007,6;1006,7;494,2;;;;;;;93;90;90;;;;
2026/01/01;1300 UTC;0;1008;1008;1007,6;744,8;;;;;;;90;82;82;;;;
2026/01/01;1400 UTC;0;1008,3;1008,3;1008;1663,9;;;;;;;83;73;76;;;;
