REGIAO:;N
UF:;AP
ESTACAO:;MACAPA
CODIGO (WMO):;A249
LATITUDE:;,03499999
LONGITUDE:;-51,08888888
ALTITUDE:;16,62
DATA DE FUNDACAO:;12/12/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1011,4;1011,4;1010,9;;28,1;23,1;28,3;28;23,1;22,7;74;72;74;62;7,5;3;
2026/01/01;0100 UTC;0;1011,9;1011,9;1011,4;;27,2;23,3;28,1;27,2;23,4;23,2;79;74;79;46;7,1;1,8;
2026/01/01;0200 UTC;0;1012,1;1012,1;1011,9;;26,4;23,2;27,2;26,4;23,3;23,1;83;79;83;35;4,9;1,1;
2026/01/01;0300 UTC;0;1012;1012,1;1011,9;;26,1;23,2;26,4;26,1;23,3;23,1;84;83;84;35;4,2;1,4;
2026/01/01;0400 UTC;0;1011,4;1012;1011,4;;25,7;23,3;26,1;25,7;23,4;23,2;87;84;87;24;3,8;1,1;
2026/01/01;0500 UTC;0;1010,6;1011,4;1010,6;;25,2;24,2;25,7;25,2;24,2;23,3;94;87;94;17;3;,9;
2026/01/01;0600 UTC;0;1009,7;1010,6;1009,7;;24,9;;25,2;24,9;;;;;;11;3,4;1,1;
2026/01/01;0700 UTC;0;1009,8;1009,8;1009,5;;24,5;;24,9;24,5;;;;;;4;3,4;1,1;
2026/01/01;0800 UTC;0;1009,9;1009,9;1009,7;;24,3;;24,5;24,3;;;;;;334;2,8;1,1;
2026/01/01;0900 UTC;0;1010,3;1010,3;1009,8;;24;;24,3;24;;;;;;315;2,1;1;
2026/01/01;1000 UTC;0;1010,9;1010,9;1010,3;37,3;24,2;;24,2;24;;;;;;326;2,8;,7;
2026/01/01;1100 UTC;0;1011,7;1011,7;1010,8;545,7;25,7;;25,8;24,2;;;;;;354;2,5;1;
2026/01/01;1200 UTC;0;1012;1012,1;1011,7;1542,6;28,3;23,9;28,4;25,7;27,1;23,6;;77;77;28;4,5;1,8;
2026/01/01;1300 UTC;0;1012;1012,2;1012;1768,5;29,5;23,6;29,6;28,2;24,6;23,4;78;70;71;51;6,3;2,6;
2026/01/01;1400 UTC;0;1011,9;1012,1;1011,9;3225,5;30,6;22,4;31,1;29,5;24,3;22,4;72;61;62;76;9,3;3,5;
2026/01/01;1500 UTC;0;1011,6;1012;1011,6;3433,5;31,6;23,9;31,6;30,4;23,9;22,4;67;61;64;98;9,3;3,2;
2026/01/01;1600 UTC;0;1010,4;1011,6;1010,4;3568,8;31;23;32,4;30,9;24,3;22,2;64;57;63;83;8,2;4,3;
2026/01/01;1700 UTC;0;1009,7;1010,4;1009,7;3317,7;25,9;17,6;32,2;25,8;23,6;17,2;63;56;60;82;8,8;3,9;
2026/01/01;1800 UTC;0;1008,7;1009,7;1008,7;2833,3;29,2;19,3;31,2;25,8;22;16,9;61;53;55;82;10,1;4,6;
2026/01/01;1900 UTC;0;1008,2;1008,7;1008,2;2220,5;26,6;17,3;29,6;26,5;20,4;17;60;51;57;86;9,3;3,9;
2026/01/01;2000 UTC;0;1008,1;1008,3;1008;1504;30,3;21,9;30,3;26,6;21,9;17,1;62;55;61;74;10,4;3,7;
2026/01/01;2100 UTC;0;1008,3;1008,3;1008;621,6;30;22,3;30,7;30;22,6;21,9;64;60;63;61;9;3,3;
2026/01/01;2200 UTC;0;1008,7;1008,7;1008,3;33,9;29,2;22,5;30;29,2;22,9;22,3;68;63;67;58;7,3;2,4;
2026/01/01;2300 UTC;0;1009;1009;1008,7;;28;22,7;29,2;28;22,9;22,5;73;67;73;49;5,6;2,1;
2026/01/02;0000 UTC;0;1009,5;1009,6;1009;;27,6;23,1;28;27,6;23,1;22,6;77;73;77;44;5,5;2,1;
2026/01/02;0100 UTC;0;1010,2;1010,2;1009,5;;27,3;23,1;27,6;27,3;23,3;23,1;78;76;78;52;6,3;2,1;
2026/01/02;0200 UTC;0;1010,5;1010,5;1010,1;;26,7;23,1;27,3;26,7;23,2;23;81;78;81;53;5,6;2,2;
2026/01/02;0300 UTC;0;1010,3;1010,7;1010,3;;26,3;23,2;26,7;26,3;23,2;23,1;83;81;83;35;6,3;1,7;
2026/01/02;0400 UTC;0;1009,9;1010,3;1009,8;;25,8;23,3;26,3;25,8;23,3;23,2;86;83;86;39;5,2;1,7;
2026/01/02;0500 UTC;0;1009;1009,9;1009;;25,5;23,5;25,8;25,5;23,5;23,3;89;86;89;30;4,5;1,3;
2026/01/02;0600 UTC;0;1008,6;1009;1008,6;;25;;25,4;25;;;;;;15;4;1,1;
2026/01/02;0700 UTC;0;1008,4;1008,7;1008,4;;24,7;;25;24,7;;;;;;10;3,1;,9;
2026/01/02;0800 UTC;0;1008,5;1008,6;1008,4;;24,5;;24,7;24,5;;;;;;352;2,9;1,1;
2026/01/02;0900 UTC;0;1008,7;1008,7;1008,4;;24,2;;24,5;24,2;;;;;;358;3,4;1;
2026/01/02;1000 UTC;0;1009,3;1009,3;1008,7;46,4;24,4;;24,4;24,2;;;;;;347;2,8;1,2;
2026/01/02;1100 UTC;0;1010,1;1010,1;1009,3;617,5;25,8;25,4;25,8;24,4;;;;;98;7;4,6;1,4;
2026/01/02;1200 UTC;0;1010,7;1010,7;1010,1;1576,1;27,5;22,9;27,8;25,7;24,2;22,9;97;75;76;19;5,2;2,1;
2026/01/02;1300 UTC;0;1010,9;1010,9;1010,6;2303,8;29,9;22,9;29,9;27,5;23,9;22;78;64;66;50;6,8;3;
2026/01/02;1400 UTC;0;1010,8;1010,9;1010,8;2741,2;30,9;21,9;31,7;29,4;23,9;21,9;68;59;59;68;6,6;2,7;
2026/01/02;1500 UTC;0;1010,3;1010,9;1010,3;3237,7;31,9;22,7;32,1;30,4;23,5;22,1;64;57;58;60;6,4;3,1;
2026/01/02;1600 UTC;0;1009,6;1010,3;1009,6;3708,9;32,3;23,1;33;31,7;23,6;21,9;61;55;59;76;6,8;3;
2026/01/02;1700 UTC;0;1008,4;1009,6;1008,4;3373,9;32,4;23,2;32,7;31,9;23,5;21,8;60;54;58;90;7,6;3,1;
2026/01/02;1800 UTC;0;1007,3;1008,5;1007,3;2839,6;32;23;32,7;31,6;24;22,6;62;56;59;81;8,9;3,4;
2026/01/02;1900 UTC;0;1007;1007,3;1006,9;2256;31,5;22,2;32,5;31,5;23,5;22;61;56;58;92;10,7;4,7;
2026/01/02;2000 UTC;0;1006,6;1007;1006,5;1538;30,7;23,4;32,1;30,7;23,7;21,7;66;56;65;77;10,7;4,3;
2026/01/02;2100 UTC;0;1006,8;1006,9;1006,5;371,3;30,2;22,5;30,7;29,6;23,3;21,4;66;60;63;63;9,3;3,7;
2026/01/02;2200 UTC;0;1007,2;1007,2;1006,7;23,5;29;22;30,2;29;22,4;21,4;66;61;66;55;7,5;2,5;
2026/01/02;2300 UTC;0;1007,5;1007,5;1007,2;;28,4;23;29;28,4;23;22;73;66;73;60;7,1;2,5;
2026/01/03;0000 UTC;0;1008,3;1008,3;1007,5;;27,9;23,4;28,5;27,9;23,5;23,1;77;73;77;58;7;2,5;
2026/01/03;0100 UTC;0;1009,1;1009,1;1008,3;;27;23,3;28;27;23,4;23,3;80;76;80;49;6,2;2,1;
2026/01/03;0200 UTC;0;1009,4;1009,6;1009,1;;26,6;23,4;27;26,6;23,4;23,3;83;80;83;32;5,7;1,2;
2026/01/03;0300 UTC;0;1009,8;1009,8;1009,4;;26,2;23,4;26,6;26,2;23,4;23,3;85;83;85;34;4,6;1;
2026/01/03;0400 UTC;0;1009,5;1009,8;1009,5;;25,8;23,5;26,2;25,8;23,5;23,3;87;85;87;35;3,9;1,2;
2026/01/03;0500 UTC;0;1008,8;1009,5;1008,8;;25,4;23,8;25,8;25,4;23,8;23,4;91;87;91;35;3,7;1,4;
2026/01/03;0600 UTC;0;1008,8;1008,9;1008,6;;25;;25,4;25;;;;;;360;3,2;,9;
2026/01/03;0700 UTC;0;1008,6;1008,9;1008,6;;24,7;;25;24,7;;;;;;2;2,3;,8;
2026/01/03;0800 UTC;0;1009;1009,1;1008,5;;24,4;;24,7;24,4;;;;;;331;2,1;1,1;
2026/01/03;0900 UTC;0;1009,3;1009,4;1009;;23,9;;24,4;23,9;;;;;;341;2,7;1,2;
2026/01/03;1000 UTC;0;1010,2;1010,2;1009,3;46,7;24;;24;23,8;;;;;;329;2,7;1,5;
2026/01/03;1100 UTC;0;1011,1;1011,1;1010,2;606,1;25;;25;24;;;;;;337;3,1;1,7;
2026/01/03;1200 UTC;0;1011,6;1011,7;1011,1;1611,6;27;22,9;27;25;;;;;78;14;4,6;1,9;
2026/01/03;1300 UTC;0;1011,6;1011,6;1011,4;2337,4;29,8;22,5;30;26,9;23,1;22,1;78;64;65;14;5,6;2;
