REGIAO:;N
UF:;PA
ESTACAO:;CASTANHAL
CODIGO (WMO):;A202
LATITUDE:;-1,30083333
LONGITUDE:;-47,94805555
ALTITUDE:;47,13
DATA DE FUNDACAO:;24/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1008,1;1008,1;1007,5;;26,4;21,6;27,2;26,4;21,7;20,9;75;69;75;34;6,3;1,1;
2026/01/01;0100 UTC;0;1008,7;1008,7;1008,1;;25,9;22,1;26,4;25,9;22,1;21,6;80;75;80;41;5;,1;
2026/01/01;0200 UTC;0;1008,7;1008,7;1008,6;;25,4;22,4;25,9;25,4;22,4;22,1;84;80;83;32;4,5;0;
2026/01/01;0300 UTC;0;1008,4;1008,8;1008,4;;25;22,5;25,4;25;22,5;22,4;86;83;86;35;0;0;
2026/01/01;0400 UTC;0;1007,6;1008,4;1007,6;;24,7;22,5;25;24,7;22,6;22,4;88;86;88;44;3,2;0;
2026/01/01;0500 UTC;0;1006,8;1007,6;1006,8;;24,4;22,5;24,8;24,4;22,6;22,4;89;88;89;23;3,7;0;
2026/01/01;0600 UTC;0;1006,3;1006,8;1006,3;;24,4;22,5;24,4;24,3;22,5;22,4;90;89;89;47;0;0;
2026/01/01;0700 UTC;0;1006,2;1006,3;1006,2;;24,1;22,3;24,4;24,1;22,5;22,3;89;89;89;55;0;0;
2026/01/01;0800 UTC;0;1006,3;1006,3;1006;;24,3;22,4;24,3;24,1;22,4;22,2;90;89;89;39;3,2;,1;
2026/01/01;0900 UTC;0;1006,7;1006,7;1006,3;;23,9;22,1;24,3;23,9;22,4;22,1;90;89;90;32;3,2;0;
2026/01/01;1000 UTC;0;1007;1007;1006,6;155,4;24,6;22,6;24,6;23,8;22,6;22,1;90;88;88;36;0;0;
2026/01/01;1100 UTC;0;1007,7;1007,7;1007;901,5;26,6;22,7;26,6;24,6;23,1;22,5;88;79;79;48;0;0;
2026/01/01;1200 UTC;0;1008,3;1008,3;1007,7;1725,4;28,4;22,5;28,8;26,5;23,2;22,5;80;70;71;51;6,1;1,2;
2026/01/01;1300 UTC;0;1008,5;1008,5;1008,3;2030,7;29,9;22,6;29,9;28,2;23,3;22;71;65;65;34;8,9;1,7;
2026/01/01;1400 UTC;0;1008,1;1008,5;1008,1;2335;31,3;22;31,5;29,2;22,7;21,4;65;58;58;52;8,2;1,5;
2026/01/01;1500 UTC;0;1007,8;1008,1;1007,8;1873,3;30,7;21,4;31,4;30,4;22,3;21,4;62;56;57;36;7,1;1,5;
2026/01/01;1600 UTC;0;1006,8;1007,8;1006,8;2276,1;31,4;21,9;32,2;30,5;23;21,2;62;53;57;20;6,1;1,2;
2026/01/01;1700 UTC;0;1005,7;1006,8;1005,7;2006;31,9;21,3;32,8;31,1;22,6;21;60;52;54;66;6,8;1,5;
2026/01/01;1800 UTC;0;1004,7;1005,7;1004,7;2054,6;32,8;22,1;33;31,5;22,7;21,2;57;52;53;40;6,3;,3;
2026/01/01;1900 UTC;0;1004,2;1004,7;1004,2;1341,4;31,8;22,1;33,1;31,2;22,4;21;58;50;57;38;8,3;1,9;
2026/01/01;2000 UTC;0;1004,1;1004,2;1004,1;1201,3;31,2;22;32,3;30,9;22,4;21,6;59;54;58;31;9;2,1;
2026/01/01;2100 UTC;0;1004,4;1004,4;1004;325,3;29,8;22;31,4;29,8;22,2;21,6;63;57;63;14;8,4;2,3;
2026/01/01;2200 UTC;0;1005,2;1005,3;1004,4;7,8;28,4;21,9;29,8;28,4;22;21,8;68;63;68;15;6,2;,2;
2026/01/01;2300 UTC;0;1006,1;1006,1;1005,2;;27,3;21,7;28,4;27,3;21,9;21,6;71;68;71;27;7;1,5;
2026/01/02;0000 UTC;0;1006,6;1006,6;1006,1;;26,5;21,8;27,3;26,5;21,9;21,7;76;71;76;15;5,9;0;
2026/01/02;0100 UTC;0;1007;1007;1006,7;;25,8;22,3;26,4;25,8;22,3;21,8;81;76;81;30;0;0;
2026/01/02;0200 UTC;0;1007;1007,1;1006,9;;25,5;22,7;25,8;25,4;22,7;22,3;85;81;85;32;0;0;
2026/01/02;0300 UTC;0;1006,8;1007,1;1006,8;;25,1;22,8;25,5;25;22,8;22,6;87;85;87;22;3,8;0;
2026/01/02;0400 UTC;0;1006,3;1006,8;1006,3;;24,8;22,8;25,1;24,8;22,9;22,7;89;87;89;32;0;0;
2026/01/02;0500 UTC;0;1005,4;1006,3;1005,4;;24,5;22,7;24,8;24,5;22,9;22,6;90;89;90;31;0;0;
2026/01/02;0600 UTC;0;1004,7;1005,4;1004,7;;24,5;22,7;24,6;24,5;22,8;22,7;90;89;90;37;0;0;
2026/01/02;0700 UTC;0;1004,6;1004,7;1004,4;;24,4;22,7;24,6;24,3;22,8;22,6;91;90;90;35;0;0;
2026/01/02;0800 UTC;0;1004,7;1004,8;1004,5;;24,2;22,6;24,4;24,2;22,8;22,6;91;90;91;15;0;0;
2026/01/02;0900 UTC;0;1004,9;1004,9;1004,7;;23,8;22,5;24,2;23,5;22,6;22,1;93;91;92;29;0;0;
2026/01/02;1000 UTC;0;1005,6;1005,6;1004,9;159,9;24,8;23,2;24,8;23,8;23,2;22,6;93;91;91;28;0;0;
2026/01/02;1100 UTC;0;1006,4;1006,4;1005,6;806,8;26,8;23,5;26,8;24,8;24;23,3;91;82;82;53;0;0;
2026/01/02;1200 UTC;0;1006,7;1006,7;1006,4;1615,5;28,2;23,5;28,3;26,6;24;23,3;82;75;76;33;6,3;1,2;
2026/01/02;1300 UTC;0;1007,1;1007,1;1006,7;2195,8;29,3;23;29,7;28,2;23,9;22,8;76;67;69;15;8;2,9;
2026/01/02;1400 UTC;0;1006,8;1007,1;1006,8;1978,5;30,2;22,7;31,1;29,1;23,6;22,1;70;60;64;25;7,3;2,1;
2026/01/02;1500 UTC;0;1006;1006,8;1006;2592,7;31,5;22,1;31,9;30,2;23;22;64;57;57;27;7,8;2,2;
2026/01/02;1600 UTC;0;1005,5;1006,1;1005,5;2668,3;32,4;21,6;33;30,8;22,6;21,5;59;52;53;38;7;2,4;
2026/01/02;1700 UTC;0;1004,3;1005,5;1004,3;2651;32,7;21,9;33,4;32,1;23,1;21,2;56;50;53;27;7,7;2,2;
2026/01/02;1800 UTC;0;1003,3;1004,3;1003,3;2256;32,7;21,3;33,6;32,3;22,5;20,7;55;49;51;8;7,9;2;
2026/01/02;1900 UTC;0;1002,8;1003,3;1002,7;1776;32,3;21,5;33,1;32,1;22;20,7;54;49;53;3;9,9;4,5;
2026/01/02;2000 UTC;0;1002,7;1002,9;1002,7;810,4;31,2;21,9;32,3;31,2;22,2;21,3;58;53;58;19;9,9;4,4;
2026/01/02;2100 UTC;0;1003,3;1003,3;1002,7;426,1;29,8;22,3;31,4;29,8;22,3;21,9;64;58;64;13;8,6;3,5;
2026/01/02;2200 UTC;0;1003,6;1003,6;1003,2;14;28,1;22,1;29,8;28,1;22,5;22,1;70;64;70;9;8,3;2;
2026/01/02;2300 UTC;0;1004,5;1004,5;1003,6;;27,1;22,5;28,1;27,1;22,5;22,1;76;70;76;21;7,4;,4;
2026/01/03;0000 UTC;0;1005,4;1005,4;1004,5;;26,4;23;27,1;26,4;23;22,5;81;76;81;21;5,7;,5;
2026/01/03;0100 UTC;0;1005,8;1005,8;1005,4;;25,9;23;26,4;25,9;23,1;23;84;81;84;29;5,1;0;
2026/01/03;0200 UTC;0;1005,9;1005,9;1005,8;;25,5;23,1;25,9;25,5;23,1;23;86;84;86;9;1,9;0;
2026/01/03;0300 UTC;0;1006;1006,1;1005,9;;25,2;23,1;25,5;25;23,1;22,9;89;86;88;355;0;0;
2026/01/03;0400 UTC;0;1005,8;1006;1005,8;;25,1;23,1;25,2;25;23,1;22,9;89;88;89;3;0;0;
2026/01/03;0500 UTC;0;1005,5;1005,8;1005,5;;24,1;22,5;25,1;24,1;23,1;22,5;91;89;91;66;0;0;
2026/01/03;0600 UTC;0;1004,8;1005,5;1004,8;;23,7;22,4;24,2;23,7;22,7;22,4;93;91;93;251;0;0;
2026/01/03;0700 UTC;0;1004,9;1004,9;1004,8;;23,4;22,3;23,7;23,3;22,4;22,2;94;93;94;142;0;0;
2026/01/03;0800 UTC;0;1005,2;1005,2;1004,8;;23,3;22,2;23,4;23,2;22,3;22,1;94;93;94;186;0;0;
2026/01/03;0900 UTC;0;1005,6;1005,6;1005,2;;23;22;23,3;23;22,3;22;94;94;94;242;0;0;
2026/01/03;1000 UTC;0;1006,3;1006,3;1005,6;142,1;24,2;23,2;24,2;22,9;23,2;21,9;95;94;95;117;0;0;
2026/01/03;1100 UTC;0;1007,1;1007,1;1006,3;843,6;26,9;24,2;26,9;24,2;24,5;23,3;95;85;85;18;3,7;,4;
2026/01/03;1200 UTC;0;1007,5;1007,5;1007,1;1733,7;28,9;24,2;28,9;26,8;24,2;23,3;85;75;76;13;6,1;,6;
2026/01/03;1300 UTC;0;1007,6;1007,6;1007,4;2122,2;29,5;23,5;29,8;28,5;23,9;22,9;76;68;71;14;7,3;1,9;
2026/01/03;1400 UTC;0;1007,5;1007,6;1007,4;1949,3;30,7;22,9;30,7;29,5;23,9;22,4;71;63;63;33;6,7;3,1;
2026/01/03;1500 UTC;0;1007;1007,5;1007;3020,9;32;22,1;32,6;30,7;23,5;21,5;64;54;56;30;6,7;,7;
2026/01/03;1600 UTC;0;1006,2;1007;1006,2;1996,6;32,5;22,3;32,9;31,3;23;21,3;58;53;55;359;7;,4;
2026/01/03;1700 UTC;0;1005,3;1006,2;1005,3;1792,5;32,5;21,4;33,3;31,9;22,8;21,1;57;50;52;45;7;1,6;
2026/01/03;1800 UTC;0;1004,3;1005,3;1004,3;2377,8;33,1;21,9;33,4;32,3;22,7;20,8;54;49;52;30;8;,9;
2026/01/03;1900 UTC;0;1003,8;1004,3;1003,8;1547,2;33,1;21,6;33,6;32,1;22,5;20,9;54;49;51;12;6,5;1,2;
2026/01/03;2000 UTC;0;1004;1004;1003,8;973;31,5;22,4;33,4;31,5;22,7;21,2;59;51;59;16;7,7;2,8;
2026/01/03;2100 UTC;0;1004,3;1004,3;1004;194,2;30,2;23,2;31,6;30,2;23,2;22,1;66;58;66;19;7,4;2,3;
2026/01/03;2200 UTC;0;1005,1;1005,1;1004,3;11,1;28,8;22,9;30,2;28,8;23,2;22,8;70;66;70;8;7,6;2;
2026/01/03;2300 UTC;0;1006;1006;1005,1;;27,6;23;28,8;27,6;23;22,8;76;70;76;7;6,4;1,9;
2026/01/04;0000 UTC;0;1007;1007;1006;;26,7;23,2;27,6;26,7;23,2;23;81;76;81;19;5,5;0;
2026/01/04;0100 UTC;0;1007,3;1007,3;1007;;26,1;23,5;26,7;26,1;23,5;23,1;85;81;85;21;4;,1;
2026/01/04;0200 UTC;0;1007,4;1007,4;1007,2;;25,7;23,5;26,1;25,7;23,5;23,3;88;85;88;23;4;0;
2026/01/04;0300 UTC;0;1007;1007,5;1006,9;;25,3;23,5;25,7;25,3;23,5;23,4;89;88;89;26;0;0;
2026/01/04;0400 UTC;0;1006,6;1007;1006,5;;24,9;23,3;25,3;24,9;23,5;23,3;91;89;91;22;0;0;
2026/01/04;0500 UTC;0;1006;1006,5;1006;;24,7;23,3;24,9;24,6;23,4;23,2;92;91;92;27;0;0;
2026/01/04;0600 UTC;0;1005,4;1006;1005,4;;24,7;23,3;24,7;24,6;23,3;23,2;92;92;92;31;0;0;
2026/01/04;0700 UTC;0;1005,1;1005,4;1005;;24,5;23,1;24,7;24,5;23,3;23,1;92;92;92;20;0;0;
2026/01/04;0800 UTC;0;1005,4;1005,4;1005;;24,4;23,1;24,5;24,4;23,3;23,1;93;92;93;74;0;0;
2026/01/04;0900 UTC;0;1005,7;1005,7;1005,3;;24,1;23;24,5;24;23,3;22,8;93;92;93;68;0;0;
