REGIAO:;N
UF:;PA
ESTACAO:;TOME ACU
CODIGO (WMO):;A213
LATITUDE:;-2,59249999
LONGITUDE:;-48,36055555
ALTITUDE:;42,95
DATA DE FUNDACAO:;14/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1007,5;1007,5;1006,8;;25,8;24,9;26,1;25,7;24,9;24,7;95;93;95;241;1,9;0;
2026/01/01;0100 UTC;0;1008,5;1008,5;1007,4;;26,2;24,4;26,2;25,6;25;24,3;95;90;90;231;4,3;1,3;
2026/01/01;0200 UTC;0;1008,7;1008,8;1008,4;;25,5;24;26,2;25,5;24,4;23,9;91;89;91;218;5,1;,3;
2026/01/01;0300 UTC;0;1008,6;1008,8;1008,6;;25,2;24,2;25,5;25,1;24,4;24;95;91;94;240;1,5;,3;
2026/01/01;0400 UTC;0;1007,9;1008,7;1007,9;;24,9;23,9;25,2;24,9;24,2;23,9;94;94;94;253;2,5;,9;
2026/01/01;0500 UTC;0;1007;1007,9;1007;;24,7;23,3;24,9;24,7;23,9;23,3;94;92;92;247;2,5;,7;
2026/01/01;0600 UTC;0;1006,4;1007;1006,4;;24,3;23,2;24,7;24,3;23,3;23,2;94;92;94;227;3,3;,1;
2026/01/01;0700 UTC;0;1006,3;1006,4;1006,1;;23,7;23,2;24,3;23,7;23,3;23,2;97;94;97;220;1,2;0;
2026/01/01;0800 UTC;0;1006,5;1006,5;1006,3;;23,4;23,3;23,7;23,3;23,3;23,1;99;97;99;208;1;0;
2026/01/01;0900 UTC;0;1006,8;1006,9;1006,5;;23;23;23,4;22,9;23,2;22,9;100;99;100;192;0;0;
2026/01/01;1000 UTC;0;1007,8;1007,8;1006,8;118,9;23,8;23,8;23,8;22,8;23,8;22,8;100;100;100;222;1;0;
2026/01/01;1100 UTC;0;1008,2;1008,2;1007,7;743,8;25,5;24;25,5;23,8;24,5;23,3;100;90;91;241;3,4;1,3;
2026/01/01;1200 UTC;0;1008,5;1008,6;1008,2;1632,7;28,1;23,8;28,1;25,4;24,1;23,2;91;77;77;234;5,7;2,1;
2026/01/01;1300 UTC;0;1008,7;1008,8;1008,5;2217,3;29,4;23,5;29,5;27,8;24,4;23,1;78;69;71;246;7,9;2,9;
2026/01/01;1400 UTC;0;1008,5;1008,8;1008,5;1986,5;29,8;23,9;30,4;29;24,2;23,1;73;67;71;247;6,4;2;
2026/01/01;1500 UTC;0;1008;1008,5;1008;2312,6;30,9;23,6;32,1;29,8;24,3;22,9;71;61;65;249;5,9;2,5;
2026/01/01;1600 UTC;0;1006,9;1008;1006,9;2316,4;31,9;23,9;31,9;30,6;24,4;23,3;67;62;63;248;5,9;1,9;
2026/01/01;1700 UTC;0;1006,1;1006,9;1006,1;2422,5;32,7;23,6;32,9;31,2;24,9;23,1;65;58;59;234;3,8;1,5;
2026/01/01;1800 UTC;0;1004,8;1006;1004,8;2439,1;33,2;24,1;33,5;32,4;24,5;22,9;62;55;59;234;4,9;1,3;
2026/01/01;1900 UTC;0;1004,1;1004,8;1004;1939,9;32,6;23,8;33,8;32,6;24,1;22,7;60;54;60;239;4,6;1,8;
2026/01/01;2000 UTC;0;1004;1004,1;1003,9;1082,1;32,1;24;33,3;31,5;25;23,1;67;56;62;234;4,2;,5;
2026/01/01;2100 UTC;0;1004;1004;1003,8;402,7;29,6;25,5;32,1;29,6;25,5;24;79;62;79;235;1,5;0;
2026/01/01;2200 UTC;0;1004,4;1004,4;1004;13,3;27,4;25,8;29,4;27,4;26;25,1;91;79;91;253;,5;0;
2026/01/01;2300 UTC;0;1005,1;1005,1;1004,5;;26,4;25,4;27,4;26,4;25,8;25,4;94;91;94;230;0;0;
2026/01/02;0000 UTC;0;1005,9;1005,9;1005,1;;26,1;25,1;26,3;25,9;25,4;25;95;94;94;201;1,9;,5;
2026/01/02;0100 UTC;3,6;1006,7;1007,1;1005,9;;26;25,2;26,5;26;25,2;24,9;95;91;95;202;4;,4;
