REGIAO:;N
UF:;PA
ESTACAO:;SALINOPOLIS
CODIGO (WMO):;A215
LATITUDE:;-,61888888
LONGITUDE:;-47,35666666
ALTITUDE:;23,18
DATA DE FUNDACAO:;14/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1011,1;1011,1;1010,6;;26,1;22,1;26,2;26,1;22,2;21,8;79;77;79;61;7,7;3,5;
2026/01/01;0100 UTC;0;1011,4;1011,5;1011,1;;26,1;21,9;26,2;26;22,2;21,8;79;77;78;58;8,6;4,3;
2026/01/01;0200 UTC;0;1011,6;1011,7;1011,4;;26,1;21,6;26,2;26,1;22,1;21,6;79;76;76;64;8,5;4;
2026/01/01;0300 UTC;0;1011,3;1011,6;1011,3;;26,2;21,4;26,3;26;21,8;21,2;77;75;75;62;8,7;4,2;
2026/01/01;0400 UTC;0;1010,5;1011,3;1010,4;;25,9;20,8;26,2;25,9;21,5;20,8;75;73;73;61;8,6;3,9;
2026/01/01;0500 UTC;0;1009,6;1010,5;1009,5;;25,8;21,1;26;25,8;21,2;20,8;76;73;75;63;8,3;3,7;
2026/01/01;0600 UTC;0;1009,2;1009,6;1009,1;;25,8;21,3;25,8;25,7;21,3;20,9;77;74;77;67;8,4;3,4;
2026/01/01;0700 UTC;0;1009;1009,2;1008,9;;25,5;21,2;25,8;25,5;21,4;21,1;78;77;77;67;6,8;2,5;
2026/01/01;0800 UTC;0;1009,1;1009,1;1008,9;;25,6;20,9;25,7;25,5;21,5;20,9;78;76;76;63;7,1;3,4;
2026/01/01;0900 UTC;0;1009,5;1009,5;1009;;25,5;21,4;25,7;25,4;21,5;20,9;79;75;78;62;7,5;2,8;
2026/01/01;1000 UTC;0;1009,8;1009,8;1009,5;77,9;25,9;21,4;25,9;25,4;21,7;21,4;79;76;76;60;7,5;3,8;
2026/01/01;1100 UTC;0;1010,3;1010,3;1009,8;318;26,7;21,5;26,7;25,9;21,9;21,3;76;73;73;57;9,1;4,1;
2026/01/01;1200 UTC;0;1011;1011;1010,3;508,6;27,7;21,8;27,7;26,7;22,3;21,4;75;70;70;58;9,4;4,8;
2026/01/01;1300 UTC;0;1011,4;1011,5;1011;1232,8;27,7;21,4;28,3;27;22,7;20,9;74;68;69;62;9,4;4,6;
2026/01/01;1400 UTC;0;1011,3;1011,5;1011,2;2032,6;28,2;22,6;28,6;27,4;22,8;21,3;74;68;72;59;8,5;3,8;
2026/01/01;1500 UTC;0;1011;1011,3;1011;2234,4;29;23;29;27,6;23;21,5;73;68;70;48;10,1;3,9;
2026/01/01;1600 UTC;0;1010,3;1011;1010,3;2044,3;28;22,2;29;27,8;22,9;21,7;72;68;71;45;9,3;4,5;
2026/01/01;1700 UTC;0;1009,3;1010,3;1009,3;1472,4;28,3;22;29;27,5;22,7;21,6;73;67;69;57;8,5;4,5;
