REGIAO:;N
UF:;PA
ESTACAO:;TUCURUI
CODIGO (WMO):;A229
LATITUDE:;-3,82277777
LONGITUDE:;-49,67499999
ALTITUDE:;137,94
DATA DE FUNDACAO:;01/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;995,6;995,6;994,7;;26,8;22,3;27,1;26,7;22,5;22,1;77;75;76;165;0;0;
2026/01/01;0100 UTC;0;996;996;995,6;;26,2;22,7;26,8;26,2;22,9;22,3;81;76;81;284;0;0;
2026/01/01;0200 UTC;0;996,5;996,6;996;;25,9;22,6;26,2;25,9;22,9;22,4;83;81;82;256;0;0;
2026/01/01;0300 UTC;0;996,3;996,6;996,3;;25,8;22,5;25,9;25,8;22,8;22,5;83;82;82;287;0;0;
2026/01/01;0400 UTC;0;995,6;996,3;995,6;;25,5;22,8;25,8;25,5;22,9;22,5;85;82;85;275;,3;0;
2026/01/01;0500 UTC;0;995,2;995,6;995,1;;25,5;23;25,6;25,5;23;22,8;86;85;86;280;1,1;0;
2026/01/01;0600 UTC;,2;994,4;995,2;994,4;;25;22,7;25,5;25;23;22,7;87;86;87;287;3,1;,1;
2026/01/01;0700 UTC;0;994,5;994,6;994,3;;24,9;22,6;25;24,8;22,7;22,5;88;87;87;300;3,1;,1;
2026/01/01;0800 UTC;0;994,7;994,7;994,5;;24,4;22,4;24,9;24,4;22,6;22,3;89;87;89;304;4;,1;
2026/01/01;0900 UTC;0;995,3;995,3;994,7;;24,4;22,5;24,4;24,3;22,5;22,4;90;89;89;290;2,8;,2;
2026/01/01;1000 UTC;0;995,9;995,9;995,3;50,6;24,7;22,6;24,7;24,4;22,6;22,4;89;88;88;298;3,6;,2;
2026/01/01;1100 UTC;0;996,8;996,8;995,9;471,1;25,6;22,8;25,6;24,7;23;22,5;88;84;85;331;3,2;,1;
2026/01/01;1200 UTC;0;997,2;997,3;996,8;629;25,9;22,8;26,3;25,5;23,2;22,6;85;81;83;267;3,5;,1;
2026/01/01;1300 UTC;0;997,1;997,2;997,1;1103,1;27,3;22,7;28;25,9;23,3;22,2;83;73;76;316;4,1;,4;
2026/01/01;1400 UTC;0;996,7;997,1;996,7;2607,8;30,3;22,4;30,4;27,2;23,5;21,8;78;62;63;339;4,8;,7;
2026/01/01;1500 UTC;0;996,3;996,7;996,3;3253,6;31,6;22,3;31,6;30;23,5;21,5;66;56;58;332;4,5;,7;
