REGIAO:;N
UF:;PA
ESTACAO:;TUCUMA
CODIGO (WMO):;A234
LATITUDE:;-6,74333333
LONGITUDE:;-51,14194444
ALTITUDE:;320,93
DATA DE FUNDACAO:;18/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;976,3;976,7;975,5;0;22;22;22,5;21,7;22,5;21,7;100;98;100;104;6,6;1,1;
2026/01/01;0100 UTC;0;977,1;977,2;976,3;0;22,3;22,3;22,3;21,9;22,3;21,9;100;99;100;109;2,7;1,5;
2026/01/01;0200 UTC;0;977,3;977,3;976,9;0;22,5;22,5;22,5;21,9;22,5;21,8;100;98;100;161;2,7;,8;
2026/01/01;0300 UTC;0;976,7;977,3;976,7;0;22;22;22,9;22;22,4;21,6;100;93;100;83;2,2;1,1;
2026/01/01;0400 UTC;0;976,2;976,7;976,2;0;22,4;22,3;22,4;21,9;22,3;21,9;100;100;100;140;2,5;,7;
2026/01/01;0500 UTC;0;975,4;976,2;975,4;0;22;22;22,3;21,9;22,3;21,8;100;100;100;160;2,8;,5;
2026/01/01;0600 UTC;0;975;975,4;975;0;22,2;22,2;22,3;22;22,3;22;100;100;100;113;3,8;,6;
2026/01/01;0700 UTC;0;975,1;975,2;975;0;22,1;22,1;22,5;22,1;22,5;22,1;100;100;100;94;2,9;,7;
2026/01/01;0800 UTC;0;975,2;975,2;975,1;0;22,1;22,1;22,1;21,7;22,1;21,7;100;100;100;135;2;,8;
2026/01/01;0900 UTC;0;975,8;975,8;975,2;0;21,6;21,6;22,2;21,6;22,1;21,6;100;100;100;105;2;,5;
2026/01/01;1000 UTC;0;976,4;976,4;975,8;97,9;22,8;22,8;22,8;21,6;22,8;21,6;100;100;100;294;1,6;,4;
2026/01/01;1100 UTC;0;977,2;977,2;976,4;384,2;24,8;24;24,8;22,8;24,3;22,9;100;95;95;213;1,6;,5;
2026/01/01;1200 UTC;0;977,5;977,5;977,2;444,8;27,4;24,8;27,5;24,9;25,3;23,9;98;84;86;360;3,4;1,4;
2026/01/01;1300 UTC;0;977,6;977,6;977,4;892,5;28,3;23,8;28,8;27,4;25,2;23,8;86;76;76;352;5,6;2;
2026/01/01;1400 UTC;0;977,4;977,6;977,4;1738,6;29,5;24,8;30;28,1;25,4;23,8;79;73;76;309;5,6;,9;
2026/01/01;1500 UTC;0;977;977,5;977;1375,9;29,2;24,1;30,4;29;25,9;23,8;78;71;74;342;2,8;,9;
2026/01/01;1600 UTC;,2;975,9;977;975,9;2697,2;30,7;23,2;32,1;28,8;25,5;23,2;78;64;64;351;2,4;1,2;
2026/01/01;1700 UTC;0;974,6;975,9;974,6;2816,5;32,1;24,5;32,3;30;24,9;23;71;62;64;345;4,2;1,9;
2026/01/01;1800 UTC;0;973,1;974,6;973,1;2602,8;32,8;24,9;32,8;30,1;25,3;23,4;72;60;64;301;5,7;1,4;
2026/01/01;1900 UTC;0;972,9;973,2;972,8;2149;32,1;23,2;33,1;30,6;24,9;23,1;67;59;60;58;4,7;1,3;
2026/01/01;2000 UTC;0;972,4;972,9;972,3;1529;31,4;23,3;32,1;31,1;24,7;23;66;59;62;343;4,5;1,8;
2026/01/01;2100 UTC;0;973,2;973,4;972,4;742,2;30,5;23;31,8;30,4;24,2;22,9;68;60;65;39;4,5;,9;
2026/01/01;2200 UTC;0;973,7;973,9;973,1;79,7;27,6;24,2;30,5;27,6;24,7;23;83;64;82;121;2,7;,8;
2026/01/01;2300 UTC;0;974,2;974,3;973,7;0;25,6;24,1;27,6;25,6;24,3;23,5;91;82;91;70;2,6;,6;
2026/01/02;0000 UTC;0;975;975;974,1;0;24,6;24;25,6;24,6;24,3;23,8;97;91;97;70;1,2;,5;
2026/01/02;0100 UTC;0;975,6;975,6;975;0;24,1;24;24,6;24,1;24,2;23,6;99;95;99;219;1,9;,5;
2026/01/02;0200 UTC;0;975,9;975,9;975,6;0;23,7;23,7;24,2;23,7;24,2;23,7;100;99;100;74;1,3;,6;
2026/01/02;0300 UTC;0;975,7;976,1;975,7;0;23,3;23,3;23,7;23,3;23,7;23,3;100;100;100;17;1,3;,5;
2026/01/02;0400 UTC;0;974,7;975,7;974,7;0;23,1;23,1;23,3;23;23,3;23;100;100;100;360;1,3;,4;
2026/01/02;0500 UTC;0;974,1;974,7;974;0;22,7;22,7;23,1;22,7;23;22,7;100;100;100;79;1,1;,5;
2026/01/02;0600 UTC;0;973,5;974,1;973,5;0;22,5;22,5;22,7;22,5;22,7;22,5;100;100;100;356;1,8;,5;
2026/01/02;0700 UTC;0;973,2;973,5;973,1;0;22,4;22,4;22,5;22,3;22,5;22,3;100;100;100;44;1,1;,5;
2026/01/02;0800 UTC;0;973,4;973,4;973,2;0;22,2;22,1;22,4;22,1;22,4;22,1;100;100;100;41;,9;,4;
2026/01/02;0900 UTC;0;973,6;973,6;973,1;0;22;22;22,2;22;22,2;22;100;100;100;269;1,2;,3;
2026/01/02;1000 UTC;0;974,2;974,2;973,6;101,3;23,2;23,2;23,2;22;23,2;22,1;100;100;100;276;1,5;,2;
2026/01/02;1100 UTC;0;975,4;975,4;974,2;373,7;25;24,9;25;22,9;24,9;22,9;100;99;100;287;2,1;,8;
2026/01/02;1200 UTC;0;976,3;976,3;975,4;599,8;27,1;25;27,2;25;25,7;24,8;100;88;88;308;2,7;1,2;
2026/01/02;1300 UTC;0;976,7;976,8;976,3;939,9;28,4;25,3;28,4;27,1;25,6;24,6;90;83;83;276;2,9;,9;
2026/01/02;1400 UTC;0;976,4;976,7;976,4;1153,3;27,8;23,8;28,7;27,7;25,3;23,7;84;78;79;2;4,1;1,7;
2026/01/02;1500 UTC;10,6;976,1;976,7;976,1;518,6;24,6;24;27,9;23,6;24,3;22,8;100;78;96;8;6,1;2,4;
2026/01/02;1600 UTC;0;975,1;976,1;975,1;1010,5;26,7;24,6;26,7;24,6;24,7;23,7;98;87;88;350;6,1;1,4;
2026/01/02;1700 UTC;0;973,3;975,1;973,3;2429,1;29,1;24,8;30,1;26,5;26,5;24,2;89;75;78;5;4,7;1,9;
2026/01/02;1800 UTC;0;971,9;973,3;971,9;2858,1;30,8;24,1;30,8;28,6;24,9;23,6;79;66;68;11;6;2,1;
2026/01/02;1900 UTC;2,6;971,8;972,1;971,7;1015,5;24,4;23,3;31,5;24;24,6;21,8;94;64;94;336;10,4;1,1;
2026/01/02;2000 UTC;,2;971,2;971,8;971;464,7;25,4;24;25,5;24,2;25,1;23,1;100;92;92;8;3,6;1,2;
