REGIAO:;N
UF:;PA
ESTACAO:;DOM ELISEU
CODIGO (WMO):;A252
LATITUDE:;-4,28055554
LONGITUDE:;-47,56388888
ALTITUDE:;251
DATA DE FUNDACAO:;08/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;983,5;983,5;983,1;;27;21,8;27,4;26,6;21,8;21,3;73;71;73;75;3,6;1,6;
2026/01/01;0100 UTC;0;984,2;984,2;983,5;;26,8;21,9;27,1;26,6;22,1;21,5;74;73;74;64;4,3;2,2;
2026/01/01;0200 UTC;0;984,2;984,3;984,1;;26;21,4;26,9;26;21,9;21,4;76;74;76;50;3,9;1,2;
2026/01/01;0300 UTC;0;984;984,3;983,9;;24,5;20,5;26;24,5;21,4;20,5;78;76;78;354;2,5;,5;
2026/01/01;0400 UTC;0;983,6;984;983,5;;24,7;21,3;24,7;24,2;21,3;20,3;81;78;81;330;1,6;,5;
2026/01/01;0500 UTC;0;983;983,6;983;;24,8;21,7;24,8;24,2;21,7;21,1;83;81;83;52;4,7;2,4;
2026/01/01;0600 UTC;0;982,3;983;982,2;;24,2;21,3;24,8;24,2;21,7;21,3;84;83;84;50;5,2;2,3;
2026/01/01;0700 UTC;0;982,6;982,6;982,2;;24;21,3;24,3;24;21,5;21,3;85;84;85;41;5,7;1,8;
2026/01/01;0800 UTC;0;982,5;982,6;982,3;;23,4;20,9;24;23,4;21,3;20,9;86;85;86;57;4,6;1,6;
2026/01/01;0900 UTC;0;982,7;982,7;982,3;;23,2;20,8;23,4;23;20,9;20,6;87;86;87;61;3,3;1,7;
