REGIAO:;N
UF:;TO
ESTACAO:;PARANA
CODIGO (WMO):;A010
LATITUDE:;-12,615
LONGITUDE:;-47,87194443
ALTITUDE:;284,96
DATA DE FUNDACAO:;04/03/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;979;979;978,4;;26,9;20,4;27,3;26,8;20,8;20,2;68;67;67;106;1,7;0;
2026/01/01;0100 UTC;;979,6;979,6;;;26,2;21,8;27;26,1;21,8;20;77;67;77;;;;
2026/01/01;0200 UTC;;979,9;979,9;979,6;;24,6;21,4;26,2;24,6;21,8;21;82;76;82;14;1,6;0;
2026/01/01;0300 UTC;;979,6;980;979,6;;23,5;20,7;25,2;23,5;21,6;20,6;84;79;84;53;2;,5;
2026/01/01;0400 UTC;;979,1;979,6;979,1;;23,7;20,8;23,8;23,4;21,1;20,8;86;84;84;49;2;0;
2026/01/01;0500 UTC;;978,3;979,1;978,3;;23,5;20,7;23,7;23,1;20,8;20,4;86;83;85;251;1,2;0;
2026/01/01;0600 UTC;;978;978,3;978;;23,3;20,7;23,5;22,8;20,7;20,3;86;84;85;142;1,5;,1;
2026/01/01;0700 UTC;;977,9;978;977,9;;22,1;19,8;23,4;22,1;20,7;19,8;87;85;87;345;1,5;,1;
2026/01/01;0800 UTC;;978,3;978,3;977,9;;23;20,5;23;22;20,6;19,8;88;86;86;132;1,3;0;
2026/01/01;0900 UTC;;979;979;978,3;3,2;21,8;19,7;23;21,7;20,6;19,4;88;85;88;60;1,2;0;
2026/01/01;1000 UTC;;979,5;979,5;979;193,4;24,5;20,8;24,6;21,8;21,3;19,7;88;80;80;138;1,1;0;
2026/01/01;1100 UTC;;979,9;979,9;979,5;1108,3;26,8;20,8;27;24,3;21,5;20,4;80;69;70;344;1,6;,1;
2026/01/01;1200 UTC;;980,4;980,4;979,9;1993,8;29,2;20,1;29,5;26,8;21,6;20;70;57;58;187;2,2;,2;
2026/01/01;1300 UTC;;980,3;980,4;980,3;2731;31,4;19,1;31,5;29,2;21,1;18,7;59;47;48;203;3,1;,8;
2026/01/01;1400 UTC;;979,8;980,3;979,8;3261,9;34,2;17,4;34,2;31,4;20,3;17,4;48;37;37;320;3;,7;
2026/01/01;1500 UTC;;979,2;979,8;979,2;3696,9;34,6;17,6;35,4;33,2;18,9;15,9;39;33;37;221;4,7;1,5;
2026/01/01;1600 UTC;;978,1;979,2;978,1;3879,3;34,7;18,6;36,3;33,9;19,2;16,5;39;34;39;315;4,8;2,2;
2026/01/01;1700 UTC;;976,8;978,1;976,8;3689,7;34,1;19,9;37,2;32,6;20,1;17,5;47;34;43;333;10,2;2,8;
2026/01/01;1800 UTC;;975,2;976,8;975,2;3120,1;36,1;18;36,6;34;20;17,3;43;34;34;304;6,1;1,3;
2026/01/01;1900 UTC;;974,9;975,3;974,9;2322,2;35,7;19,4;36,1;33,8;19,4;17,7;41;34;39;326;5,1;2,1;
2026/01/01;2000 UTC;;976,6;977,1;974,8;335,6;22,9;20,2;35,7;22,9;21,2;18,4;85;38;85;173;12,8;5,2;
2026/01/01;2100 UTC;;976,6;977;976,3;40,5;23;20,5;23,6;22,4;20,5;19,3;86;80;85;55;12,8;1;
2026/01/01;2200 UTC;;977,1;977,1;976,5;11,8;24,2;21,4;24,3;23;21,6;20,2;85;83;84;270;4,6;,7;
2026/01/01;2300 UTC;;977,8;977,9;977;;25;22,1;25,1;24,1;22,4;21,4;86;84;84;234;2,4;,2;
2026/01/02;0000 UTC;;;;;;24,6;;25;;;;;;;;;;
2026/01/02;0100 UTC;;979,1;979,2;978,5;;24,9;21,8;25;24,5;21,9;21,1;83;81;83;254;3,2;,2;
2026/01/02;0200 UTC;;979,3;979,6;979,1;;24,3;21,7;25;24,3;22;21,5;86;83;85;52;1,7;,3;
2026/01/02;0300 UTC;;978,5;979,3;978,4;;23,6;21,3;24,3;23,6;21,7;21,3;88;85;87;34;2,2;,1;
2026/01/02;0400 UTC;;977,6;978,5;977,6;;23,9;21,6;24,3;23,6;21,9;21,3;87;86;87;311;2,2;0;
2026/01/02;0500 UTC;;977,4;977,6;977,2;;23,5;21,3;23,9;23,5;21,6;21,3;88;87;88;302;2,4;,3;
2026/01/02;0600 UTC;;977,1;977,4;977,1;;23,3;20,7;23,6;23,2;21,3;20,7;88;85;86;327;2,3;0;
2026/01/02;0700 UTC;;976,8;977,1;976,8;;23,2;20,8;23,3;23;20,8;20,5;86;85;86;215;1,3;0;
2026/01/02;0800 UTC;;977,1;977,1;976,8;;22,6;20,4;23,2;22,5;20,8;20,3;88;86;87;82;1,8;,1;
2026/01/02;0900 UTC;;977,7;977,7;977,1;3,2;22,6;20,7;22,6;22,2;20,7;20,1;89;87;89;133;1,9;,4;
2026/01/02;1000 UTC;;978,3;978,3;977,7;224,2;23,6;21,1;23,6;22,6;21,3;20,7;89;86;86;213;1,9;,4;
2026/01/02;1100 UTC;;978,9;978,9;978,3;980;25,8;21,5;25,9;23,6;21,9;21,1;86;77;77;108;2,5;,4;
2026/01/02;1200 UTC;;979,4;979,4;978,9;1839,7;28;22,3;28;25,6;22,3;20,7;78;69;71;297;2,2;0;
2026/01/02;1300 UTC;;979,5;979,6;979,4;2614,1;29,1;20,6;29,2;27,4;22,1;19,6;71;60;60;28;2,3;,5;
2026/01/02;1400 UTC;;979,2;979,6;979,2;3236;30,5;20,2;31,2;28,8;22,1;19,5;65;51;54;302;5,7;1,8;
2026/01/02;1500 UTC;;978;979,2;978;3379,9;32,1;20,9;32,1;30,4;22,2;20,1;58;50;52;293;5,2;2,5;
2026/01/02;1600 UTC;;976,3;978;976,3;3489,7;32,9;20,3;33,8;32,1;21,4;19,5;52;45;47;299;6,6;2,1;
2026/01/02;1700 UTC;;974,8;976,3;974,8;3500;34,1;20,1;34,1;32,8;20,9;18,6;48;41;44;255;6,1;2;
2026/01/02;1800 UTC;;973,3;974,8;973,3;2983,5;34,2;19,7;34,6;33,5;20,4;18,4;45;39;43;282;5,8;1,9;
