REGIAO:;N
UF:;TO
ESTACAO:;PEIXE
CODIGO (WMO):;A018
LATITUDE:;-12,01527777
LONGITUDE:;-48,54444444
ALTITUDE:;250,87
DATA DE FUNDACAO:;01/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;982,7;982,7;981,8;;27,3;23;28,8;27,3;23,9;22,9;81;71;77;239;2,9;1,4;
2026/01/01;0100 UTC;0;983,2;983,2;982,7;;26,7;23,2;27,3;26,4;24;22,7;85;77;81;240;2,8;1,3;
2026/01/01;0200 UTC;0;983,6;983,6;983,2;;25,3;24,1;26,7;25,3;24,2;22,9;93;80;93;94;2,4;,5;
2026/01/01;0300 UTC;0;983,3;983,7;983,3;;24,9;24,2;25,3;24,7;24,3;23,5;96;92;96;103;1;,3;
2026/01/01;0400 UTC;0;982,7;983,3;982,7;;24,5;23,8;24,9;24,5;24,1;23,7;97;95;96;307;1,5;,6;
2026/01/01;0500 UTC;0;982,2;982,7;982,2;;23,9;23,7;24,5;23,7;23,9;23,3;99;96;99;284;1,5;,5;
2026/01/01;0600 UTC;0;981,6;982,2;981,6;;23,6;23,3;24,1;23,6;23,9;23,3;99;98;98;2;1,2;,5;
2026/01/01;0700 UTC;0;981,4;981,7;981,4;;23,5;23,3;23,8;23,4;23,6;23,1;99;98;99;219;1,1;,5;
2026/01/01;0800 UTC;0;981,7;981,8;981,4;;23,5;23,4;23,6;23,5;23,5;23,2;99;99;99;243;1;,3;
2026/01/01;0900 UTC;0;982,6;982,6;981,7;1,3;23,4;23,1;23,5;23,2;23,3;22,9;99;98;98;253;1,4;,7;
2026/01/01;1000 UTC;0;983,2;983,2;982,6;312,5;25,7;24,4;25,7;23,3;24,5;23;99;92;93;198;1,4;,7;
2026/01/01;1100 UTC;0;983,6;983,6;983,2;1079,8;28,6;24,3;28,6;25,7;24,6;23,8;93;77;77;196;2,6;1,3;
2026/01/01;1200 UTC;0;984,1;984,1;983,6;2029,3;30,6;23,6;30,6;28,6;24,7;23,3;77;66;66;204;4,5;1,4;
2026/01/01;1300 UTC;0;984;984,1;984;2755,4;32,6;23,9;32,6;30,5;24,7;23,2;68;60;60;228;4,4;1,3;
2026/01/01;1400 UTC;0;983,8;984;983,8;3334,4;33,3;23;33,4;32;24,3;22,5;62;55;55;224;3,7;1,9;
2026/01/01;1500 UTC;0;983,2;983,8;983,2;3189,3;33,9;23,5;34,2;33;24,1;22,2;58;51;55;301;3,9;1;
2026/01/01;1600 UTC;0;982;983,2;982;2867,1;34,1;23;34,7;32,7;24,2;22,5;60;50;52;324;4,3;2;
2026/01/01;1700 UTC;0;980,7;982,1;980,7;3120,4;34,8;24;35,4;33,4;24,6;22,5;57;48;54;217;5,8;3,1;
2026/01/01;1800 UTC;,6;979,5;980,7;979,5;1884,8;32,2;24,8;34,9;29,8;26,1;22,7;75;52;65;358;6,2;1;
2026/01/01;1900 UTC;0;979,6;979,6;979,1;916,1;30,7;25,1;32,6;30,7;26,6;24,4;74;62;72;83;2,9;1,5;
2026/01/01;2000 UTC;0;979,2;979,7;979,2;328;29,3;24,3;30,8;29,3;25,4;23,7;76;71;75;72;5,1;1,2;
2026/01/01;2100 UTC;0;979,6;979,7;979,1;268,1;29,3;24,1;29,4;28,9;24,5;23,9;77;72;74;73;2,6;,6;
2026/01/01;2200 UTC;0;981,1;981,1;979,6;55;27,4;23,7;29,3;27,3;24,4;23,5;82;74;80;14;4,8;2,5;
2026/01/01;2300 UTC;0;982,1;982,2;981;;26,8;23,5;27,6;26,7;23,7;23,4;83;78;82;334;5,6;1,8;
2026/01/02;0000 UTC;;;;;;26,1;22,7;26,8;26,1;23,5;22,6;84;81;82;;;;
2026/01/02;0100 UTC;0;982,5;982,9;982,5;;25,5;22,9;26,1;25,5;23,1;22,6;86;81;86;283;3,5;1,1;
2026/01/02;0200 UTC;0;982,1;982,7;982,1;;24,8;23,6;25,5;24,8;23,6;22,9;93;86;93;305;2,6;,8;
2026/01/02;0300 UTC;;982,2;982,3;982;;24,4;23,4;24,8;24,1;23,6;23,1;95;93;94;;;;
2026/01/02;0400 UTC;0;981,8;982,3;981,8;;24,1;23,4;24,4;24,1;23,4;23,3;96;94;96;36;4,8;2,1;
2026/01/02;0500 UTC;0;980,7;981,8;980,7;;23,9;22,7;24,2;23,9;23,5;22,7;96;93;93;37;4,8;1,5;
2026/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2026/01/02;0700 UTC;0;980,1;980,1;979,5;;22,6;22,4;23,4;22,5;22,5;22,1;99;94;99;156;1,5;1,1;
2026/01/02;0800 UTC;0;980,2;980,2;980,1;;22,5;22,4;22,7;22,4;22,4;22,1;99;98;99;254;1,5;,4;
2026/01/02;0900 UTC;0;981,3;981,3;980,2;2,9;22,4;22,3;22,5;22,2;22,5;21,9;100;98;100;91;1,5;,2;
2026/01/02;1000 UTC;0;981,9;981,9;981,3;306;24;22,7;24;22,4;23;22,3;100;92;92;42;1,5;,9;
2026/01/02;1100 UTC;0;982,8;982,8;981,9;1092,5;25,6;21,4;25,9;24;23;21,4;92;77;78;48;2,6;1,5;
2026/01/02;1200 UTC;0;983,2;983,3;982,8;1957,8;27,4;22,4;27,6;25,5;22,8;21,5;80;73;74;333;3,3;1,5;
2026/01/02;1300 UTC;0;983,4;983,5;983,2;2735,3;30;23,3;30;27,3;23,6;22,3;76;67;67;310;3,6;1,6;
2026/01/02;1400 UTC;0;983,2;983,4;983;3305,7;31;23;31,7;29,8;24,4;22,8;69;61;62;297;6,1;2,2;
2026/01/02;1500 UTC;0;982;983,2;982;3322,1;32,8;23,8;33,3;31;24,7;22,8;66;56;59;272;4,9;1,9;
2026/01/02;1600 UTC;0;979,8;982;979,8;3293,3;32,7;22,6;34,1;31,9;24,3;22,5;62;52;56;316;5,3;1,9;
2026/01/02;1700 UTC;0;978,6;979,8;978,6;2581,6;32,8;23,4;34,6;32,5;24,2;22,7;61;51;58;295;4,6;,8;
