REGIAO:;N
UF:;TO
ESTACAO:;ARAGUAINA
CODIGO (WMO):;A021
LATITUDE:;-7,10388888
LONGITUDE:;-48,20111111
ALTITUDE:;230,76
DATA DE FUNDACAO:;26/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;986,5;986,5;986,2;;23,4;21,6;23,9;23,4;21,8;21,5;90;87;90;293;0;0;
2026/01/01;0100 UTC;0;986,5;986,9;986,5;;22,9;21,5;23,3;22,9;21,7;21,5;92;90;92;176;0;0;
2026/01/01;0200 UTC;0;986,7;986,8;986,5;;22,3;21,1;22,9;22,3;21,6;21,1;93;92;93;272;0;0;
2026/01/01;0300 UTC;0;986,7;987;986,7;;21,9;20,9;22,3;21,9;21,2;20,9;94;93;94;316;0;0;
2026/01/01;0400 UTC;0;986,1;986,7;986;;22,1;21,1;22,1;21,8;21,1;20,8;94;94;94;337;0;0;
2026/01/01;0500 UTC;0;984,9;986,1;984,9;;21,7;20,9;22,1;21,6;21,1;20,7;95;94;95;82;0;0;
2026/01/01;0600 UTC;0;984,4;984,9;984,4;;21,2;20,4;21,7;21,2;20,9;20,4;95;95;95;250;0;0;
2026/01/01;0700 UTC;0;984,3;984,4;984,2;;21;20,2;21,3;21;20,5;20,2;95;95;95;239;0;0;
2026/01/01;0800 UTC;0;984,2;984,3;984,1;;21,2;20,4;21,2;20,9;20,4;20,1;95;95;95;307;0;0;
2026/01/01;0900 UTC;0;985,2;985,2;984,2;;21;20,4;21,3;21;20,6;20,3;96;95;96;243;0;0;
2026/01/01;1000 UTC;0;986;986;985,2;129,2;22,2;21,6;22,2;21;21,6;20,2;97;96;96;123;0;0;
2026/01/01;1100 UTC;0;986,7;986,7;986;491,4;24,5;22,8;24,6;22,3;23;21,6;96;90;90;84;0;0;
2026/01/01;1200 UTC;0;986,8;986,9;986,6;1364,3;27,3;23,5;27,4;24,4;23,8;22,6;91;80;80;2;0;0;
2026/01/01;1300 UTC;0;986,9;986,9;986,8;2369,5;29,9;23,8;30;27,1;24,5;23,2;82;70;70;356;0;0;
2026/01/01;1400 UTC;0;986,7;986,9;986,7;2339,9;29,4;23,5;31;29,2;24,9;23,4;73;68;71;321;5,7;,6;
2026/01/01;1500 UTC;0;985,9;986,7;985,9;2463,8;30,2;23,1;32,4;29,4;24,9;23,1;72;61;66;351;5,3;0;
2026/01/01;1600 UTC;0;985,2;986;985,1;2424,1;32,5;23,7;32,6;30,2;24,4;22,9;68;60;60;341;6,5;0;
2026/01/01;1700 UTC;0;983,9;985,2;983,9;2902,6;32;23,4;32,9;30,6;24,5;22,7;67;57;60;1;3,2;0;
2026/01/01;1800 UTC;0;983,1;983,9;983,1;766,6;30,1;23,9;32;30,1;24;22,9;69;60;69;7;0;0;
2026/01/01;1900 UTC;0;982,8;983,1;982,8;579,8;30,3;23,7;30,4;29,9;24,6;23,5;72;68;68;351;0;0;
2026/01/01;2000 UTC;0;982,8;982,8;982,6;470,8;29,7;24,9;30,5;29,7;24,9;23,6;75;67;75;230;0;0;
2026/01/01;2100 UTC;0;983;983;982,7;267;27,3;23,7;29,8;27,3;24,7;23,6;81;73;81;175;0;0;
2026/01/01;2200 UTC;0;983,2;983,3;982,9;27,8;26,1;23,2;27,4;26;23,8;23;84;81;84;314;0;0;
2026/01/01;2300 UTC;0;984,2;984,2;983,2;;25;23,1;26,1;25;23,3;23;89;84;89;228;0;0;
2026/01/02;0000 UTC;0;984,9;984,9;984,2;;24,3;22,6;25;24,3;23;22,6;90;89;90;188;0;0;
2026/01/02;0100 UTC;0;985,7;985,7;984,8;;24,1;22,6;24,3;24;22,7;22,4;92;90;92;209;0;0;
2026/01/02;0200 UTC;0;985,5;985,7;985,4;;23,9;22,5;24,4;23,9;22,9;22,5;92;91;92;313;0;0;
2026/01/02;0300 UTC;0;985,3;985,6;985,2;;23,6;22,5;24;23,5;22,8;22,4;94;92;94;274;0;0;
2026/01/02;0400 UTC;0;984,4;985,3;984,4;;23,3;22,3;23,6;23,3;22,4;22,2;94;94;94;263;0;0;
2026/01/02;0500 UTC;0;983,5;984,4;983,5;;23;22;23,3;23;22,4;22;94;94;94;111;0;0;
2026/01/02;0600 UTC;0;982,8;983,5;982,8;;22,6;21,8;23;22,6;22,1;21,7;95;94;95;320;0;0;
2026/01/02;0700 UTC;0;982,7;982,8;982,5;;22,2;21,4;22,6;22,2;21,8;21,3;95;95;95;239;0;0;
2026/01/02;0800 UTC;0;982,9;982,9;982,7;;22;21,2;22,3;22;21,6;21,2;96;95;95;243;0;0;
2026/01/02;0900 UTC;0;983,5;983,5;982,9;;21,6;20,8;22;21,6;21,2;20,8;95;95;95;307;0;0;
2026/01/02;1000 UTC;0;984,1;984,1;983,5;110,9;22,8;22,1;22,8;21,6;22,1;20,8;96;95;96;181;0;0;
2026/01/02;1100 UTC;0;984,5;984,5;984;412,4;26,1;23,9;26,1;22,8;23,9;22,1;96;88;88;67;0;0;
2026/01/02;1200 UTC;0;985,4;985,4;984,5;1477,5;28,2;23,2;28,5;26,1;24,2;22,6;88;73;74;7;0;0;
2026/01/02;1300 UTC;0;985,6;985,6;985,4;1971,3;29,3;22,9;30,4;28;24,3;22,8;75;67;68;33;0;0;
2026/01/02;1400 UTC;0;985,6;985,8;985,6;1188,8;28,6;22,9;30,1;27,9;23,9;22,7;75;68;71;360;,6;0;
2026/01/02;1500 UTC;,4;985,3;985,6;985,3;617,7;27,8;24,1;28,6;27;24,4;22,9;85;71;80;6;2,4;0;
2026/01/02;1600 UTC;0;984,2;985,3;984,2;1479,4;29,2;24;29,7;27,8;25;23,5;80;71;74;1;0;0;
