REGIAO:;N
UF:;TO
ESTACAO:;LAGOA DA CONFUSAO
CODIGO (WMO):;A055
LATITUDE:;-10,828286
LONGITUDE:;-49,847882
ALTITUDE:;178
DATA DE FUNDACAO:;15/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;990,7;990,7;989,5;;25,4;21,5;26,6;25,4;21,5;21,2;79;73;79;314;,7;,3;
2026/01/01;0100 UTC;;991,3;991,3;990,7;;24,9;21,7;25,7;24,9;21,9;21,6;82;79;82;108;,9;,4;
2026/01/01;0200 UTC;;991,8;991,8;991,3;;24,6;22;24,9;24,5;22;21,6;86;82;86;254;1,2;,5;
2026/01/01;0300 UTC;;991,5;991,8;991,5;;24,1;21,9;24,7;24,1;22,1;21,8;87;86;87;247;1;,2;
2026/01/01;0400 UTC;;990,8;991,5;990,7;;23,9;21,9;24,2;23,8;22,1;21,8;89;87;89;;;;
2026/01/01;0500 UTC;;989,9;990,7;989,9;;23,4;21,7;23,9;23,4;21,9;21,6;90;89;90;159;,6;,3;
2026/01/01;0600 UTC;;989,5;989,9;989,4;;23,3;21,8;23,4;23;21,9;21,4;91;90;91;255;1;,5;
2026/01/01;0700 UTC;;989,2;989,5;989,2;;22,9;21,5;23,4;22,9;21,9;21,4;92;91;92;169;1;,4;
2026/01/01;0800 UTC;;989,6;989,6;989,2;;22,5;21,2;22,9;22,5;21,5;21,2;92;92;92;97;1;,3;
2026/01/01;0900 UTC;;990,4;990,4;989,6;;22,8;21,7;22,8;22,3;21,7;21;93;92;93;348;3,8;1,1;
