REGIAO:;SE
UF:;ES
ESTACAO:;SAO MATEUS
CODIGO (WMO):;A616
LATITUDE:;-18,6761111
LONGITUDE:;-39,86416666
ALTITUDE:;28,66
DATA DE FUNDACAO:;25/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;1009,2;1009,2;1008,7;0;26,2;23,7;26,2;26,1;23,7;23,5;86;86;86;45;8,8;4;
2026/01/01;0100 UTC;0;1009,9;1009,9;1009,2;0;26,2;23,8;26,3;26,1;23,8;23,7;87;86;87;45;7;3,2;
2026/01/01;0200 UTC;0;1009,8;1010;1009,8;0;25,6;22,9;26,2;25,6;23,8;22,9;87;84;85;19;6,6;2,1;
2026/01/01;0300 UTC;0;1009,1;1009,8;1009;0;25,1;22,9;25,6;25,1;23;22,9;88;85;88;30;5,8;2,5;
2026/01/01;0400 UTC;0;1008,6;1009,1;1008,6;0;24,9;23,1;25,1;24,9;23,1;22,9;89;88;89;22;5,7;2,4;
2026/01/01;0500 UTC;0;1008,1;1008,6;1008,1;0;24,6;22,9;25;24,5;23,1;22,9;91;89;91;35;5,6;1,9;
2026/01/01;0600 UTC;0;1007,8;1008,1;1007,8;0;24,1;22,8;24,6;24;23;22,7;92;91;92;35;4;1,5;
2026/01/01;0700 UTC;0;1007,9;1008;1007,8;0;24,3;22,8;24,4;24;22,9;22,6;92;91;91;15;4;1,9;
2026/01/01;0800 UTC;0;1008,5;1008,5;1007,9;0;24,2;22,9;24,3;24,1;22,9;22,8;93;91;93;10;4;,9;
2026/01/01;0900 UTC;0;1008,9;1009;1008,5;128;24,6;23,2;24,6;24,1;23,2;22,9;93;92;92;23;3,2;1,8;
2026/01/01;1000 UTC;0;1009,1;1009,1;1008,8;979;26,8;23,5;26,9;24,6;23,8;23,2;92;81;82;21;6,1;2,1;
2026/01/01;1100 UTC;0;1009,4;1009,4;1009,1;1688,9;27,9;23,4;28;26,7;23,8;22,8;82;75;77;30;6,4;3;
2026/01/01;1200 UTC;0;1009;1009,4;1008,9;1816,9;28,5;23;29,1;27,7;23,8;22,4;77;70;72;8;7,9;3,4;
2026/01/01;1300 UTC;0;1008,9;1009,3;1008,9;3260,9;30,8;22,7;31,4;28,5;23,6;22,2;72;61;62;27;7,9;3,3;
2026/01/01;1400 UTC;0;1008;1008,9;1008;2819,6;32,1;22,9;32,1;30;23,6;22,2;65;58;58;17;7,6;2,6;
2026/01/01;1500 UTC;0;1007,2;1008,1;1007,2;2715,3;31,7;24,7;32,8;30,7;24,7;22,1;67;56;67;58;6,3;2,9;
2026/01/01;1600 UTC;0;1006,3;1007,2;1006,3;3279,4;32,5;24,3;32,7;31,3;24,7;23,4;67;60;62;72;7,5;4,6;
2026/01/01;1700 UTC;0;1005,4;1006,4;1005,4;3120,3;31,8;23,7;32,8;31,4;24,6;23,3;65;60;62;73;8,5;5,2;
2026/01/01;1800 UTC;0;1004,3;1005,4;1004,3;2615,1;31,2;23,4;31,9;30,8;24;22,9;65;61;63;60;9,1;4,7;
