REGIAO:;SE
UF:;MG
ESTACAO:;MONTES CLAROS
CODIGO (WMO):;A506
LATITUDE:;-16,68638888
LONGITUDE:;-43,84388888
ALTITUDE:;645,87
DATA DE FUNDACAO:;19/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;940,8;940,8;940,5;;23,8;18,4;24;23,4;18,6;18;74;69;72;237;2,8;1,1;
2026/01/01;0100 UTC;0;941,1;941,2;940,7;;23,5;18,7;24,3;23,5;19,2;18,4;75;71;75;303;1,9;,6;
2026/01/01;0200 UTC;0;940,8;941,3;940,8;;22,3;19,7;23,5;22,3;19,8;18,6;85;75;85;5;1,8;,9;
2026/01/01;0300 UTC;0;940,1;940,8;940,1;;22,6;19,9;22,7;22,3;20,1;19,5;86;83;85;267;2,5;,9;
2026/01/01;0400 UTC;0;939,5;940,1;939,5;;21,9;19,8;22,8;21,7;20,2;19,5;89;85;88;248;2;,1;
2026/01/01;0500 UTC;0;939,1;939,5;939;;21,8;19,5;22,2;21,5;19,9;19,3;88;86;87;240;2,3;,9;
2026/01/01;0600 UTC;0;939,2;939,2;939;;21,1;19,1;21,9;21,1;19,5;19;88;85;88;304;2;,9;
2026/01/01;0700 UTC;0;939,1;939,2;939,1;;21,1;18,6;21,7;21,1;19,1;18,6;88;85;86;303;1,7;,4;
2026/01/01;0800 UTC;0;939,3;939,4;939,1;;21;18,7;21,4;20,8;19,3;18,5;88;86;86;265;1,4;,6;
2026/01/01;0900 UTC;0;940;940;939,3;37,2;20,9;19;21;20,2;19;18,3;91;86;89;291;1,4;,7;
2026/01/01;1000 UTC;0;940,5;940,5;940;437;22,9;19,5;22,9;20,9;19,5;18,6;89;77;81;239;2;1;
2026/01/01;1100 UTC;0;940,7;940,7;940,4;1080,1;25,6;17,6;25,8;22,9;20;17,5;82;61;61;292;2;1,1;
2026/01/01;1200 UTC;,2;941;941,1;940,7;2275,5;29,2;17,6;29,2;25,6;18,7;16,4;64;48;50;104;2,6;,5;
2026/01/01;1300 UTC;0;940,9;941,1;940,9;2938,1;30,2;16,4;30,2;29;17,1;15,4;50;41;43;337;3,8;1,4;
2026/01/01;1400 UTC;0;940,2;940,9;940,2;3403,4;30,6;16,3;31,2;29,9;17;15,5;44;40;42;320;4;1,7;
2026/01/01;1500 UTC;0;939;940,2;939;3644;33,2;16,6;33,2;30,6;17,4;15,7;43;37;37;29;4,5;1,9;
2026/01/01;1600 UTC;0;938,1;939;938,1;3623,5;33,8;14,8;33,9;32,5;16,6;14,8;38;32;32;360;4,5;1,8;
2026/01/01;1700 UTC;0;936,9;938,1;936,9;3413,5;34,1;15,6;34,8;33,2;16;14,3;35;30;33;310;6,3;2,3;
2026/01/01;1800 UTC;0;936,8;936,9;936,3;2481,7;31,5;15;34,6;31,5;17,2;14,8;39;32;37;279;10,3;2,8;
2026/01/01;1900 UTC;0;936,5;937,1;936,5;342,9;27;16,8;31,5;26,9;17,2;15,3;55;37;54;285;10,3;2,3;
2026/01/01;2000 UTC;0;936,2;936,5;936,1;399,7;27,1;16,7;27,2;26,5;17,1;15,9;55;51;53;261;6,6;1,5;
2026/01/01;2100 UTC;0;936,8;937;936,2;216,3;27,3;17,7;27,6;27,1;17,8;16,8;56;52;56;3;3,6;,1;
2026/01/01;2200 UTC;0;937,4;937,4;936,8;15,8;26,1;18,1;27,3;26,1;18,5;17,8;63;56;61;290;1,7;,1;
2026/01/01;2300 UTC;0;937,9;937,9;937,4;;25,8;18,7;26,6;25,8;18,8;17,7;65;59;65;270;3;1,3;
2026/01/02;0000 UTC;0;938,2;938,3;937,8;;24,7;19;25,9;24,7;19,1;18,7;70;65;70;301;2,4;1,6;
2026/01/02;0100 UTC;0;938,9;939;938,2;;24,8;18,7;25,6;24,7;19,2;18,6;71;66;69;325;2,8;,8;
2026/01/02;0200 UTC;0;938,8;939;938,7;;24;18,9;24,8;23,9;19,1;18,7;75;69;73;295;2,3;,8;
2026/01/02;0300 UTC;0;938,3;938,8;938,2;;23,6;18,7;24,6;23,5;19,1;18,6;74;70;74;304;2,7;,9;
2026/01/02;0400 UTC;0;938,1;938,3;938;;24,1;18,8;24,1;23;19,5;18,5;80;73;73;234;1,8;1;
2026/01/02;0500 UTC;0;937,1;938,1;937,1;;23,3;18,7;24,1;23,2;18,9;18,6;76;72;75;342;2,1;,1;
2026/01/02;0600 UTC;0;937;937,2;937;;22,4;20;23,3;22;20,1;18,5;87;75;87;271;2,2;,5;
2026/01/02;0700 UTC;0;936,6;937;936,6;;21,7;19,6;22,7;21,7;20,1;19,6;88;85;88;302;2,5;,9;
2026/01/02;0800 UTC;0;936,9;936,9;936,5;;22;19,7;22,2;21,7;19,8;19,4;88;85;86;234;1,6;,6;
2026/01/02;0900 UTC;0;937,9;937,9;936,9;36,1;21,9;19,6;22,2;21,5;19,7;19,2;87;86;86;307;1,6;,7;
2026/01/02;1000 UTC;0;938,4;938,5;937,9;314,9;23,6;19,7;23,6;21,9;20,1;19,4;86;79;79;110;2,2;,5;
2026/01/02;1100 UTC;0;938,9;938,9;938,3;1344,8;26,3;17,5;26,4;23,6;19,6;17,3;78;59;59;263;2;,7;
2026/01/02;1200 UTC;0;938,9;939;938,8;2209,1;29,6;18;29,6;26,3;18,1;16,8;58;50;50;38;2,7;,5;
2026/01/02;1300 UTC;0;938,7;939;938,7;2916,7;31,4;18,3;31,5;28,8;18,5;16,9;51;44;46;237;4,3;1,9;
2026/01/02;1400 UTC;0;937,9;938,7;937,9;3183,4;30,9;17,6;32,7;30,7;18,1;15,9;46;38;45;310;4,7;2,1;
2026/01/02;1500 UTC;0;937,1;937,9;937,1;2898,3;33,5;16,7;33,5;30,8;18,5;15,8;47;36;37;299;5,5;1,4;
2026/01/02;1600 UTC;0;935,5;937,1;935,5;3433,3;33,8;16;34;32,8;17,9;14,9;40;32;35;302;6,7;2,2;
2026/01/02;1700 UTC;0;934,5;935,5;934,5;2689,4;33,4;14,4;35;33,4;15,6;13,1;34;28;32;299;6,7;2,4;
2026/01/02;1800 UTC;0;933,3;934,5;933,3;2048,5;34;14,3;34,7;33,2;15,7;13,8;34;29;31;302;5,1;2,2;
2026/01/02;1900 UTC;0;932,3;933,3;932,3;2398,5;34,5;14,3;35,4;34;15,1;13,8;31;28;30;298;6,2;3,2;
2026/01/02;2000 UTC;0;932,4;932,5;932,2;1640,3;34,4;14,7;35,1;34,3;15,3;14;32;29;31;268;6,3;2,7;
2026/01/02;2100 UTC;0;933,1;933,1;932,4;852,5;29,4;17,1;35;29,4;17,6;13,9;48;29;48;53;9,1;3,6;
2026/01/02;2200 UTC;0;934,3;934,3;933,1;74,9;27,7;17,6;29,4;27,7;17,7;16,4;54;47;54;53;7;2,1;
2026/01/02;2300 UTC;0;935,2;935,3;934,3;;27,4;18,4;27,7;27;18,5;17,6;59;54;58;99;3,9;,6;
2026/01/03;0000 UTC;0;935,5;935,6;935,1;;26,4;18,7;27,5;26,4;18,8;18,4;63;58;63;51;2,7;1,2;
2026/01/03;0100 UTC;0;935,7;936;935,5;;25,5;19,4;26,4;25,4;19,5;18,8;69;63;69;122;3;,3;
2026/01/03;0200 UTC;0;936,2;936,2;935,7;;24,6;19,3;25,9;24,6;19,4;19;72;66;72;302;2;1,3;
2026/01/03;0300 UTC;0;936,1;936,3;936,1;;24,5;19,6;24,8;23,9;19,6;19,1;77;72;74;274;2,4;1,4;
2026/01/03;0400 UTC;0;935,7;936,1;935,7;;25,3;18,4;25,5;24,5;19,5;18,2;74;64;66;142;2,6;,2;
2026/01/03;0500 UTC;0;935,3;935,8;935,2;;24,8;16,9;25,3;24,1;18,5;16,9;71;61;61;320;1,6;,1;
2026/01/03;0600 UTC;0;936,2;936,2;935,3;;25,3;16,9;25,5;24,5;17,2;16,6;63;59;60;323;5,8;2,3;
2026/01/03;0700 UTC;0;936,1;936,3;936;;24,5;17,5;25,3;24,5;17,5;16,8;65;60;65;245;5,8;2;
2026/01/03;0800 UTC;0;936,6;936,6;936,1;;24,3;18,4;24,6;23,9;18,4;17,6;71;65;70;162;5,4;,3;
2026/01/03;0900 UTC;0;937,7;937,7;936,6;16,6;22,9;20,3;24,3;22,8;20,4;18,1;86;70;85;55;3,5;2,2;
2026/01/03;1000 UTC;0;938,4;938,4;937,7;263,7;23,3;20,4;23,3;22,6;20,5;20,3;87;84;84;60;5,9;2;
2026/01/03;1100 UTC;0;939,3;939,3;938,3;602,6;24;20,7;24,1;23,2;20,7;20,1;84;80;82;49;6;3,1;
2026/01/03;1200 UTC;0;940;940;939,3;890;24,6;19,5;24,7;23,9;20,8;19,3;82;73;73;50;6,7;4,1;
