REGIAO:;SE
UF:;MG
ESTACAO:;TIMOTEO
CODIGO (WMO):;A511
LATITUDE:;-19,57388888
LONGITUDE:;-42,62249999
ALTITUDE:;493,42
DATA DE FUNDACAO:;22/02/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;957,1;957,2;956,7;;27,5;19,2;27,7;27;20,1;19;65;60;60;51;4;1,6;
2026/01/01;0100 UTC;0;957,7;957,7;957,1;;26,8;19,1;27,8;26,8;19,1;18,7;63;58;63;51;3,9;,8;
2026/01/01;0200 UTC;0;957,7;957,8;957,6;;25,1;19,4;26,8;23,9;19,6;18,8;76;63;71;26;1,8;0;
2026/01/01;0300 UTC;0;957,4;957,7;957,4;;24,6;19,6;25,1;24;20;19,3;76;71;74;54;,8;0;
2026/01/01;0400 UTC;0;956,5;957,4;956,5;;24;19,3;24,9;23,8;19,6;19,1;75;72;75;51;,9;0;
2026/01/01;0500 UTC;0;956,1;956,5;956,1;;22,9;19,7;24;22,6;19,7;19,1;82;75;82;31;,6;0;
2026/01/01;0600 UTC;0;956;956,3;956;;23,3;19,9;23,4;22,6;20,2;19,3;84;80;81;38;1,5;0;
2026/01/01;0700 UTC;0;956,1;956,2;956;;24,2;19,6;25,1;23,3;20,4;19,5;81;74;75;43;5,1;2;
2026/01/01;0800 UTC;0;956,7;956,7;956,1;;23,9;19,8;24,3;23,9;19,8;19,6;78;75;78;47;5,3;2,3;
2026/01/01;0900 UTC;0;957,3;957,3;956,7;83,4;23,7;20,1;24;23,6;20,1;19,8;81;78;80;37;5,5;1,6;
2026/01/01;1000 UTC;0;957,6;957,6;957,3;526,3;24,3;20,3;24,3;23,6;20,5;20,1;81;78;79;33;5,5;1,6;
2026/01/01;1100 UTC;0;957,9;958;957,6;980,3;25,1;20,5;25,1;24,2;20,8;20,2;79;75;76;36;3,8;,9;
2026/01/01;1200 UTC;0;958;958,1;957,9;2544,5;27,1;21,1;27,1;24,9;21,6;20,1;76;68;70;44;4,3;,8;
2026/01/01;1300 UTC;0;957,7;958;957,7;2513,7;28,2;20,8;28,4;26,8;21,7;20,3;70;63;64;42;4,4;1,5;
2026/01/01;1400 UTC;0;956,9;957,7;956,9;2479,1;30,3;21,4;30,3;27,8;21,9;20,3;67;59;59;35;5,5;1,7;
2026/01/01;1500 UTC;0;956;956,9;956;1244,5;30,7;21,1;31,8;29,2;22,3;20,2;61;54;57;38;5,9;1,6;
2026/01/01;1600 UTC;0;954,9;956;954,9;931,8;32,2;21;32,8;30,3;22,3;20,5;59;50;52;42;6,5;1,6;
2026/01/01;1700 UTC;0;953,6;954,9;953,6;255,7;32,8;20,5;33,8;32,2;22,1;20;53;46;48;47;5,1;1,6;
2026/01/01;1800 UTC;0;953;953,6;952,8;1876,6;30,7;20,4;33,7;30,6;21,8;20;55;47;54;47;5,1;1;
2026/01/01;1900 UTC;1,8;953,3;953,9;952,4;296;22,4;19,4;30,7;22,4;21,8;18,5;83;54;83;50;9;1;
2026/01/01;2000 UTC;1,2;952,9;954,4;952,9;52,2;21,8;18,4;22,7;21,7;20,7;18,1;89;79;81;63;8,3;1,2;
2026/01/01;2100 UTC;0;952,7;953,2;952,7;30,7;22,4;18,8;22,4;21,3;19,1;18,1;87;79;80;66;2,4;1;
2026/01/01;2200 UTC;0;953,7;953,7;952,7;6,8;22,8;19,4;23,6;22;19,9;18,5;86;74;81;44;2;,2;
2026/01/01;2300 UTC;0;955;955;953,7;1,6;22,9;19,7;23,7;22,3;19,9;19;86;77;82;61;1,8;,2;
2026/01/02;0000 UTC;13,6;955,7;956,5;955;1,6;21,1;19;25,3;21,1;19,7;19;89;68;88;32;6,1;2,4;
2026/01/02;0100 UTC;0;955,7;955,8;955,5;1,4;21,9;19,5;22,6;21,1;20;19,1;89;83;86;16;5,4;,8;
2026/01/02;0200 UTC;0;955,5;955,8;955,5;1,2;22,2;19,6;22,6;21,6;19,7;19,3;87;83;85;43;4,2;1,2;
2026/01/02;0300 UTC;0;954,7;955,5;954,7;;21,8;19,5;22,3;21,5;19,7;19,4;88;85;87;13;3,1;,2;
