REGIAO:;SE
UF:;MG
ESTACAO:;OURO BRANCO
CODIGO (WMO):;A513
LATITUDE:;-20,55666666
LONGITUDE:;-43,75611111
ALTITUDE:;1048,2
DATA DE FUNDACAO:;28/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;898,1;898,1;897,3;;23,8;20,3;24,5;23,6;20,3;19,9;81;77;81;124;2,9;1,2;
2026/01/01;0100 UTC;0;898,6;898,7;898,1;;23,4;20,9;24;23,1;20,9;19,9;86;79;86;328;2,5;,5;
2026/01/01;0200 UTC;0;898,6;898,8;898,6;;22,8;20,7;23,7;22,8;20,9;20,4;88;83;88;84;2,1;0;
2026/01/01;0300 UTC;0;898,1;898,7;898,1;;21,3;20,5;22,8;21,3;20,7;20,1;95;88;95;256;1,4;,6;
2026/01/01;0400 UTC;0;897,6;898,1;897,5;;21,7;20,8;21,7;21,2;21;20,4;96;95;95;342;3,3;1,4;
2026/01/01;0500 UTC;0;896,8;897,6;896,8;;21,7;20,6;21,7;21,3;20,8;20,3;95;93;93;347;3,5;1;
2026/01/01;0600 UTC;,2;897,3;897,3;896,7;;20,7;20;22,1;20,7;20,8;19,8;96;91;96;312;5,2;1,6;
2026/01/01;0700 UTC;,2;896,2;897,3;896,2;;20,9;20;22;20,6;21;19,8;96;93;95;30;3,8;2,1;
2026/01/01;0800 UTC;0;896,6;896,6;896,2;;19,6;18,5;20,9;19,6;19,8;18,4;95;91;93;302;3,9;2,3;
2026/01/01;0900 UTC;0;897,1;897,1;896,6;71,4;20,8;19,1;20,9;19,6;19,3;18,1;93;90;90;343;5,1;2,2;
2026/01/01;1000 UTC;0;897,5;897,5;897,1;566,5;23,1;20,4;23,1;20,8;20,5;19;90;85;85;342;4,5;2,2;
2026/01/01;1100 UTC;0;897,9;897,9;897,5;1443,5;25,7;20,2;26,1;23,1;21;19,9;85;72;72;271;5,4;1,6;
2026/01/01;1200 UTC;0;897,9;897,9;897,8;2100,5;27,5;21,4;28;25,4;22,1;20;76;68;69;280;4,4;1,6;
2026/01/01;1300 UTC;0;897,7;897,9;897,7;2723,3;28,2;21;29,1;26,8;22,5;20,7;71;65;65;272;6,8;2,2;
2026/01/01;1400 UTC;0;897,4;897,7;897,3;3292,2;29,8;21,1;30,4;27,9;21,9;19,8;68;56;60;282;7,5;2,7;
2026/01/01;1500 UTC;0;896,6;897,4;896,6;3612,6;30,7;19,9;30,9;28,7;21,5;19,1;61;50;53;304;7,9;3,1;
2026/01/01;1600 UTC;0;895,9;896,6;895,9;3818,5;32,1;20,2;32,2;30,1;21,5;19,2;55;49;49;280;9;3,2;
2026/01/01;1700 UTC;0;894,7;895,9;894,7;3702,6;32,2;20,2;32,8;30,2;21,3;18,3;53;46;49;275;7,5;3,3;
2026/01/01;1800 UTC;0;893,9;894,7;893,9;2992,3;32,1;20,1;32,9;30,9;21,4;18,6;54;44;49;265;7,6;3,8;
2026/01/01;1900 UTC;,8;894;894;893,6;1127,1;23,5;20,1;32;23,5;21,3;18,4;81;48;81;206;11,3;1,8;
2026/01/01;2000 UTC;,2;893,8;894;893,4;1150,1;27,7;21,2;27,7;23,5;22,7;19,6;84;64;68;264;5,7;,6;
