REGIAO:;SE
UF:;MG
ESTACAO:;BELO HORIZONTE - PAMPULHA
CODIGO (WMO):;A521
LATITUDE:;-19,88388888
LONGITUDE:;-43,96944443
ALTITUDE:;854,02
DATA DE FUNDACAO:;10/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;917,7;917,7;916,7;;25;18,2;25,9;25;19,3;18,2;68;65;66;32;5,2;,3;
2026/01/01;0100 UTC;0;918,3;918,3;917,7;;24,3;18,9;25,2;24,3;19,1;18,1;73;66;72;340;1,5;,1;
2026/01/01;0200 UTC;,2;918,5;918,6;918,2;;23;20,5;24,4;23;20,5;18,5;85;70;85;113;3,7;,2;
2026/01/01;0300 UTC;1,8;917,8;918,5;917,8;;22,9;21;23;22,4;21,1;20,3;90;85;89;246;3,2;1,2;
2026/01/01;0400 UTC;0;917,7;917,9;917,4;,9;21,6;19,5;22,9;21,6;20,9;19,5;89;86;88;243;4,7;1,1;
2026/01/01;0500 UTC;,2;916,7;917,8;916,7;;21,3;18,7;21,7;21,1;19,7;18,7;89;84;85;188;6,7;,7;
2026/01/01;0600 UTC;0;916,4;916,9;916,4;;21;19,1;21,3;20,7;19,1;18,4;89;85;89;151;2,5;,7;
2026/01/01;0700 UTC;0;916,4;916,4;916,3;;20,5;19;21;20,5;19,2;18,8;91;89;91;285;1,8;,5;
2026/01/01;0800 UTC;0;916,4;916,5;916,3;;20,8;18,8;20,9;20,2;19,3;18,4;91;89;89;326;1,2;0;
2026/01/01;0900 UTC;0;917,1;917,1;916,4;52,6;20,9;18,9;21,1;20,2;19;18,1;89;87;88;249;2,2;,6;
