REGIAO:;SE
UF:;MG
ESTACAO:;SACRAMENTO
CODIGO (WMO):;A525
LATITUDE:;-19,87527777
LONGITUDE:;-47,43416666
ALTITUDE:;913,12
DATA DE FUNDACAO:;19/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;912,6;912,6;912,1;;24,6;17,9;25,2;24,5;18,4;17,9;67;65;66;53;4,2;1;
2026/01/01;0100 UTC;;913,2;913,4;912,6;;23,9;18,7;24,8;23,9;18,8;17,9;73;66;73;83;4,2;1,5;
2026/01/01;0200 UTC;;914,1;914,2;913,1;;22,2;18,7;23,9;22,2;18,7;17,9;80;72;80;291;9,4;2,1;
2026/01/01;0300 UTC;;913,3;914,1;913,3;,4;21,2;18,9;22,2;20,9;19,8;18,5;91;80;87;227;5,1;1,7;
2026/01/01;0400 UTC;;912,8;913,4;912,7;;20,5;18,3;21,1;20,5;19,2;18,3;90;87;87;91;3,1;,3;
2026/01/01;0500 UTC;;912,4;912,8;912,3;;20,3;18,5;20,8;20,3;18,9;18,3;90;87;89;61;1,6;,1;
2026/01/01;0600 UTC;;911,8;912,4;911,8;;20;18,5;20,5;19,9;18,8;18,4;91;89;91;135;2,8;,6;
2026/01/01;0700 UTC;;911,3;911,8;911,3;;19,7;18,2;20;19,6;18,6;18,1;92;91;91;145;2,5;0;
2026/01/01;0800 UTC;;911,6;911,6;911,3;;19,5;18,1;19,8;19,4;18,4;18;92;91;92;62;2,4;,8;
2026/01/01;0900 UTC;;911,8;911,8;911,5;12,3;19,7;18,2;19,7;19,1;18,2;17,7;92;91;91;73;2,4;,4;
2026/01/01;1000 UTC;;912,2;912,2;911,8;143,7;20,7;18,6;20,7;19,7;18,9;18,1;91;88;88;162;2,2;,1;
2026/01/01;1100 UTC;;912,3;912,3;912,1;907,9;23,4;20,4;23,4;20,7;20,4;18,6;88;81;83;21;2;1,1;
2026/01/01;1200 UTC;;912,5;912,5;912,3;1874,8;26,2;19,7;26,3;23,4;20,9;19,6;83;67;68;275;2,3;,4;
2026/01/01;1300 UTC;;912,8;912,8;912,5;2842,7;28,9;19,8;28,9;26,2;20,5;18,7;68;55;58;294;4,8;1,7;
2026/01/01;1400 UTC;;912,5;912,8;912,5;3411,9;29,1;20;30,7;28,4;20,5;18,4;60;52;58;244;6,5;2,8;
2026/01/01;1500 UTC;;911,5;912,5;911,5;3423,1;30,3;20,6;30,5;28,7;21,1;19,2;59;53;56;233;6,4;2,5;
2026/01/01;1600 UTC;;910,7;911,5;910,7;3405,1;30,3;19,8;31,5;29,5;21,5;18,9;58;50;54;255;7,4;2,8;
2026/01/01;1700 UTC;;909,8;910,7;909,8;3130,6;30,4;19,7;32,2;30;20,8;18,6;55;45;53;251;8;3;
2026/01/01;1800 UTC;;908,8;909,8;908,8;1362,9;29,4;18,1;30,8;29,2;19,9;18;55;49;51;229;7,5;3,2;
2026/01/01;1900 UTC;;908,5;908,9;908,4;1455,9;30;18,4;30;29,3;19,3;18;54;50;50;204;5,6;1,8;
2026/01/01;2000 UTC;;908,8;909;908,3;1105,4;26,3;17,8;30,6;26,1;19,5;17,5;61;48;60;21;8,6;2,5;
2026/01/01;2100 UTC;;908,7;908,8;908,6;639,3;26,2;17,8;26,4;25,9;18,2;17,6;62;59;60;22;5,9;1,3;
2026/01/01;2200 UTC;;909;909,1;908,7;118,3;24,5;18,1;26,2;24,4;18,1;17,6;68;59;68;33;4,8;1,8;
2026/01/01;2300 UTC;;909,1;909,1;909;;23,7;18,2;24,5;23,6;18,3;17,8;72;67;71;59;4,7;1,7;
2026/01/02;0000 UTC;;910;910;909,1;;23,5;18,2;23,9;23,5;18,3;18;72;70;72;39;3,4;1,5;
2026/01/02;0100 UTC;;910,6;910,6;909,9;;23,4;18,1;23,8;23,4;18,3;18,1;73;71;72;42;5;2,3;
2026/01/02;0200 UTC;;911,1;911,3;910,6;;22,9;18,5;23,4;22,8;18,9;18,1;78;72;76;85;5,2;2,2;
2026/01/02;0300 UTC;;910,4;911,1;910,4;;21,6;18,8;23,3;21,3;19;17,3;85;69;84;50;8,1;1,2;
2026/01/02;0400 UTC;;910,5;910,8;910,4;1,7;22;19;22,6;21,6;19,4;18,8;86;81;83;255;5,8;2,2;
2026/01/02;0500 UTC;;909,9;910,6;909,8;,1;20,7;19,2;22;20,7;19,2;18,9;91;83;91;244;5,8;,8;
2026/01/02;0600 UTC;;909,4;910;909,4;,4;20,1;19;20,7;19,9;19,2;18,8;94;91;94;165;7,2;,2;
2026/01/02;0700 UTC;;909,1;909,4;909,1;;20,1;18,9;20,2;20;19,1;18,8;94;93;93;44;2,1;,6;
2026/01/02;0800 UTC;;908,8;909,1;908,8;;20,1;18,8;20,3;20;19,1;18,8;93;92;92;182;2,8;0;
2026/01/02;0900 UTC;;909,6;909,6;908,8;10,7;20,1;19;20,2;20;19,1;18,8;94;92;93;51;1,9;,3;
2026/01/02;1000 UTC;;910,1;910,1;909,6;203,8;20,7;19,3;20,8;20,1;19,5;19;93;92;92;32;2,3;,9;
2026/01/02;1100 UTC;;910,2;910,2;909,9;600,4;22,7;20;22,7;20,7;20,1;19,3;92;85;85;23;3,5;1,1;
2026/01/02;1200 UTC;;910,6;910,6;910,1;1594,3;25,1;19,9;25,1;22,7;20,7;19,6;85;72;73;330;4,1;1,7;
2026/01/02;1300 UTC;;910,5;910,6;910,5;2034,9;27,2;20,7;27,2;25,2;21,1;19,5;73;67;68;296;7,8;2,9;
2026/01/02;1400 UTC;;910;910,5;909,8;3395,4;27,1;20,8;29;27,1;21,5;19,8;69;60;69;270;12,6;2,7;
2026/01/02;1500 UTC;;908,8;910,1;908,8;2554,8;29,3;20,1;29,4;26;22,3;19,6;75;58;58;301;12,6;3;
2026/01/02;1600 UTC;;907,4;908,8;907,4;2645,4;30,4;20;30,8;27,9;21,6;19;63;52;54;279;7,5;2,3;
2026/01/02;1700 UTC;;906,5;907,4;906,5;2505,5;24,8;21,1;31,2;24,7;21,6;19,2;81;51;80;333;11;3,7;
2026/01/02;1800 UTC;;905,9;906,5;905,9;2774,3;30,7;18,5;30,7;24,7;21,8;17,7;81;47;48;269;9,6;2,8;
2026/01/02;1900 UTC;;905,8;906;905,8;2945;29,8;17,2;31,1;29,4;19;16,9;50;45;47;242;10,7;5,2;
2026/01/02;2000 UTC;;905,4;905,9;905,1;1905,6;29,9;17,1;30,9;29,4;18,5;16,6;50;45;46;262;10,2;3,2;
2026/01/02;2100 UTC;;905,7;905,7;905,3;602,7;27,7;18,5;29,9;27,7;18,6;17,1;58;46;57;248;9,6;1,1;
2026/01/02;2200 UTC;;907,6;907,6;905,6;34,6;20,7;19,2;27,7;20,7;20,2;18,5;91;57;91;258;12,2;4;
2026/01/02;2300 UTC;;907,9;907,9;907,6;;20,8;19,9;21;20,4;20,1;19,3;94;91;94;110;10,9;,2;
2026/01/03;0000 UTC;;908,7;909,1;907,9;;20,7;19,8;21,3;20,7;20,3;19,7;94;94;94;326;4,3;,3;
2026/01/03;0100 UTC;;909,2;909,2;908,6;;20,7;19,7;21;20,7;20,1;19,7;94;94;94;274;2,6;,6;
2026/01/03;0200 UTC;;908,5;909,4;908,5;;20,4;19,4;20,8;20,4;19,8;19,4;94;94;94;40;3,5;1,6;
2026/01/03;0300 UTC;;908,1;908,7;908,1;;20,4;19,4;20,5;20,4;19,5;19,4;94;94;94;23;3,2;1,1;
2026/01/03;0400 UTC;;907,9;908,1;907,9;;20,4;19,4;20,5;20,4;19,5;19,4;94;94;94;18;2,1;,8;
2026/01/03;0500 UTC;;907,4;907,9;907,4;;19,7;18,5;20,4;19,7;19,4;18,5;94;93;93;40;6,1;2,9;
2026/01/03;0600 UTC;;907,8;907,8;907,4;;19,7;18,5;19,7;19,5;18,5;18,3;93;93;93;40;6,1;1,3;
2026/01/03;0700 UTC;;907,9;908;907,8;;20;18,7;20;19,7;18,8;18,5;93;92;92;43;3,3;1,2;
2026/01/03;0800 UTC;;907,9;907,9;907,8;;20,3;18,9;20,3;19,9;18,9;18,7;93;92;92;25;3,9;1,4;
2026/01/03;0900 UTC;;908,1;908,2;907,9;11;20,2;18,7;20,3;20,1;18,9;18,6;92;91;91;14;3,1;,8;
2026/01/03;1000 UTC;;908,8;908,8;908,1;163,1;21,1;19,1;21,1;20,2;19,2;18,7;91;88;89;347;3,7;1,1;
2026/01/03;1100 UTC;;909,2;909,2;908,7;693,7;22,5;19,6;22,6;21,1;19,8;19,1;89;83;84;320;4,9;2,1;
2026/01/03;1200 UTC;;909,5;909,5;909,2;584,5;22,1;19,6;22,5;21,7;19,8;19,2;87;83;86;322;6,1;2,2;
2026/01/03;1300 UTC;;909,6;909,6;909,4;1215,2;24,3;20,2;24,3;22;20,2;19,3;86;77;78;271;5;1;
2026/01/03;1400 UTC;;909,4;909,6;909,4;1262,5;24,1;20;24,6;23,7;20;18,9;78;73;78;244;5,6;1,5;
2026/01/03;1500 UTC;;908,8;909,4;908,8;1955,6;25,8;19,7;26,2;24,1;20,8;19,1;79;67;69;300;6,6;2,3;
2026/01/03;1600 UTC;;908,2;908,9;908,2;2347,8;24,7;20,2;27,5;24,7;20,7;19,4;76;64;76;253;7,2;3,3;
2026/01/03;1700 UTC;;907,5;908,3;907,5;2579,7;25,6;19,9;27;22,8;22,3;19,4;88;67;71;235;7,2;3,1;
2026/01/03;1800 UTC;;907,1;907,5;907;744,6;24,2;21,1;25,8;24,2;21,4;19,9;83;71;83;302;6;2;
2026/01/03;1900 UTC;;906,2;907,1;906,2;1693,7;26,6;20;27,6;23,4;22,7;19,7;87;65;67;234;7,7;3,9;
2026/01/03;2000 UTC;;906,4;906,5;906,2;1359,5;26,2;19,8;28,4;26,2;21,4;18,9;70;60;68;255;8,9;2,1;
2026/01/03;2100 UTC;;906,5;906,6;906,2;386,2;25;20,3;26,4;25;20,5;19,8;75;68;75;67;5,6;,6;
2026/01/03;2200 UTC;;907,1;907,1;906,5;276,4;21,6;19,3;25,1;21;21;18,8;91;75;87;68;8,7;1,5;
2026/01/03;2300 UTC;;907,8;907,8;907,1;2,7;22;19,9;22;21,6;20;19,3;89;87;88;55;4,5;2;
2026/01/04;0000 UTC;;908,6;908,6;907,8;1,1;21,9;19,3;22,5;21,5;20,6;19,3;91;85;85;207;6,7;2,6;
2026/01/04;0100 UTC;;909,2;909,2;908,6;;20,7;19,2;21,9;20,7;19,7;19,2;92;85;91;59;5,9;2,7;
2026/01/04;0200 UTC;;909,7;909,7;909,2;1,8;20,6;19,1;20,8;20,6;19,2;18,9;91;89;91;31;4,8;1,3;
2026/01/04;0300 UTC;;909,6;909,7;909,6;,7;20,7;19,1;20,8;20,6;19,2;19;91;90;90;15;3,8;1,5;
2026/01/04;0400 UTC;;908,8;909,6;908,8;;20,4;18,9;20,7;20,4;19,2;18,9;92;90;91;52;4,7;1,8;
2026/01/04;0500 UTC;;908,2;908,8;908,2;;20,6;18,8;20,7;20,4;19;18,7;91;89;89;91;4,3;,7;
2026/01/04;0600 UTC;;907,9;908,2;907,9;;20,1;18,8;20,7;20;18,9;18,6;92;89;92;148;2,3;,1;
2026/01/04;0700 UTC;;907,7;907,9;907,6;;19,8;18,7;20,1;19,4;18,7;18,3;94;92;94;92;2;,2;
2026/01/04;0800 UTC;;908,3;908,3;907,7;;19,3;18,3;19,9;19,3;18,9;18,2;94;93;94;66;2,1;,6;
2026/01/04;0900 UTC;;908,8;908,8;908,3;13,1;19,5;18,5;19,5;19,3;18,5;18,3;94;94;94;57;2,6;,8;
2026/01/04;1000 UTC;;909,4;909,4;908,8;173;20,8;18,9;20,8;19,5;18,9;18,6;94;89;89;48;2,8;1,1;
2026/01/04;1100 UTC;;910;910;909,4;444,5;21,8;19,1;21,8;20,8;19,2;18,6;89;85;85;29;3,1;,6;
2026/01/04;1200 UTC;;910,3;910,3;909,9;1252,2;23,5;19,8;23,5;21,7;19,9;18,8;86;79;80;227;2,3;,7;
