REGIAO:;SE
UF:;MG
ESTACAO:;MARIA DA FE
CODIGO (WMO):;A531
LATITUDE:;-22,31444444
LONGITUDE:;-45,37305554
ALTITUDE:;1281,43
DATA DE FUNDACAO:;01/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;875,2;875,4;875,2;;18,6;18,6;18,6;18,4;18,6;18,4;100;100;100;78;0;0;
2026/01/01;0100 UTC;0;875,7;875,7;875,2;;18,3;18,3;18,7;18,3;18,7;18,3;100;100;100;355;0;0;
2026/01/01;0200 UTC;0;875,9;875,9;875,7;;18,2;18,2;18,8;18,2;18,8;18,2;100;100;100;136;,7;0;
2026/01/01;0300 UTC;0;875,4;875,9;875,4;;18;18;18,5;17,9;18,4;17,9;100;100;100;223;0;0;
2026/01/01;0400 UTC;0;874,8;875,5;874,8;;17,1;17,1;18;17,1;18;17,1;100;100;100;19;,5;0;
2026/01/01;0500 UTC;0;873,9;874,8;873,9;;16,5;;17,1;16,4;;;;;;127;,4;0;
2026/01/01;0600 UTC;0;873,8;874,1;873,8;;16,3;;16,9;16,3;;;;;;274;,5;0;
2026/01/01;0700 UTC;0;873,6;873,9;873,6;;16,2;;16,5;16,1;;;;;;202;,5;0;
2026/01/01;0800 UTC;0;873,5;873,6;873,4;;16,7;;16,7;16,2;;;;;;269;,5;0;
2026/01/01;0900 UTC;2;874,6;874,6;873,5;22,9;18,2;;18,2;16,5;;;;;;248;2,9;,6;
2026/01/01;1000 UTC;,2;874,4;874,6;874,1;229,1;19;;19;17,8;;;;;;301;2,9;0;
2026/01/01;1100 UTC;0;874,2;874,4;874,2;1274;21,5;;21,7;19;;;;;;162;2,7;,2;
2026/01/01;1200 UTC;0;874,3;874,3;874,2;2020,8;23,2;;23,5;21,5;;;;;;265;3,5;1,5;
2026/01/01;1300 UTC;0;874,8;874,8;874,3;3110,4;23,8;23,8;24,4;23,2;;;;;100;274;4,7;1,7;
2026/01/01;1400 UTC;,2;874,5;874,8;874,5;2796,5;25;23,1;25;23,3;23,8;22,4;100;87;89;261;3,4;1,1;
2026/01/01;1500 UTC;0;873,9;874,5;873,9;2588,4;25,1;22,4;25,6;24,3;23,3;20,9;90;79;85;278;5,3;1,5;
2026/01/01;1600 UTC;0;873,1;873,9;873,1;2428,3;26,2;23,5;26,7;25,1;23,7;21,8;87;80;85;287;5,6;2,2;
2026/01/01;1700 UTC;0;872,6;873,1;872,3;2306,2;23,3;21,8;27,3;23,3;24,3;21,7;91;77;91;332;6;1,9;
2026/01/01;1800 UTC;0;871,8;872,6;871,8;104,5;21;20,6;23,3;21;21,8;20,6;97;91;97;131;4,6;,4;
2026/01/01;1900 UTC;0;871,2;871,8;871,1;201,3;21,2;20,9;21,2;20,8;20,9;20,4;98;97;98;69;1,2;0;
2026/01/01;2000 UTC;0;870,9;871,2;870,9;1263,9;25;22,4;25;21,3;22,7;20,9;98;85;86;67;2,7;,8;
2026/01/01;2100 UTC;0;870,8;871;870,7;990,7;23,3;22,5;25,3;23,3;23,6;22;95;84;95;67;2,7;,1;
2026/01/01;2200 UTC;0;871,6;871,6;870,8;31,3;19,9;19,6;23,3;19,9;22,5;19,6;98;95;98;180;2,2;0;
2026/01/01;2300 UTC;0;872;872;871,5;;19,9;19,6;19,9;19,5;19,6;19,3;98;98;98;132;1,3;,2;
2026/01/02;0000 UTC;4,8;872,9;872,9;872;;18,2;17,9;20,4;18,1;20,2;17,9;99;98;99;192;4,5;,1;
2026/01/02;0100 UTC;1,4;873,2;873,2;872,8;;18,2;17,9;18,3;18,1;18,1;17,8;99;98;99;136;2;,2;
2026/01/02;0200 UTC;0;872,8;873,4;872,8;;17,8;17,6;18,2;17,8;17,9;17,6;99;98;99;116;1,7;0;
2026/01/02;0300 UTC;0;872,2;872,8;872,2;;17,4;17,2;17,8;17,3;17,6;17,2;99;99;99;215;,3;0;
2026/01/02;0400 UTC;,2;872;872,2;871,9;;17,3;17,1;17,5;17,1;17,3;16,9;99;99;99;243;,5;0;
2026/01/02;0500 UTC;0;871,6;872;871;;18;17,9;18;17,3;17,9;17,1;99;99;99;257;5,8;,8;
2026/01/02;0600 UTC;6,4;871,5;871,8;871,4;;17,9;17,7;18,1;17,9;18;17,7;99;99;99;205;6,6;1,9;
2026/01/02;0700 UTC;0;871,4;871,5;871,4;;17,8;17,6;17,9;17,7;17,7;17,5;99;99;99;348;3,9;,1;
2026/01/02;0800 UTC;1,6;871,5;871,6;871,4;;17,7;17,5;17,9;17,7;17,7;17,5;99;99;99;254;3,8;,7;
2026/01/02;0900 UTC;,2;871,8;871,8;871,4;23,2;17,4;17,2;17,8;17,4;17,6;17,2;99;99;99;128;3;,3;
2026/01/02;1000 UTC;,2;871,8;871,8;871,7;205,6;18,1;17,8;18,1;17,4;17,8;17,2;99;99;99;204;1,3;0;
2026/01/02;1100 UTC;0;871,6;871,9;871,6;780,3;20,3;20;20,5;18;20,2;17,8;99;98;98;79;1;,1;
2026/01/02;1200 UTC;0;871,6;871,8;871,6;2066;22,4;22;23,1;20,2;22,7;19,9;98;97;98;256;4,2;1,1;
2026/01/02;1300 UTC;0;871,8;871,9;871,6;2024,6;23,1;22,7;23,1;21,9;22,7;21,5;98;98;98;262;4,2;,8;
2026/01/02;1400 UTC;,2;871,7;871,9;871,7;2923,3;23,4;22;24,1;23;23,6;22;98;92;92;261;5,3;2;
2026/01/02;1500 UTC;0;871,2;871,7;871,2;2783,3;23,9;21,3;24,9;23,4;22,8;20,2;92;81;85;258;7;2,2;
2026/01/02;1600 UTC;0;870,4;871,2;870,4;1571,6;22,8;22,1;24,8;22,4;22,4;20,8;96;82;96;321;7,1;,4;
2026/01/02;1700 UTC;0;869,3;870,4;869,3;2857,4;25;21,8;25,1;22,8;22,5;19,7;96;78;82;294;5,5;1,5;
2026/01/02;1800 UTC;0;868,4;869,3;868,4;1613,1;24,7;21,6;25;23,6;22,7;20,7;90;79;83;285;5,4;1,1;
2026/01/02;1900 UTC;0;868,1;868,6;868,1;857,3;23,2;22,3;24,7;23,2;22,3;20,4;95;80;95;348;3,7;,1;
2026/01/02;2000 UTC;31;869,4;870,6;868,1;41,7;18,3;18,1;23,2;17,7;22,3;17,2;98;95;98;64;14,6;0;
2026/01/02;2100 UTC;3,6;869,2;869,4;869,1;37,5;18,6;18,4;18,6;18,2;18,4;17,9;99;98;99;210;2,2;,6;
2026/01/02;2200 UTC;1,2;869,5;869,5;869,2;20,3;18,5;18,3;18,7;18,5;18,5;18,3;99;98;99;274;2,2;0;
2026/01/02;2300 UTC;0;870;870;869,5;;18,1;17,9;18,6;17,9;18,3;17,7;99;99;99;175;0;0;
2026/01/03;0000 UTC;0;869,9;870,2;869,9;;18,1;17,9;18,1;17,9;17,9;17,7;99;99;99;129;0;0;
2026/01/03;0100 UTC;0;870,3;870,4;869,9;;18,4;18,1;18,4;18,1;18,2;17,9;99;99;99;13;,6;0;
2026/01/03;0200 UTC;,2;869,9;870,3;869,9;;18,1;17,9;18,4;18;18,2;17,8;99;99;99;71;1,4;0;
2026/01/03;0300 UTC;0;870;870,2;869,9;;17,8;17,6;18,2;17,8;18;17,6;99;99;99;91;,4;0;
2026/01/03;0400 UTC;0;869,7;870;869,7;;17,9;17,7;18,1;17,8;17,9;17,6;99;99;99;142;0;0;
2026/01/03;0500 UTC;0;869,3;869,7;869,2;;17,6;17,4;17,9;17,3;17,7;17,1;99;99;99;178;0;0;
2026/01/03;0600 UTC;0;869,3;869,3;869,2;;17,9;17,7;17,9;17,5;17,7;17,3;99;99;99;228;0;0;
2026/01/03;0700 UTC;0;869,5;869,6;869,2;;18;17,8;18;17,8;17,8;17,6;99;99;99;240;,7;0;
2026/01/03;0800 UTC;0;869,9;869,9;869,5;;18,1;17,9;18,1;17,9;17,9;17,7;99;99;99;313;,5;0;
2026/01/03;0900 UTC;0;870,3;870,3;869,9;35,4;18,2;18;18,2;18;18;17,8;99;99;99;101;,6;0;
2026/01/03;1000 UTC;0;870,6;870,6;870,2;321,5;19,1;18,8;19,2;18,1;18,9;17,9;99;98;99;266;,8;,1;
2026/01/03;1100 UTC;0;870,7;870,7;870,6;645,2;20;19,8;20,1;18,9;19,8;18,7;99;98;98;336;2,5;,4;
2026/01/03;1200 UTC;0;871,3;871,3;870,7;1204,7;20,9;20,6;21,2;20;20,9;19,8;98;98;98;261;3,6;1,2;
2026/01/03;1300 UTC;0;871,3;871,3;871,1;1755,1;22,5;22,1;22,6;20,4;22,2;20,1;98;98;98;265;4,8;2,3;
2026/01/03;1400 UTC;0;871,1;871,3;871;3273,3;24,3;22,9;24,3;22,1;23,8;21,8;98;92;92;245;4,9;2,2;
2026/01/03;1500 UTC;,2;870,9;871,1;870,9;2532;23,6;21,5;24,3;22,9;22,4;20,6;92;86;88;277;5,2;1,8;
2026/01/03;1600 UTC;0;870,5;870,9;870,5;3561,9;24,8;22,5;25,5;23,3;23;20,7;89;81;87;273;5,6;2,2;
2026/01/03;1700 UTC;0;869,6;870,5;869,6;2946;25,3;21,6;25,7;24,5;22,9;20,9;89;79;80;253;6,5;2;
2026/01/03;1800 UTC;0;869;869,6;869;2683,4;26,3;21,8;26,7;24,8;24;21;85;73;77;237;5,8;2,3;
2026/01/03;1900 UTC;0;868,4;869,1;868,4;1441,6;25,1;23,1;26,6;24,9;23,1;21,1;89;73;88;287;5,5;1,4;
2026/01/03;2000 UTC;0;868,3;868,4;868,2;1569,6;25,8;22,1;26,4;25,1;23,5;21,3;89;76;80;275;5,2;1,7;
2026/01/03;2100 UTC;3,8;869,2;869,2;868,3;411,7;19,6;19;25,9;19,6;23,2;19;96;80;96;146;5,3;2,4;
2026/01/03;2200 UTC;9,6;870,3;870,3;869,1;28,4;18,5;18,2;19,6;17,7;18,7;17,3;98;96;98;148;7,8;,4;
2026/01/03;2300 UTC;0;870,7;870,7;870;;17;16,9;18,5;17;18,3;16,8;99;98;99;53;2,9;0;
2026/01/04;0000 UTC;0;870,8;870,9;870,5;;16,4;16,2;17;16,4;16,9;16,2;99;99;99;88;,6;0;
2026/01/04;0100 UTC;,2;871,6;871,6;870,8;;15,9;15,7;16,6;15,7;16,5;15,5;99;99;99;225;1,1;,2;
2026/01/04;0200 UTC;0;872;872;871,6;;15,4;15,3;16,1;15,3;16;15,2;99;99;99;320;,9;0;
2026/01/04;0300 UTC;0;871,8;872;871,6;;15,2;15,1;15,8;14,9;15,7;14,8;99;99;99;190;1;,1;
2026/01/04;0400 UTC;0;871,4;871,8;871,4;;15;14,9;16,4;15;16,3;14,9;100;99;100;254;1,3;0;
2026/01/04;0500 UTC;0;871;871,4;871;;14,8;14,8;15,4;14,4;15,3;14,4;100;100;100;11;,9;0;
2026/01/04;0600 UTC;0;870,7;871,1;870,7;;15,1;15,1;16,2;14,8;16,2;14,8;100;100;100;201;,9;,1;
2026/01/04;0700 UTC;0;870,6;870,8;870,5;;14,5;14,5;15,7;14,3;15,7;14,3;100;100;100;306;,8;0;
2026/01/04;0800 UTC;0;870,7;870,8;870,6;;14,3;14,3;14,8;13,7;14,8;13,7;100;100;100;99;,6;0;
2026/01/04;0900 UTC;,2;871,7;871,7;870,7;54,7;14,5;14,5;14,6;14,2;14,6;14,2;100;100;100;116;,5;0;
2026/01/04;1000 UTC;0;872,2;872,2;871,7;446,4;17,3;17,3;17,5;14,5;17,5;14,5;100;100;100;87;,5;0;
2026/01/04;1100 UTC;0;872,5;872,5;872,2;1630,4;20,3;20,1;20,6;16,9;20,4;16,9;100;99;99;103;3,6;1,2;
2026/01/04;1200 UTC;0;873;873;872,5;1455,2;19,7;19,6;20,6;18,9;20,4;18,8;99;99;99;232;4;1,1;
2026/01/04;1300 UTC;0;873,2;873,2;872,9;2291,3;21,9;21,7;22,1;19,6;21,9;19,5;99;98;98;249;3,4;1,5;
2026/01/04;1400 UTC;0;873,2;873,3;873,1;1891,8;23,1;22,9;23,1;21,6;22,9;21,4;99;98;98;226;5,6;,7;
2026/01/04;1500 UTC;0;872,7;873,2;872,7;3912;24,6;20,5;25;23,1;23,2;19,9;99;75;78;240;5,3;1,7;
2026/01/04;1600 UTC;0;872,4;872,7;872,4;4070,4;24,7;21,9;25,4;24,2;22,9;20,3;88;78;85;351;5,6;1,2;
2026/01/04;1700 UTC;0;872;872,4;872;3620,4;25,2;21,6;26,2;24,7;23;20,3;87;73;81;209;4,8;1,6;
2026/01/04;1800 UTC;0;871,5;872;871,5;3313,1;26,2;20,9;26,7;24,9;23,1;20,8;84;71;72;213;4,6;1,7;
2026/01/04;1900 UTC;0;871,2;871,5;871,2;2562,9;26,2;20,7;26,9;26;22,7;20,1;80;68;72;207;4,1;1,7;
2026/01/04;2000 UTC;0;871,2;871,2;870,9;1620;25,8;22,2;26,6;25,5;23;20,3;82;69;81;159;3,4;1,3;
2026/01/04;2100 UTC;0;871,6;871,6;871,2;665,7;23;21,7;25,8;23;22,8;20,8;94;77;92;194;4;,9;
2026/01/04;2200 UTC;0;872,3;872,3;871,5;72,7;20,8;20,4;23;19,8;21,8;19,3;97;93;97;123;4,9;1,7;
2026/01/04;2300 UTC;0;873,2;873,3;872,3;;18,9;18,6;21;18,8;20,5;18,5;98;97;98;261;4,9;,2;
2026/01/05;0000 UTC;0;873,7;873,7;873,2;;18,7;18,5;19;17,8;18,7;17,6;99;98;99;65;5,2;,7;
2026/01/05;0100 UTC;0;874,3;874,3;873,6;;17,4;17,2;18,8;17,3;18,6;17,1;99;99;99;58;5,2;,2;
2026/01/05;0200 UTC;0;874,3;874,6;874,2;;16;15,8;17,6;16;17,5;15,8;99;99;99;37;2,1;,2;
2026/01/05;0300 UTC;0;874,2;874,4;874,2;;15,9;15,7;17,2;15,7;17;15,6;99;99;99;119;3,7;,1;
2026/01/05;0400 UTC;0;873,9;874,3;873,9;;15,3;15,2;16,5;15,3;16,4;15,2;99;99;99;206;2,4;0;
2026/01/05;0500 UTC;0;873,8;873,9;873,8;;15,5;15,3;15,6;14,8;15,4;14,7;99;99;99;154;2;,1;
2026/01/05;0600 UTC;0;873,6;873,8;873,5;;15,5;15,3;15,8;15,2;15,7;15,1;99;99;99;142;1,2;,4;
2026/01/05;0700 UTC;0;873,5;873,6;873,5;;15;14,9;16,2;15;16;14,9;99;99;99;231;1,1;0;
2026/01/05;0800 UTC;0;873,8;873,8;873,5;;15,4;15,2;15,9;14,7;15,7;14,5;99;99;99;318;2,7;0;
2026/01/05;0900 UTC;0;874,2;874,2;873,8;32,4;14,6;14,6;15,4;14,5;15,3;14,4;100;99;100;119;1;0;
2026/01/05;1000 UTC;0;874,5;874,5;874,2;361,6;18,3;18,3;18,3;14,6;18,3;14,6;100;100;100;322;2,8;,4;
2026/01/05;1100 UTC;0;874,9;874,9;874,5;1125,4;20,7;20,5;20,8;18,2;20,6;18,2;100;99;99;86;3,3;1,2;
2026/01/05;1200 UTC;0;875,2;875,2;874,8;2364,6;21,8;19,8;22,5;20,3;21,4;19,8;99;88;88;116;4;1;
2026/01/05;1300 UTC;0;875,2;875,3;875,1;3365,4;22,6;18,4;24,3;21,8;21,1;16,3;90;67;77;119;6,8;1;
2026/01/05;1400 UTC;0;875;875,3;875;1750,5;22,6;18,7;23,7;21,7;20,3;17,8;88;72;79;220;4,1;1,4;
2026/01/05;1500 UTC;0;874,8;875,1;874,8;2052,7;22,8;19,4;24,5;21,8;20,8;17,6;88;68;81;126;4,2;1,4;
2026/01/05;1600 UTC;0;874,7;874,8;874,6;414,8;20,7;19,2;22,9;20,7;20,3;18,3;93;77;91;58;5,5;1,2;
2026/01/05;1700 UTC;0;873,8;874,7;873,8;3246;24,7;20,1;24,8;20,6;21,6;18,8;92;71;76;40;4,4;1,1;
2026/01/05;1800 UTC;0;873,3;873,8;873,3;1997,8;22,5;19,6;25,4;22,3;21,3;17,9;86;72;84;136;6,9;1,9;
2026/01/05;1900 UTC;0;873,4;873,4;873,2;1364,2;21,4;19,4;24,1;21,4;20,8;18,6;91;73;89;85;6,9;1,2;
2026/01/05;2000 UTC;0;873,6;873,6;873,2;154,1;19,6;18,3;21,4;19,6;20,1;18,1;95;89;92;132;4,7;2,1;
2026/01/05;2100 UTC;0;874,2;874,3;873,5;79,9;18,6;17,7;19,6;18,6;18,7;17,6;96;92;95;148;5,1;2,5;
2026/01/05;2200 UTC;0;875,2;875,3;874,2;46;17,9;17,5;18,6;17,9;17,9;17,5;97;94;97;79;5,9;1;
2026/01/05;2300 UTC;0;875,7;875,7;875;;17,2;16,9;17,9;17,2;17,5;16,9;98;96;98;114;4,2;1;
2026/01/06;0000 UTC;0;876,2;876,2;875,7;;17;16,7;17,3;16,9;17;16,7;98;98;98;56;7;,8;
