REGIAO:;SE
UF:;MG
ESTACAO:;MOCAMBINHO
CODIGO (WMO):;A539
LATITUDE:;-15,08583333
LONGITUDE:;-44,01611111
ALTITUDE:;454
DATA DE FUNDACAO:;11/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;961;961,1;960,9;;26,1;21,6;27,1;26,1;22,8;21,3;80;75;76;149;3,8;,9;
2026/01/01;0100 UTC;0;960,9;961;960,8;;25,2;21;26,1;25;21,7;20,9;81;76;78;247;2,2;,5;
2026/01/01;0200 UTC;0;961,1;961,2;960,9;;24,1;21,6;25,2;24,1;21,8;20,9;86;77;86;112;1,6;,1;
2026/01/01;0300 UTC;0;960,6;961,2;960,5;;24;21,9;24,6;24;22,1;21,5;89;84;88;170;1,9;,1;
2026/01/01;0400 UTC;0;959,9;960,6;959,9;;23,8;21,9;24;23,6;21,9;21,5;90;88;89;230;,9;,1;
2026/01/01;0500 UTC;0;959,8;959,9;959,8;;23,8;21,5;24,2;23,8;22,2;21,5;89;86;87;89;1,3;,1;
2026/01/01;0600 UTC;0;959,7;959,9;959,7;;23,7;20,7;24,1;23,7;21,6;20,6;88;82;83;101;2,5;1,3;
2026/01/01;0700 UTC;0;959,6;959,7;959,4;1;23,9;20,9;23,9;23,5;21;20,6;85;83;83;305;2,3;,2;
2026/01/01;0800 UTC;0;960;960;959,5;;23,1;21,1;24;23,1;21,2;20,9;89;83;89;206;1,1;,2;
2026/01/01;0900 UTC;0;960,4;960,5;960;32,6;23,7;21,5;23,7;23,1;21,6;21,2;90;88;88;147;1,3;,5;
