REGIAO:;SE
UF:;MG
ESTACAO:;MANTENA
CODIGO (WMO):;A540
LATITUDE:;-18,78055554
LONGITUDE:;-40,98638888
ALTITUDE:;254,91
DATA DE FUNDACAO:;01/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;983,5;983,5;982,5;;27,4;21,2;28,5;27,4;21,2;20,9;69;65;69;101;8,4;2,1;
2026/01/01;0100 UTC;0;984,2;984,2;983,5;;26,8;21,6;27,4;26,8;21,6;21,2;73;69;73;111;6,3;2,1;
2026/01/01;0200 UTC;0;983,9;984,2;983,9;;26,3;21,3;26,8;26,3;21,6;21,2;74;73;74;99;5,5;2;
2026/01/01;0300 UTC;0;983,4;984;983,4;;25,4;20,6;26,3;25,4;21,3;20,6;75;74;75;96;5,5;2,4;
2026/01/01;0400 UTC;0;982,9;983,4;982,9;;24,6;20,3;25,4;24,6;20,5;20,3;77;74;77;98;5,6;1,9;
2026/01/01;0500 UTC;0;982,3;982,9;982,3;;24,3;20,3;24,6;24,3;20,4;20,3;79;77;78;103;5;2,3;
2026/01/01;0600 UTC;0;982,3;982,4;982,2;;24,4;20,2;24,4;24,3;20,3;20,2;78;77;78;108;4,9;1,7;
2026/01/01;0700 UTC;0;982,2;982,4;982,1;;24,4;20;24,4;24,3;20,2;20;78;76;76;101;4,4;2,1;
2026/01/01;0800 UTC;0;982,7;982,7;982,2;,1;24,4;20;24,4;24,4;20,1;19,9;77;76;77;80;4,7;1;
2026/01/01;0900 UTC;0;983,1;983,2;982,6;22,1;24,4;20,1;24,4;24,3;20,2;20;78;77;77;105;4,5;1,8;
2026/01/01;1000 UTC;0;983,6;983,6;983,1;121,1;24,5;20,3;24,6;24,3;20,4;20,1;79;77;77;110;4,1;1,4;
2026/01/01;1100 UTC;0;983,6;983,7;983,6;504,3;26,5;20,5;26,6;24,5;20,9;20,4;78;69;70;69;3,4;,7;
2026/01/01;1200 UTC;0;983,8;984;983,6;512,3;26,9;20,6;26,9;25,9;20,9;20,1;72;69;69;121;3,4;,5;
2026/01/01;1300 UTC;0;983,6;983,8;983,6;903,8;29,3;20,9;29,3;26,9;21,4;20,1;69;60;61;326;3,4;,5;
2026/01/01;1400 UTC;0;982,7;983,6;982,7;2893,6;30,1;20,6;32,4;28,3;21,9;19,8;63;49;57;40;3,5;1,3;
2026/01/01;1500 UTC;0;981,5;982,7;981,5;4015,8;32,8;21,2;33,6;30,2;21,6;19,7;57;46;51;262;4,5;1,6;
2026/01/01;1600 UTC;0;980,6;981,5;980,6;3737,8;33,8;18,9;36,1;31,6;21,2;18,6;51;38;42;290;5,4;1,5;
2026/01/01;1700 UTC;0;979,1;980,6;979,1;3594,7;34,5;19;36,8;33,4;20,9;18;44;36;40;75;5,1;2,6;
2026/01/01;1800 UTC;0;978;979,1;978;870,9;34,7;18,6;35,4;33,5;19,9;18,1;43;37;39;64;5,8;1,2;
2026/01/01;1900 UTC;0;977,1;978;977,1;471,2;35,8;18,4;35,9;34,1;19,4;17,9;40;36;36;53;6,1;1,8;
2026/01/01;2000 UTC;0;977,6;977,6;976,9;383,4;34,4;18,2;35,8;34,4;18,8;18;39;36;38;48;6,4;2;
2026/01/01;2100 UTC;0;977,7;977,9;977,6;184,5;33;18,2;34,4;33;18,5;18;42;38;42;60;6,5;2,2;
2026/01/01;2200 UTC;0;977,9;977,9;977,6;;31,7;18,5;33;31,6;18,6;18,2;46;42;45;60;6,5;,7;
2026/01/01;2300 UTC;0;978,5;978,5;977,9;;30,4;18,6;31,7;30,4;18,8;18,5;50;45;49;42;2,4;,2;
2026/01/02;0000 UTC;0;980;980;978,5;;29,5;20,3;30,6;29,5;20,3;18,7;58;49;58;95;5,2;2,4;
2026/01/02;0100 UTC;0;979,9;980,2;979,8;;28;21,3;29,4;28;21,3;20,3;67;58;67;102;5,4;1,8;
2026/01/02;0200 UTC;0;980;980,3;979,8;;27;21,5;28;27;21,5;21,3;72;67;72;101;5,1;1,6;
2026/01/02;0300 UTC;0;979,4;980;979,4;;26,3;21,2;27;26,3;21,5;21,2;73;72;73;104;4,1;1,4;
2026/01/02;0400 UTC;0;979,4;979,5;979,2;;25,6;20,7;26,3;25,5;21,2;20,7;75;73;75;106;3,8;,5;
2026/01/02;0500 UTC;0;979;979,4;979;;24,9;20,3;25,6;24,9;20,7;20,3;76;74;76;105;3,5;1;
2026/01/02;0600 UTC;0;978,7;979;978,7;;24,3;20,1;24,9;24,3;20,3;20,1;77;76;77;47;2,7;,6;
2026/01/02;0700 UTC;0;978,4;978,7;978,4;;23,8;20,1;24,4;23,8;20,2;20;80;77;79;31;2;,6;
2026/01/02;0800 UTC;0;978,6;978,6;978,4;;23,6;20;23,9;23,6;20,1;20;80;79;80;64;2,9;,1;
2026/01/02;0900 UTC;0;979,4;979,4;978,6;53,5;24;20,3;24;23,5;20,3;20;81;80;80;29;1,8;,3;
2026/01/02;1000 UTC;0;979,7;979,7;979,4;335,3;25,7;20,6;25,7;23,9;20,7;20,1;80;73;74;38;2,6;,8;
2026/01/02;1100 UTC;0;979,8;979,9;979,7;793,5;27,7;21;27,7;25,6;21,2;20,4;74;66;67;110;2,9;,8;
2026/01/02;1200 UTC;0;979,7;979,9;979,7;1243,2;30,8;20,7;30,9;27,6;21,6;20,5;68;55;55;15;3;,7;
2026/01/02;1300 UTC;0;979,4;979,7;979,3;2637,9;32,8;21,7;33,3;29,9;21,9;19,9;58;48;52;3;3,5;1,1;
2026/01/02;1400 UTC;0;978,3;979,4;978,3;3831,8;35,1;21,3;35,3;31,8;21,9;19,8;52;42;45;61;4;1,3;
2026/01/02;1500 UTC;0;977,1;978,3;977,1;3498,2;35;19,4;36,3;34,3;21,2;19,3;45;38;40;67;4,7;1,7;
2026/01/02;1600 UTC;0;975,9;977,1;975,9;2314,1;38,5;17,9;38,8;34,6;21,3;17,9;42;30;30;275;7,1;2,3;
2026/01/02;1700 UTC;0;974,5;975,9;974,5;1527,4;40,6;18,9;40,6;36,8;19,3;17,2;36;28;29;335;7,8;2,3;
2026/01/02;1800 UTC;0;973,5;974,5;973,5;926,2;38,3;18,5;41,5;37,8;19,1;16;32;24;31;38;6,7;1,7;
2026/01/02;1900 UTC;0;972,9;973,5;972,9;592,6;38,3;18,8;38,6;37,3;19,1;18;33;31;32;9;5,2;1,8;
2026/01/02;2000 UTC;0;972,8;973;972,7;373,7;37,2;18,9;38,7;36,5;19,3;18,3;36;32;34;356;6,2;1,8;
2026/01/02;2100 UTC;0;972,7;972,8;972,6;192,3;35,4;18,7;37,4;35,4;18,9;18;38;33;37;41;5,9;1,2;
2026/01/02;2200 UTC;0;973,5;973,5;972,6;1,2;33,9;19,2;35,4;33,9;19,2;18,6;42;37;42;19;4,2;,2;
2026/01/02;2300 UTC;0;975;975;973,5;;32,8;20,9;33,9;32,8;20,9;19,1;50;42;50;103;6,5;2,6;
2026/01/03;0000 UTC;0;975,8;975,9;975;;30,6;22,6;32,8;30,6;22,6;21;62;50;62;107;7,9;2,4;
2026/01/03;0100 UTC;0;976,3;976,3;975,8;;29,9;22,3;30,6;29,9;22,6;22,3;64;62;64;94;7,1;2,9;
2026/01/03;0200 UTC;0;976,6;976,7;976,3;;29,1;22,3;29,9;29;22,4;22,3;67;64;67;98;5,6;1,3;
2026/01/03;0300 UTC;0;976,4;976,7;976,4;;28,1;22,3;29,1;28,1;22,3;22,3;71;67;71;93;4,4;1,3;
2026/01/03;0400 UTC;0;976,7;976,8;976,4;;27,4;22,3;28,1;27,4;22,4;22,3;74;71;74;80;3,4;1,1;
2026/01/03;0500 UTC;0;976,7;976,8;976,6;;27;22,3;27,4;27;22,3;22,2;76;74;75;88;3,2;0;
2026/01/03;0600 UTC;0;976,6;976,8;976,6;;26,7;22,3;27;26,7;22,4;22,2;77;75;77;60;2,4;1,1;
2026/01/03;0700 UTC;0;976,7;976,8;976,6;;26,2;22,1;26,7;26,2;22,3;22,1;78;77;78;77;4;1,9;
2026/01/03;0800 UTC;0;977,7;977,7;976,7;;26;22;26,2;26;22,2;22;79;78;78;68;4;,7;
2026/01/03;0900 UTC;0;978,1;978,1;977,6;30,9;26;22,1;26;25,9;22,1;22;79;78;79;46;3,1;1,6;
2026/01/03;1000 UTC;0;978,9;979;978,1;206,6;26,8;22,5;26,8;26;22,5;22,1;79;77;77;73;3,9;1,6;
2026/01/03;1100 UTC;0;979,2;979,2;978,9;983,6;28,4;22;29,8;26,8;23,2;21,8;77;65;69;112;4,9;1,2;
2026/01/03;1200 UTC;0;979,5;979,5;979,2;770;29,1;22,6;29,3;28,3;22,8;21,9;70;66;68;52;3,8;,4;
2026/01/03;1300 UTC;0;979,1;979,5;979,1;1269,3;31,9;21,9;32,2;29,2;23,5;21,9;68;56;56;22;3,6;,9;
2026/01/03;1400 UTC;0;978,2;979,1;978,2;1566,4;33;20,6;33,4;30,5;22,8;20,6;58;48;48;352;4,4;,3;
2026/01/03;1500 UTC;0;977,5;978,2;977,5;3562,7;33;21,5;35,2;33;23,1;20,7;52;45;51;89;5,2;2,1;
2026/01/03;1600 UTC;1,6;977,1;977,5;977,1;361,1;26,5;21,7;33,5;26,5;23,8;20,4;81;50;75;121;6,6;2,6;
2026/01/03;1700 UTC;1,2;975,9;977,1;975,9;754,9;29,5;22,9;29,9;26,5;23,9;21,6;77;66;68;117;5,9;1,6;
2026/01/03;1800 UTC;,2;975,2;976;975,2;1181;33,5;21,5;33,8;29,5;23,7;21,5;69;49;49;54;4,6;1,5;
2026/01/03;1900 UTC;0;975;975,5;975;563,2;31,3;20,7;33,5;31,2;21,5;20,1;54;48;53;112;8,1;1,2;
2026/01/03;2000 UTC;0;975,8;975,8;974,9;217,9;28,6;20,6;31,4;28,6;21,3;20,1;63;51;62;222;6,6;1,6;
2026/01/03;2100 UTC;1;976,6;976,8;975,8;33,5;24,4;21,4;28,6;23,5;22,1;20,7;90;62;83;225;13,2;1,2;
2026/01/03;2200 UTC;,4;977,1;977,1;976,6;9,1;24,2;21,7;24,6;24,2;21,8;21;86;82;86;262;3;,5;
2026/01/03;2300 UTC;,4;978;978;977,1;,8;24,1;21,9;24,6;24,1;22;21,6;87;85;87;268;2,9;1,3;
2026/01/04;0000 UTC;,2;978,3;978,3;977,9;,1;24,7;21,9;24,8;24,1;22,3;21,9;88;85;85;202;2,1;,3;
2026/01/04;0100 UTC;,2;978,9;978,9;978,3;;24,3;22,3;24,7;24,3;22,3;21,9;88;85;88;244;1,4;0;
2026/01/04;0200 UTC;,2;979,2;979,2;978,9;;24,4;22,4;24,5;24,3;22,5;22,2;89;88;89;24;1,5;,2;
2026/01/04;0300 UTC;,4;979;979,2;978,9;;24,3;22,3;24,5;24,3;22,5;22,2;89;88;89;196;1,8;,2;
2026/01/04;0400 UTC;,8;978,5;979;978,5;;24,3;22,3;24,4;24,2;22,4;22,1;89;87;89;223;1,6;,1;
2026/01/04;0500 UTC;1;978;978,5;978;;24,1;22;24,3;24;22,4;21,9;89;87;88;232;1,5;,1;
2026/01/04;0600 UTC;,8;978,3;978,3;977,9;;24,2;22,4;24,2;24,1;22,4;22;90;88;90;31;1,7;0;
