REGIAO:;SE
UF:;MG
ESTACAO:;CAPELINHA
CODIGO (WMO):;A541
LATITUDE:;-17,70555555
LONGITUDE:;-42,38916666
ALTITUDE:;932,06
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;910,7;910,7;910,2;;21,6;18,7;22,6;21,6;18,7;18,5;84;78;84;;;;
2026/01/01;0100 UTC;0;911,2;911,3;910,7;;20,2;18,4;21,6;20,2;18,8;18,3;90;84;90;;;;
2026/01/01;0200 UTC;0;910,9;911,2;910,9;;19,6;18,2;20,2;19,6;18,7;17,9;92;90;91;;;;
2026/01/01;0300 UTC;0;909,9;910,9;909,9;;20;17,7;20,3;19,4;18,4;17,7;92;87;87;;;;
2026/01/01;0400 UTC;0;909,1;909,9;909,1;;19;17,4;20,1;18,8;17,9;17,1;91;87;90;;;;
2026/01/01;0500 UTC;0;908,7;909,1;908,7;;18,1;16,8;19,2;18;17,6;16,7;93;89;92;;;;
2026/01/01;0600 UTC;0;908,9;908,9;908,7;;17,7;16,7;18,2;17,6;17,1;16,5;94;92;94;;;;
2026/01/01;0700 UTC;0;908,9;909;908,8;;17,6;16,6;18,1;17,2;17,1;16,2;95;93;94;;;;
2026/01/01;0800 UTC;0;909,4;909,4;908,9;;17,4;16,6;17,7;17,1;16,9;16,2;95;94;95;;;;
2026/01/01;0900 UTC;0;910;910;909,3;91,1;18;17,2;18;16,8;17,2;15,9;96;94;95;;;;
2026/01/01;1000 UTC;0;910,4;910,4;910;751,7;21,7;18,3;21,8;18;18,7;17,2;95;81;81;;;;
2026/01/01;1100 UTC;0;910,4;910,5;910,3;1668,8;24,3;19,4;24,3;21,7;19,4;18,3;82;73;74;;;;
2026/01/01;1200 UTC;0;910,6;910,6;910,3;2489,7;26,3;19,9;26,3;24;19,9;18,9;74;66;68;;;;
2026/01/01;1300 UTC;0;910,7;910,9;910,6;3093,7;27,2;19,5;27,7;26;20;18,5;68;61;63;;;;
2026/01/01;1400 UTC;0;910,2;910,7;910,2;3186,8;27,3;18,6;29,1;26,9;20,4;18,4;64;55;59;;;;
2026/01/01;1500 UTC;0;909,2;910,2;909,2;2381,6;29,2;19;29,6;27,1;20;18,2;62;53;54;;;;
2026/01/01;1600 UTC;0;908,3;909,2;908,3;3441,7;30,4;17,7;32,2;28,6;20;17,2;56;42;46;;;;
2026/01/01;1700 UTC;0;907,2;908,3;907,2;2046,7;31,5;18,6;31,8;29,7;18,9;16,9;50;43;46;;;;
2026/01/01;1800 UTC;0;906,2;907,2;906,2;2265,7;29,9;18,8;32,3;29,9;19,7;17,9;52;44;52;;;;
2026/01/01;1900 UTC;0;906;906,2;906;647;29,3;18,6;29,9;29,1;19,6;18,5;56;52;53;;;;
2026/01/01;2000 UTC;0;906,3;906,3;905,8;676,2;28,1;18,8;30,4;28,1;19,5;18,1;58;48;57;;;;
2026/01/01;2100 UTC;4;907,7;907,7;906,3;12,1;21;19,3;28,2;21;19,9;18,2;90;56;90;;;;
2026/01/01;2200 UTC;15,2;907,9;908,7;907,7;1,1;20,1;19,1;21;20,1;20,1;19,1;94;90;94;;;;
2026/01/01;2300 UTC;,4;907,8;907,9;907,6;;19,1;18,1;20,1;19,1;19,1;18,1;94;93;94;;;;
2026/01/02;0000 UTC;0;908,1;908,2;907,8;;19,3;18,3;19,4;18,9;18,5;17,9;95;93;94;;;;
2026/01/02;0100 UTC;0;908,4;908,4;908,1;;18,9;18;19,4;18,9;18,4;17,9;95;94;95;;;;
2026/01/02;0200 UTC;0;908;908,4;908;;18,6;17,8;18,9;18,6;18,1;17,8;95;95;95;;;;
2026/01/02;0300 UTC;0;907,7;908;907,7;;18,2;17,5;18,6;18,2;17,8;17,5;95;95;95;;;;
2026/01/02;0400 UTC;0;907,4;907,7;907,3;;18,1;17,4;18,4;17,9;17,6;17,1;96;95;96;;;;
2026/01/02;0500 UTC;0;907;907,4;907;;17,9;17,2;18,1;17,7;17,4;17,1;96;96;96;;;;
2026/01/02;0600 UTC;0;906,6;907;906,6;;17,8;17,1;18,1;17,6;17,4;16,9;96;96;96;;;;
2026/01/02;0700 UTC;,2;906,2;906,6;906,2;;17,7;17,1;17,9;17,5;17,3;16,8;96;96;96;;;;
2026/01/02;0800 UTC;0;906,6;906,6;906,2;;17,7;17,1;17,8;17,4;17,1;16,7;96;96;96;;;;
2026/01/02;0900 UTC;0;907,2;907,2;906,6;69,9;18,2;17,5;18,3;17,4;17,6;16,8;96;96;96;;;;
2026/01/02;1000 UTC;0;907,4;907,5;907,2;637,4;21,4;20,7;21,4;18,2;20,7;17,6;96;95;95;;;;
2026/01/02;1100 UTC;0;907,8;907,8;907,4;1606,1;24,8;20,3;24,9;21,5;21,7;19,6;95;74;76;;;;
2026/01/02;1200 UTC;0;908,2;908,2;907,8;2033,1;25,9;20,5;25,9;24,7;20,6;19,4;76;69;72;;;;
2026/01/02;1300 UTC;0;908,1;908,3;908,1;2944,7;27,2;19,7;27,4;25,4;20,6;19,3;72;62;64;;;;
2026/01/02;1400 UTC;0;907,5;908,1;907,5;3647,1;29;19,7;29,1;27,2;21,1;19,2;66;57;57;;;;
2026/01/02;1500 UTC;0;906,7;907,5;906,7;2840;29,5;18,5;30,8;28,4;20,7;18,5;60;50;51;;;;
2026/01/02;1600 UTC;0;905,5;906,7;905,5;3580,1;31,6;18,7;31,6;29,3;20,4;17,9;56;45;46;;;;
2026/01/02;1700 UTC;0;904,5;905,5;904,5;2789;31,7;17,7;32,3;30,7;19,1;17,2;50;43;44;;;;
2026/01/02;1800 UTC;0;903,8;904,5;903,7;1996,4;31;17,5;32,7;30,8;18,7;16,7;48;39;44;;;;
2026/01/02;1900 UTC;0;903,2;904,1;903,2;716,6;27,2;18,3;31;25,5;19,7;17,7;69;45;58;;;;
2026/01/02;2000 UTC;0;902,3;903,2;902,3;1833,5;29,9;18,1;30,3;27,2;19,3;16,9;60;45;49;;;;
2026/01/02;2100 UTC;0;903;903;902,2;716,2;27,5;17,5;29,9;27,5;18,1;17,2;55;48;54;;;;
2026/01/02;2200 UTC;0;904,2;904,2;903;39,9;24,8;18;27,5;24,8;18,2;17,2;66;54;66;;;;
2026/01/02;2300 UTC;0;904,6;904,6;904,1;;22,4;18,4;24,8;22,4;18,8;17,8;80;66;78;;;;
2026/01/03;0000 UTC;0;905,4;905,6;904,6;;22,6;18,6;22,7;21,3;19;18,5;86;78;78;;;;
2026/01/03;0100 UTC;0;905,9;906;905,3;;22,8;18,9;23,4;21,9;19;18,4;81;74;79;;;;
2026/01/03;0200 UTC;0;905,4;906;905,4;;22,7;18,4;23,1;22,5;18,8;18,4;80;76;77;;;;
2026/01/03;0300 UTC;0;905,8;906;905,3;;22,7;18,6;23;21,5;18,6;17,5;81;72;78;;;;
2026/01/03;0400 UTC;2,8;905,7;905,9;905,6;;20,1;17,9;22,7;20;18,9;17,3;87;78;87;;;;
2026/01/03;0500 UTC;2,8;904,7;905,7;904,7;;20,1;18,5;20,7;20;18,6;17,9;91;86;90;;;;
2026/01/03;0600 UTC;,8;905,2;905,2;904,3;;19,6;18,6;20,1;19,6;18,8;18,4;94;90;94;;;;
2026/01/03;0700 UTC;0;905,2;905,3;905;;19,6;18,6;19,9;19,5;18,9;18,5;94;94;94;;;;
2026/01/03;0800 UTC;0;906,3;906,3;905,2;;20,3;19;20,4;19,4;19,3;18,6;95;93;93;;;;
2026/01/03;0900 UTC;2;907,2;907,2;906,3;13;19,2;18,2;20,4;19;19,1;17,9;94;91;94;;;;
2026/01/03;1000 UTC;2,8;907,6;907,8;907,2;50,8;19,4;18;19,5;19,2;18,4;17,9;94;91;92;;;;
2026/01/03;1100 UTC;2;906,8;907,6;906,7;403,6;20,5;18,1;20,5;19,3;18,1;17,9;92;86;86;;;;
2026/01/03;1200 UTC;0;908;908;906,8;822,3;20,1;18,7;20,8;19,9;18,9;18;92;85;92;;;;
2026/01/03;1300 UTC;0;908,5;908,5;908;1283,6;22,1;20,1;22,1;20,1;20,2;18,7;92;88;88;;;;
2026/01/03;1400 UTC;0;908,2;908,5;908,2;1299,3;22,7;20,5;22,7;22;20,5;19,9;88;87;87;;;;
2026/01/03;1500 UTC;0;907,8;908,2;907,8;1669,4;23,4;21,3;23,7;22,7;21,3;20,4;88;85;88;;;;
2026/01/03;1600 UTC;,2;907,1;907,8;907,1;2057,1;24,8;20,6;24,8;23,4;21,4;20,4;88;78;78;;;;
2026/01/03;1700 UTC;0;906,5;907,1;906,5;3127,3;27,1;21;27,1;24,8;21,5;19,9;78;67;69;;;;
2026/01/03;1800 UTC;0;905,6;906,5;905,6;2966,8;27,2;19,8;28;26,3;21,2;19,5;70;63;64;;;;
2026/01/03;1900 UTC;0;904,9;905,6;904,9;2317,2;27,3;19,7;27,7;26,9;20,3;19,3;66;61;63;;;;
2026/01/03;2000 UTC;0;904,5;904,9;904,5;940,3;25,3;19,5;27,4;25,2;20,3;19,4;74;63;70;;;;
2026/01/03;2100 UTC;0;905,3;905,3;904,5;296;24,2;20;25,4;24,2;20,1;19,6;77;70;77;;;;
2026/01/03;2200 UTC;0;905,8;905,9;905,3;16,3;22,7;20,3;24,2;22,7;20,3;20;86;77;86;;;;
2026/01/03;2300 UTC;0;906,2;906,2;905,7;;21,9;20,1;22,7;21,6;20,4;19,8;90;86;90;;;;
2026/01/04;0000 UTC;0;907,2;907,2;906,2;;21,9;19,2;22,5;21,7;20,1;19;90;82;85;;;;
2026/01/04;0100 UTC;0;908,1;908,1;907,2;;22,2;19,2;22,3;21,8;19,5;19,2;87;83;83;;;;
2026/01/04;0200 UTC;0;907,9;908,2;907,9;;22;19,4;22,3;21,7;19,4;19,1;86;83;85;;;;
2026/01/04;0300 UTC;0;907,6;907,9;907,6;;21,8;18,8;22;21,8;19,4;18,8;85;82;83;;;;
2026/01/04;0400 UTC;0;907;907,7;907;;21,2;18,7;21,8;21,1;18,8;18,6;86;83;86;;;;
2026/01/04;0500 UTC;0;906,9;907;906,9;;21;18,5;21,2;20,9;18,7;18,5;86;85;85;;;;
2026/01/04;0600 UTC;0;906,9;906,9;906,7;;20,7;18,5;21,1;20,6;18,5;18,4;87;85;87;;;;
2026/01/04;0700 UTC;0;906,8;906,9;906,7;;20,4;18,4;20,7;20,3;18,5;18,4;89;87;88;;;;
2026/01/04;0800 UTC;0;907,3;907,3;906,8;;20,2;18,3;20,5;20,2;18,5;18,2;89;88;89;;;;
2026/01/04;0900 UTC;0;907,8;907,8;907,3;60,8;20,1;17,7;20,3;19,9;18,3;17,7;90;86;86;;;;
