REGIAO:;SE
UF:;MG
ESTACAO:;BURITIS
CODIGO (WMO):;A544
LATITUDE:;-15,52416666
LONGITUDE:;-46,43555555
ALTITUDE:;894
DATA DE FUNDACAO:;19/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;911,5;911,5;911,1;;23,1;18,8;23,2;22,6;19,6;18,8;83;76;76;;;;
2026/01/01;0100 UTC;0;911,4;911,6;911,4;;21,2;18,4;23,1;21,1;18,9;18,2;85;75;84;;;;
2026/01/01;0200 UTC;0;911,6;911,7;911,4;;21,5;17,5;21,8;20,8;18,6;17,5;85;78;78;;;;
2026/01/01;0300 UTC;0;911,1;911,6;911,1;;21,5;17,4;21,7;21;17,7;17,4;81;77;77;;;;
2026/01/01;0400 UTC;0;910,5;911,1;910,5;;20,6;17,2;21,7;20,3;17,6;17,1;83;76;81;;;;
2026/01/01;0500 UTC;0;910,1;910,5;910;;20,5;17;21,1;20;17,2;16,9;83;78;80;;;;
2026/01/01;0600 UTC;0;910;910,1;909,8;;20,3;16,7;21,2;20,2;17;16,3;80;74;80;;;;
2026/01/01;0700 UTC;0;910,1;910,3;910;;19,9;17,2;20,4;19,9;17,2;16,7;84;80;84;;;;
2026/01/01;0800 UTC;0;910,2;910,2;910,1;;20,4;17;20,6;19,8;17,5;17;85;81;81;;;;
2026/01/01;0900 UTC;0;910,7;910,7;910,2;28,4;20,5;17,3;20,5;20,1;17,3;16,9;82;81;82;;;;
