REGIAO:;SE
UF:;MG
ESTACAO:;ITAOBIM
CODIGO (WMO):;A550
LATITUDE:;-16,57555554
LONGITUDE:;-41,48555555
ALTITUDE:;271,63
DATA DE FUNDACAO:;05/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;981,4;981,4;980,7;;29,9;18,5;31,4;29,8;18,5;18,1;50;45;50;106;5,2;2,7;
2026/01/01;0100 UTC;0;982,1;982,1;981,4;;28,1;19,1;29,9;27,7;19,5;18,4;61;50;58;91;3,9;2,2;
2026/01/01;0200 UTC;0;982,1;982,3;982,1;;27,7;19,6;28,4;27,6;19,6;18,9;61;57;61;111;5,9;2,4;
2026/01/01;0300 UTC;0;981,5;982,1;981,5;;27,3;20,8;28;27,3;20,8;19,6;68;61;67;85;7,4;3,8;
2026/01/01;0400 UTC;0;981,2;981,5;981,1;;26,3;20,7;27,3;26,3;20,8;20,7;71;67;71;83;8,6;2,3;
2026/01/01;0500 UTC;0;980,9;981,2;980,9;;25,7;20,6;26,3;25,6;20,7;20,5;74;71;73;86;5,9;2,2;
2026/01/01;0600 UTC;0;980,9;980,9;980,7;;25,4;20,7;25,7;25,2;20,7;20,6;76;73;75;89;4,2;1,6;
2026/01/01;0700 UTC;0;980,9;980,9;980,7;;25;20,7;25,5;24,8;20,7;20,5;77;74;77;113;4,7;1,5;
2026/01/01;0800 UTC;0;981,4;981,4;980,9;;25,2;20,6;25,4;24,8;20,7;20,5;77;75;76;92;4,6;1,9;
2026/01/01;0900 UTC;0;982,4;982,4;981,4;44,7;25,5;20,8;25,5;25,1;20,8;20,6;76;75;75;91;4,6;1,7;
2026/01/01;1000 UTC;0;983;983;982,4;304,6;26;20,5;26;25,5;20,9;20,4;75;72;72;91;3,1;1,7;
2026/01/01;1100 UTC;0;983,1;983,2;983;644,8;26,7;20,4;26,8;26;21,2;20,3;74;68;68;82;2,9;1,1;
2026/01/01;1200 UTC;0;983,1;983,2;983;1391,9;27,7;20,7;27,7;26,7;21,1;20,2;70;66;66;178;3,8;1,6;
2026/01/01;1300 UTC;0;982,6;983,1;982,6;2740,8;30,4;20,9;30,4;27,6;21,4;20;67;56;57;77;4,7;1,9;
2026/01/01;1400 UTC;0;981,7;982,6;981,7;3612,3;32,1;19,6;32,2;30,4;21,1;19,6;57;48;48;129;5,2;,9;
2026/01/01;1500 UTC;0;980,6;981,7;980,6;3847,4;34,6;20;34,6;31,8;20,7;19,1;50;41;43;258;4,7;1,5;
2026/01/01;1600 UTC;0;979,4;980,6;979,4;3807,4;35,3;19;35,3;33,4;20,4;17,5;44;35;38;148;6,3;2,1;
2026/01/01;1700 UTC;0;978,2;979,4;978,2;3512,9;36;17;36,6;34,6;18,4;16,3;38;31;33;272;4,2;1,1;
2026/01/01;1800 UTC;0;977,2;978,2;977,2;2945,1;36,9;15,8;37,4;36,1;17,4;13,6;33;25;29;20;4,1;1,4;
2026/01/01;1900 UTC;0;976,2;977,2;976,2;2201,3;36,7;16,4;37,3;36,1;16,6;14,2;31;26;30;85;4,6;1,2;
2026/01/01;2000 UTC;0;976;976,2;975,9;1347,9;36,5;16,3;37,2;35,8;17,7;14,4;34;28;30;25;6,7;,4;
2026/01/01;2100 UTC;0;976,6;976,6;976;483,5;33,8;17,2;36,6;33,8;17,7;15,3;38;29;37;105;4,8;2,4;
2026/01/01;2200 UTC;0;977,1;977,1;976,6;7,1;32,2;17,6;33,8;31,7;17,8;16,8;43;37;42;104;6,1;2,8;
2026/01/01;2300 UTC;0;977,5;977,5;977,1;;31,1;18,3;32,4;30,9;18,4;17,6;47;41;47;111;5,8;2;
2026/01/02;0000 UTC;0;978,4;978,4;977,5;;28,7;19,1;31,1;28,7;19,1;18,2;56;47;56;99;4;,1;
2026/01/02;0100 UTC;0;978,7;978,9;978,4;;27,5;19,6;28,7;27,4;19,6;19;62;56;62;81;3,3;1,6;
2026/01/02;0200 UTC;0;979;979;978,7;;25,7;19,7;27,5;25,5;20;19,1;70;62;69;169;3,4;1,7;
2026/01/02;0300 UTC;0;978,7;979;978,7;;25,3;19,6;25,7;25,1;19,8;19,5;72;69;71;169;3,7;,6;
2026/01/02;0400 UTC;0;978,3;978,7;978,3;;24,9;19,6;25,7;24,9;19,7;19,4;72;69;72;161;4,3;2,3;
2026/01/02;0500 UTC;0;978,2;978,4;978,2;;24,6;19,7;25,5;24,3;19,9;19,4;75;71;74;143;4;1,8;
2026/01/02;0600 UTC;0;978;978,3;978;;23,3;19,7;24,6;23,3;19,9;19,6;80;74;80;167;3,2;2,1;
2026/01/02;0700 UTC;0;977,9;978,2;977,9;;23,3;20;23,7;23,2;20,1;19,7;82;79;82;120;3,7;,9;
2026/01/02;0800 UTC;0;978,3;978,3;977,9;;23,4;19,8;24;23,2;20,4;19,6;82;79;81;159;3,4;2;
