REGIAO:;SE
UF:;MG
ESTACAO:;ARACUAI
CODIGO (WMO):;A566
LATITUDE:;-16,84888888
LONGITUDE:;-42,03527777
ALTITUDE:;308
DATA DE FUNDACAO:;19/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2026/01/01;0100 UTC;0;977,6;977,6;976,8;;24,7;19,7;26,9;24,7;20;19;74;63;74;248;1,9;0;
2026/01/01;0200 UTC;0;977,1;977,6;977;;24,4;19,4;24,7;23,3;19,8;19,4;79;73;74;151;1,3;,1;
2026/01/01;0300 UTC;0;976,6;977,1;976,6;;22,7;19,1;24,4;22,7;19,5;18,9;80;74;80;154;1,7;,1;
2026/01/01;0400 UTC;0;976;976,6;976;;23,6;18,8;23,6;22,3;19,4;18,7;82;74;74;86;2;,2;
2026/01/01;0500 UTC;0;975,6;976,1;975,6;;23,2;18,1;23,8;22,2;18,9;18,1;80;72;73;89;3,2;,6;
2026/01/01;0600 UTC;0;975,9;975,9;975,6;;23,3;18,3;23,7;22,8;18,3;18,1;75;72;74;1;3,2;,1;
2026/01/01;0700 UTC;0;976,2;976,2;975,8;;22,8;18,6;23,6;22,8;18,8;18,4;77;73;77;28;3,6;,2;
2026/01/01;0800 UTC;0;977;977;976,1;;21,9;18,6;22,9;21,8;19;18,4;82;77;82;133;1,8;,2;
2026/01/01;0900 UTC;0;977,9;977,9;977;65,2;22,4;19,4;22,4;21,3;19,4;18,2;84;82;83;100;1,3;0;
2026/01/01;1000 UTC;0;978,3;978,3;977,9;320,6;25,1;19,8;25,1;22,4;20,1;19,4;83;72;72;76;3,6;1,8;
2026/01/01;1100 UTC;0;978,6;978,6;978,3;1015,5;26,8;19,7;26,8;25,1;20,1;19,2;72;65;65;43;4,7;2,1;
2026/01/01;1200 UTC;0;978,6;978,7;978,5;2257,5;27,6;18,6;29;26,8;20,3;18,1;66;55;58;36;5,5;2,4;
