REGIAO:;SE
UF:;MG
ESTACAO:;PARACATU
CODIGO (WMO):;A571
LATITUDE:;-17,24444444
LONGITUDE:;-46,88166666
ALTITUDE:;705
DATA DE FUNDACAO:;16/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2026/01/01;0000 UTC;0;933;933;932,3;;26,2;19,2;28;25,6;20,3;19;68;59;66;193;5,2;1,6;
2026/01/01;0100 UTC;0;933,2;933,3;933;;25,6;19,5;26,5;25,3;19,8;19,2;71;64;69;165;3;,6;
2026/01/01;0200 UTC;0;933,3;933,4;933,2;;23,8;19,7;26;23,7;20,1;18,9;78;65;78;144;4,3;2,2;
2026/01/01;0300 UTC;0;933;933,4;933;;25,6;18,9;26,2;23,8;19,8;18,7;78;66;67;234;4,4;1,1;
2026/01/01;0400 UTC;0;932,5;933;932,5;;24,7;19,2;25,7;24,7;19,2;18,7;72;65;72;208;4,5;1,5;
2026/01/01;0500 UTC;0;932,2;932,5;932;;23,7;19,1;24,9;23,7;19,3;19;75;71;75;181;4,7;1,8;
2026/01/01;0600 UTC;0;932,2;932,2;932,1;;23,9;19,2;24,4;23,3;19,7;19,1;79;74;75;224;4;1,2;
2026/01/01;0700 UTC;0;932;932,2;932;;23,5;19,6;24,1;23,2;19,6;19,1;79;75;79;234;2,5;,6;
2026/01/01;0800 UTC;0;931,8;932;931,8;;23,2;18,8;24,1;23,2;19,7;18,8;79;73;76;236;3,9;,9;
2026/01/01;0900 UTC;0;932,4;932,4;931,8;21,8;23;19;24,2;22,5;19,3;18,6;80;71;78;177;3,4;,9;
2026/01/01;1000 UTC;0;933,1;933,1;932,4;549,2;25,6;18,6;25,6;22,9;19,2;18,6;79;65;65;260;3,5;1,3;
2026/01/01;1100 UTC;0;933,2;933,2;932,9;1416,1;27,4;18,4;27,9;25,6;19;17,6;66;55;58;248;4,7;2,6;
2026/01/01;1200 UTC;0;933,6;933,6;933,2;2257,8;28,6;18,2;28,8;27,1;19,3;17,7;60;52;53;202;4,7;2,1;
2026/01/01;1300 UTC;0;933,6;933,7;933,6;2855,8;29,6;20,5;30;28,4;20,9;18,2;59;52;58;146;4,2;1,6;
2026/01/01;1400 UTC;0;933,1;933,6;933;3636,2;30,9;19,2;31,7;29,7;20,6;18,2;58;47;50;175;4,3;1,3;
2026/01/01;1500 UTC;0;932,2;933,1;932,2;3263,6;31,5;18,9;33;30,5;21;17,5;53;43;47;149;6,9;1,9;
2026/01/01;1600 UTC;1,4;931,5;932,3;931,5;1134,1;27,6;21,7;31,8;24,4;22,5;17,6;76;46;70;57;13,3;1,5;
2026/01/01;1700 UTC;0;930,6;931,5;930,6;2342,7;30,9;19,6;30,9;27,5;22,2;19;72;50;51;100;2,9;,8;
2026/01/01;1800 UTC;0;929,3;930,6;929,3;2180,7;31,6;19;32;30,9;20,9;17,9;55;46;47;343;3,1;1,7;
2026/01/01;1900 UTC;0;928,8;929,3;928,8;1380,7;31;19,2;31,7;30,9;20,1;18,3;51;46;50;50;4,1;1,3;
2026/01/01;2000 UTC;0;929,3;929,3;928,6;900,1;29,5;20,6;31,2;29,5;21,1;19,3;60;49;59;36;6;3,5;
2026/01/01;2100 UTC;0;929,6;929,7;929,2;469,5;26,6;18,9;29,5;26,6;21,4;18,8;63;59;63;165;8,6;3,9;
2026/01/01;2200 UTC;0;930;930;929,3;52,9;24,7;18,4;26,5;24,5;18,8;18,2;69;63;68;193;8,2;1,2;
2026/01/01;2300 UTC;0;930,4;930,5;930;;24,7;19,1;25,2;24,7;19,2;18;71;65;71;261;6,5;2,1;
2026/01/02;0000 UTC;0;931,2;931,2;930,5;;24,4;19,2;25,1;24,3;19,4;18,8;73;69;73;251;6,2;1,7;
2026/01/02;0100 UTC;0;931,7;931,7;931,2;;24,9;18,7;25;23,9;19,4;18,7;75;68;68;238;4,2;1,5;
2026/01/02;0200 UTC;0;931,7;932;931,7;;24,6;18,3;25;24,1;18,7;18,2;71;66;68;287;3,5;,5;
2026/01/02;0300 UTC;0;931,5;932;931,5;;24,3;18,2;24,7;24,2;18,6;17,9;71;67;69;171;2,5;,9;
2026/01/02;0400 UTC;0;930,4;931,5;930,4;;24;18,8;25,1;23,7;18,8;18,1;73;65;73;157;2,3;1;
2026/01/02;0500 UTC;0;930,1;930,4;930;;24,8;19;24,8;23,4;19,5;18,8;77;70;70;321;1,5;,8;
2026/01/02;0600 UTC;,2;930,6;930,7;930,1;;22;19,4;25;22;20,3;18,8;86;69;85;1;11,4;7,4;
